证券代码,证券简称,"净资产收益率ROE(平均)
[报告期] 2025年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2024年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2023年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2022年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2021年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2020年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2019年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2018年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2017年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2016年报
[单位] %↓","净资产收益率ROE(平均)
[报告期] 2015年报
[单位] %"
1786.HK,铁建装备,2.3565,2.1546,2.4655,1.9623,0.8890,0.4058,2.2284,2.8759,1.0096,8.7493,11.4308
1379.HK,温岭工量刃具,2.0348,1.8756,3.4032,7.3921,6.4084,4.1532,5.2221,6.3005,8.0063,8.7267,
2176.HK,赛迪顾问,47.8419,45.2997,42.0568,16.3102,19.0127,10.6063,33.7577,18.7537,13.0606,8.6948,7.0047
1635.HK,大众公用,4.7932,2.7832,2.5852,-3.9500,3.5178,6.2097,6.8326,6.5600,6.6556,8.5696,9.2138
1336.HK,新华保险,34.9247,26.0587,8.3789,9.2932,14.2241,15.3601,19.4071,12.2535,8.7647,8.4513,16.1987
1606.HK,国银金租,11.9429,11.6138,11.5982,10.4086,13.8262,12.4987,11.7826,10.5088,9.3034,8.3730,7.2579
0811.HK,新华文轩,10.5028,11.1633,12.3559,11.7805,12.2288,13.0560,12.8795,11.2938,11.2919,8.3544,10.0548
1618.HK,中国中冶,0.8561,4.5195,6.5047,8.9871,8.1553,8.0291,7.2567,7.6562,7.9208,8.2005,8.9004
1916.HK,江西银行,2.0253,2.2354,2.2326,3.5636,5.4350,5.3329,6.1503,9.9511,13.2174,8.1961,
0107.HK,四川成渝高速公路,7.8588,8.5068,7.1138,4.3492,11.3730,4.3800,7.2969,5.9864,6.5719,8.1768,8.2897
1088.HK,中国神华,12.8749,14.8422,15.9881,18.7659,13.8684,9.9542,12.1282,13.8527,15.3554,8.1002,5.9293
2551.HK,晶科电子股份,4.7392,9.0352,6.9256,4.6938,10.9282,,,,9.1184,8.0769,4.4632
2355.HK,宝业集团,2.2186,3.2058,7.4148,6.3296,7.5648,8.2848,9.7758,11.1682,8.6094,7.9829,9.1274
1456.HK,国联民生,5.6530,2.1864,3.8884,4.6303,6.5886,6.3004,6.6343,0.6638,4.7685,7.9724,24.9031
1543.HK,中盈盛达融资担保,0.5134,2.0849,1.8815,2.0437,3.9114,5.1008,6.4785,7.1817,7.3006,7.9336,9.0067
2338.HK,潍柴动力,12.1527,13.7363,11.8200,6.8082,15.1577,19.0967,21.5406,23.2251,20.3301,7.6927,4.3322
1375.HK,中州证券,3.2050,1.7584,1.5300,0.7768,3.7944,0.9054,0.5934,0.6539,4.2597,7.6681,20.1530
2218.HK,安德利果汁,12.1775,10.0747,10.4315,8.4592,7.3853,7.5507,9.1708,7.9835,5.8389,7.6342,4.7185
6886.HK,华泰证券,8.2202,8.2804,7.4089,7.0509,9.6190,8.6026,7.9685,5.2774,10.8059,7.5942,17.5239
6030.HK,中信证券,9.8121,7.7244,7.5564,9.2225,11.8192,8.6809,7.7700,6.1992,7.8178,7.3555,16.6220
1138.HK,中远海能,9.8140,11.4950,10.1535,4.8573,-15.7733,7.5906,1.4698,0.2662,6.4145,7.2832,1.7548
1508.HK,中国再保险,9.1791,10.7446,6.3060,2.0893,6.8363,6.3392,7.3140,4.8869,7.2227,7.2803,12.2160
1071.HK,华电国际电力股份,8.7764,8.0532,6.9153,-0.0492,-4.8840,6.1390,5.8502,3.0107,1.0050,7.1462,19.4404
0956.HK,新天绿色能源,7.7368,7.6767,10.4269,11.4279,13.1518,12.0935,12.9484,13.6097,11.3857,7.0731,2.2792
2722.HK,重庆机电,9.0511,5.4661,3.9768,4.1618,4.1266,2.6390,2.7075,6.6109,4.9667,7.0564,6.9892
2715.HK,埃斯顿,2.2049,-36.1445,4.9583,6.2193,5.6388,7.6515,4.0741,6.4161,6.2242,7.0309,13.0223
2120.HK,康宁医院,4.5126,5.2740,6.9688,-2.0178,3.6541,5.8914,5.0133,7.4185,4.7636,6.9948,9.1266
1915.HK,泰和小贷,,,-0.9421,-1.0898,0.5151,4.2113,5.9925,8.5843,6.6845,6.9430,11.0714
6178.HK,光大证券,5.3084,4.5150,6.5162,5.2335,6.3171,4.6731,1.2001,0.2158,6.2993,6.8729,23.0693
0386.HK,中国石油化工股份,3.9526,6.0463,7.3452,8.4872,9.4974,4.4735,7.8966,8.5379,7.1315,6.7395,5.1202
2386.HK,中石化炼化工程,5.6840,7.9088,7.6727,7.7150,7.4241,8.5808,8.2016,6.5139,4.4500,6.6738,13.9681
2899.HK,紫金矿业,31.8309,25.9213,21.5012,25.0561,24.5708,12.0837,9.3494,10.8509,11.1778,6.6539,5.9560
2009.HK,金隅集团,-1.3949,-0.7567,0.0370,1.9045,4.6155,4.5680,6.2183,5.9919,5.9492,6.5302,5.8316
0323.HK,马鞍山钢铁股份,-0.8832,-18.2619,-4.6597,-2.7708,17.4431,7.1680,4.0944,22.8283,18.9141,6.4306,-23.0138
0168.HK,青岛啤酒股份,15.3681,15.3778,16.1220,15.3026,14.4667,11.0637,9.9731,8.1001,7.5496,6.3682,10.7590
1292.HK,长安民生物流,1.9227,2.9501,2.8209,1.9546,1.5063,0.0220,-2.8795,2.3519,6.7190,6.3560,14.6820
1122.HK,庆铃汽车股份,-0.3590,-0.7476,-0.7309,-0.1919,4.1814,3.9019,4.4339,5.8280,6.4465,6.3190,6.3704
0719.HK,山东新华制药股份,5.6839,9.8489,11.4409,10.8289,10.4173,10.4915,10.6065,9.7085,9.3810,6.3146,4.4778
3958.HK,东方证券,6.8667,4.1840,3.5275,4.2548,8.6407,4.7701,4.6073,2.3509,7.6039,6.1345,27.4810
2628.HK,中国人寿,27.8904,21.6738,10.1134,7.0143,10.9668,11.7749,16.1430,3.5648,10.3283,6.1098,11.4402
0728.HK,中国电信,7.2677,7.3744,6.9590,6.4113,6.5514,5.8243,5.8993,6.3414,5.8070,5.8161,6.7640
0954.HK,常茂生物,-12.1373,-11.0503,-12.0341,11.0357,8.6623,2.5669,9.0277,8.3566,0.5801,5.7504,8.2264
1713.HK,四川能投发展,7.7663,11.4786,10.4265,9.8397,9.2641,9.7554,6.6873,7.1908,6.0215,5.6592,
1461.HK,中泰期货,3.2979,0.1772,5.3461,6.8312,8.7725,2.5696,1.3545,5.3938,7.5443,5.6121,5.7576
3993.HK,洛阳钼业,26.5072,20.7287,14.8324,13.2547,12.9698,5.8443,4.5431,11.7199,9.5888,5.5306,4.7592
0699.HK,均胜电子,8.6515,7.0786,8.3864,3.3368,-28.2816,4.4413,7.5156,10.4901,3.1179,5.5001,12.8684
8247.HK,中生北控生物科技,-35.5168,-22.4923,-5.5968,4.2437,-0.6450,1.5438,-46.3245,-0.6593,8.0074,5.4751,0.2092
8452.HK,富银融资股份,-10.4852,-1.5606,1.0751,-6.4250,3.1944,0.6941,7.7560,9.1355,5.6410,5.3683,2.5856
8249.HK,瑞远智控,,,,,,,,,,5.2767,-8.9355
8348.HK,滨海泰达物流,-3.9593,0.6655,3.3816,3.4346,4.0088,-14.3789,0.9832,0.5264,2.6898,5.2734,6.7180
1289.HK,盛力达科技,4.6646,7.1447,4.4185,3.5137,0.7444,0.3825,1.2815,7.8794,5.8021,5.2131,-15.0907
9981.HK,沃尔核材,19.0139,16.2330,15.1453,15.1035,15.6366,12.8871,7.6886,0.7695,6.2569,4.9756,39.6636
2727.HK,上海电气,2.2361,1.4199,0.5297,-6.3125,-16.0403,5.7931,6.1670,5.2832,5.2205,4.9010,5.8273
0588.HK,北京北辰实业股份,-20.6373,-16.7049,0.7208,-7.2932,0.9447,0.1032,8.7630,7.3852,7.8093,4.7736,4.6675
9989.HK,海普瑞,2.8907,5.3757,-6.4668,6.1299,2.0956,10.8280,15.7600,9.1904,3.0235,4.7560,6.8254
1476.HK,金融街证券,3.8471,2.1565,0.7993,-14.8576,3.0435,4.9368,7.5138,-6.6984,6.9810,4.7385,22.9731
0038.HK,第一拖拉机股份,10.8867,13.2214,15.7635,11.9902,8.9979,6.6638,1.5222,-29.5332,1.1741,4.7009,2.9204
3678.HK,弘业期货,0.2134,1.6017,0.4229,0.7036,4.8192,4.0869,1.2619,5.0100,5.8584,4.6536,4.7908
2402.HK,亿华通,-27.2504,-16.2841,-9.0285,-6.8708,-6.1289,-0.0220,7.3338,3.4669,6.1131,4.6405,90.7009
6655.HK,华新建材,9.1522,8.1597,9.7983,9.9633,21.3256,25.0916,33.3964,36.2684,18.9785,4.6115,1.0601
1171.HK,兖矿能源,13.1251,19.3195,20.1172,38.3667,26.7738,11.2807,17.6815,17.2534,17.4162,4.5495,0.4439
1057.HK,浙江世宝,8.9869,8.7387,5.3941,1.1427,2.5119,3.0891,-12.7113,0.4929,2.2154,4.3543,3.7399
1081.HK,大金重工,14.1882,6.6808,6.3356,9.4735,21.3492,21.0519,9.1918,3.5319,2.4114,4.2679,5.7999
0525.HK,广深铁路股份,5.1471,3.9633,4.0956,-7.5941,-3.5109,-1.9449,2.5796,2.7254,3.5791,4.1726,3.9508
0347.HK,鞍钢股份,-8.8861,-13.9125,-5.7726,0.2648,12.2533,3.7518,3.4352,15.6021,11.8180,3.6662,-10.0871
0553.HK,南京熊猫电子股份,0.3440,-5.8856,-6.9375,1.1435,1.1917,2.2226,1.5227,4.7412,3.2132,3.6224,4.4654
3903.HK,瀚华金控,,,0.4338,0.1676,1.0418,2.0656,3.4023,4.1453,3.8016,3.5475,4.4382
2701.HK,国民技术,-12.0900,-21.7862,-40.5302,-2.0355,15.9700,0.9443,9.1679,-89.2209,-17.7635,3.5031,3.1119
9973.HK,奇瑞汽车,49.2433,67.4074,96.8992,43.7534,,,,,,3.3552,1.0344
2880.HK,辽港股份,3.2612,2.8816,3.4329,3.3417,6.6880,4.2633,3.8775,2.8804,2.7951,3.3385,3.4915
1818.HK,招金矿业,15.7542,7.2457,3.8703,2.4426,0.2257,7.6514,3.5178,3.5797,5.2736,3.2174,3.1754
1133.HK,哈尔滨电气,16.0185,11.4870,4.4916,0.8468,-30.4079,-0.0466,0.6938,0.4771,1.3724,3.1620,1.5475
3369.HK,秦港股份,8.0797,8.2902,8.5673,7.8403,6.6411,6.6728,6.5338,5.9359,7.7528,3.1397,11.1777
2488.HK,元征科技,27.9864,29.4557,15.7931,36.1061,13.2104,-16.8959,-15.7230,5.7351,6.6435,3.0029,-14.6589
1108.HK,凯盛新能,-25.6833,-14.1116,8.9106,10.1296,9.6740,22.3776,4.2446,1.7342,3.8004,2.8732,-112.7436
3323.HK,中国建材,-3.7862,2.2906,3.6565,7.6610,16.8841,14.6923,14.3597,13.7367,7.4056,2.5270,2.4720
1265.HK,天津津燃公用,-3.2494,-3.2916,-10.2863,-4.2177,0.0841,-0.7696,0.2489,2.2639,2.3168,2.2161,2.2376
1898.HK,中煤能源,9.2908,12.2846,14.7113,16.1593,13.7388,5.4136,6.5577,4.9596,3.9871,2.0207,-3.8295
2866.HK,中远海发,5.2694,5.6595,4.8388,12.7409,21.3440,8.7706,8.2595,8.0676,9.9153,1.9619,-12.5631
8139.HK,长安仁恒,-0.0643,1.0757,1.9803,1.2413,6.7595,1.1138,-0.8539,0.9662,-6.9499,1.9564,2.5532
2039.HK,中集集团,0.4329,5.9759,0.8733,6.8690,14.9554,12.8486,4.0278,9.6880,8.1275,1.8665,7.7668
8189.HK,泰达生物,-528.4379,-77.1209,-32.8799,-32.4073,-34.6614,-28.7356,-36.4718,-51.0604,-3.6728,1.8490,9.8713
1798.HK,大唐新能源,4.7888,7.2881,8.8491,12.1445,7.1479,6.7625,8.0172,10.2110,6.5340,1.8314,0.1265
0358.HK,江西铜业股份,9.2611,9.4945,9.5726,8.3751,8.9007,3.9549,4.7565,4.9641,3.5049,1.8179,1.5051
0814.HK,北京京客隆,-10.2449,-11.4280,-4.9736,-5.9480,-1.3122,3.2355,3.0804,3.7484,2.8665,1.6272,1.5114
2600.HK,中国铝业,17.5885,19.1288,11.6958,7.5079,9.1034,1.3597,1.5895,1.6247,3.5533,1.0461,0.6148
6031.HK,三一重工,10.4914,8.5374,6.8047,6.6822,20.0133,30.5624,29.5278,21.4672,8.6788,0.8965,0.5966
0317.HK,中船防务,5.5923,2.2035,0.3004,4.4251,0.5300,29.7989,5.5175,-18.5584,0.8457,0.6893,1.2331
0857.HK,中国石油股份,10.1464,11.1224,11.4471,11.3472,7.4369,1.5545,3.7376,4.3684,1.9138,0.6634,3.0155
0564.HK,中创智领,18.6667,18.6326,17.2910,15.5707,13.9830,9.7943,8.7796,7.4793,2.7766,0.6466,0.4457
8115.HK,清大东方,-2.6951,2.9417,6.0667,4.2109,59.9046,-1.9881,-13.7207,-4.0663,-0.2697,0.3719,-1.2498
0747.HK,沈阳公用发展股份,-45.2854,-22.9602,-27.2564,-12.0065,-3.5420,-5.6810,-11.2460,-14.9224,-3.2243,0.2575,-0.4029
6060.HK,众安在线,4.7508,2.9437,23.1123,-8.4856,7.1769,3.6175,-2.9931,-10.7122,-8.3153,0.1362,1.1178
0788.HK,中国铁塔,5.7591,5.3959,4.9836,4.5892,3.9026,3.4859,2.8767,1.7208,1.5357,0.0606,
8205.HK,交大慧谷,-83.5427,-15.4738,-31.4787,-59.8327,-9.0385,-37.0987,6.9608,8.5803,-15.2335,-0.4639,3.7473
3983.HK,中海石油化学,5.2333,5.8365,13.5909,10.0851,9.8117,5.1395,4.9312,10.0773,0.3795,-1.5862,6.0438
1202.HK,四威科技,0.3824,0.1479,0.3617,-0.2945,-6.6626,-5.1663,-5.6779,-1.6236,3.2701,-1.7462,-4.2797
1157.HK,中联重科,8.3378,6.2059,6.3920,4.2085,12.1754,17.0601,11.3806,5.3656,3.6118,-2.4234,0.2206
8106.HK,芯化兰德,2.2504,-12.7599,-56.5575,-15.3837,0.5893,4.5680,4.3866,8.5051,-4.5428,-3.5075,-10.7562
3833.HK,新疆新鑫矿业,3.5213,3.3544,2.9106,14.0482,11.0390,3.5011,0.6456,-1.2719,-1.8834,-4.6235,-14.9775
1000.HK,北青传媒,-11.7545,-0.3239,-2.4705,-3.7731,-10.2072,-18.6329,-22.6517,-26.3176,-7.2375,-4.7444,-3.5627
0991.HK,大唐发电,23.4503,15.7661,5.2175,-1.1516,-26.0046,7.1106,2.2487,2.8251,4.1791,-6.4583,6.2322
3330.HK,灵宝黄金,37.3447,23.0822,13.3464,11.9116,7.0054,5.2220,-12.5580,48.3933,6.8145,-6.6242,-31.7010
1072.HK,东方电气,9.1188,7.6856,9.8313,8.4608,7.2203,6.1694,4.4028,4.4790,3.1331,-8.0745,2.0616
0840.HK,天业节水,-15.4746,-9.9079,-2.7435,-16.8131,-12.4435,0.1151,-8.2207,-7.5498,0.2872,-8.4072,-0.9514
0763.HK,中兴通讯,7.5796,11.9656,14.7269,14.6750,14.3765,11.8124,19.9050,-25.6072,15.7393,-8.4102,11.7637
1588.HK,畅捷通,8.7721,3.7750,2.0071,-25.9332,-16.9053,2.5835,7.0303,8.6795,22.1170,-13.8604,-6.8790
1877.HK,君实生物,-14.1026,-19.6546,-27.3703,-27.3282,-10.4122,-37.7277,-23.5763,-32.2509,-28.5440,-15.1045,-15.8898
0980.HK,联华超市,,,-177.7707,-22.9160,-34.0600,-19.8030,-19.2571,-10.0559,-12.1461,-16.7331,-15.7337
0187.HK,京城机电股份,-5.5244,0.6955,-4.8336,2.0918,-3.3813,30.1771,-32.3409,-17.8036,3.6180,-23.2870,-25.4648
2883.HK,中海油田服务,8.5022,7.3431,7.4425,6.0820,0.8183,7.1851,7.0224,0.2050,0.0948,-27.9597,2.2846
0568.HK,山东墨龙,1.0414,-9.5385,-80.2935,-35.3964,-23.0445,1.8241,-10.6354,4.8497,2.0625,-28.8073,-10.1245
2481.HK,双良睿能,13.7814,14.7188,16.7119,14.2028,19.2297,13.7210,32.6570,,,-38.0347,34.7742
0042.HK,东北电气,,,,,,,,-15.3633,,-39.8153,1.6919
1919.HK,中远海控,13.2180,22.8293,12.0355,65.7821,100.8949,25.0452,22.9719,5.6481,13.6536,-46.0995,1.1559
8227.HK,海天天线,,,,-206.2994,-73.1113,-88.9921,-83.1516,-92.7036,-22.7916,-48.5943,-53.5020
8286.HK,长城微光,,,,,,,,,,-94.0906,-24.7866
1033.HK,中石化油服,7.7700,7.4452,7.4571,8.0009,2.0678,-0.5300,15.7367,13.0687,,-97.9309,-0.0533
2671.HK,美联股份,12.4070,18.8315,19.5993,33.9112,1.7644,0.8509,,,,,12.0111
1053.HK,重庆钢铁股份,-17.8373,-17.5287,-7.2551,-4.6637,10.7248,3.2382,4.8815,10.1408,3.8729,,-85.7601
9995.HK,荣昌生物,25.3672,-54.1484,-35.9065,-23.7063,7.8471,-41.5042,,,,,
9980.HK,东鹏饮料,51.6141,47.4852,35.8221,30.9699,38.7868,45.7702,41.9212,22.0454,,,
9908.HK,嘉兴燃气,12.7883,17.4026,25.5996,8.4374,15.2670,17.1862,26.1293,24.3441,,,
9903.HK,天数智芯,-65.9917,-110.7645,-99.9304,,,,,,,,
9889.HK,东莞农商银行,6.4314,8.0992,9.7588,12.0432,13.3846,13.8849,15.5698,16.7305,,,
9887.HK,维立志博-B,-27.6117,88.1722,,,,,,,,,
9881.HK,容大科技,,24.1253,15.4289,23.0726,,,,,,,
9880.HK,优必选,-15.0744,-55.1859,-84.4749,-113.7649,-103.8700,,,,,,
9878.HK,汇通达网络,3.7985,3.4671,5.7006,11.7739,,,,,,,
9877.HK,健世科技-B,-31.5168,-16.4009,-28.5275,-32.9809,-60.9076,-163.6792,,,,,
9863.HK,零跑汽车,4.4516,-24.9972,-40.6250,-65.9676,-85.3687,,,,,,
9699.HK,顺丰同城,8.8978,4.4587,1.6872,-9.0706,-48.9183,-608.3878,,,,,
9678.HK,云知声,32.0323,,,,,-95.6094,-58.0446,-57.9908,,,
9677.HK,威海银行,7.7404,8.4682,9.1675,9.7255,9.4189,9.3455,10.3701,8.0198,,,
9676.HK,十月稻田,11.6341,5.8912,-3.9585,,-68.9919,,,,,,
9668.HK,渤海银行,4.6723,4.6817,4.5294,5.6416,8.2262,9.0858,11.8309,13.5733,,,
9663.HK,国鸿氢能,-17.8409,-12.8341,-14.2473,-14.3135,-65.2328,-53.2038,,,,,
9633.HK,农夫山泉,44.2277,39.8412,45.8817,37.9035,39.5309,41.5969,40.8072,28.2839,,,
9611.HK,龙旗科技,10.2370,10.6329,17.3410,18.4037,24.6388,,,,,,
9609.HK,海伟股份,5.2284,14.1066,17.0940,,,,,,,,
8629.HK,集信国控,10.8960,11.5839,15.4192,4.2723,,,,,,,
7688.HK,拓璞数控,1.9706,5.6856,-44.6096,-280.1954,,,229.5900,,,,
7666.HK,剂泰科技-P,229.4585,,,,,,,,,,
7630.HK,英派药业-B,,,,,,,,,,,
7489.HK,岚图汽车,14.6986,-2.7454,-37.0591,,,,,,,,
6990.HK,科伦博泰生物,-9.3440,-9.4629,128.0564,,,,,,,,
6963.HK,阳光保险,10.4869,8.8943,6.1690,8.2207,10.3388,10.6254,11.0136,,,,
6960.HK,双登股份,8.7818,15.7997,20.2032,20.2229,,,,,,,
6955.HK,博安生物,0.3259,4.9387,-8.7192,-22.3395,-22.1728,,,,,,
6938.HK,瑞博生物-B,,,,,,,,,,,
6922.HK,康沣生物-B,-61.7696,-88.7031,-48.6701,-54.7714,-92.2216,,,,,,
6911.HK,澜沧古茶,-13.9400,-36.6067,8.8848,9.3633,19.6375,23.0072,,,,,
6887.HK,东阳光药,11.6213,-61.7299,-11.0049,,,,,,,,
6872.HK,丹诺医药-B,41.1841,,,,,,,,,,
6871.HK,翼菲科技,-136.9654,-98.9557,-73.0922,,,,,,,,
6810.HK,商米科技-W,11.3218,10.0155,5.8893,,,,,,,,
6809.HK,澜起科技,18.3792,13.0751,4.4859,14.1986,10.0740,14.3336,17.0456,30.6856,33.5179,,
6682.HK,范式智能,-0.4173,-5.1634,-48.1515,,,,,,,,
6661.HK,湖州燃气,7.5435,9.7377,9.5873,10.0332,13.5416,17.6675,12.9242,,,,
6660.HK,艾美疫苗,-22.0569,-7.9116,-30.2454,-6.4875,-16.6648,15.2909,8.2312,,,,
6657.HK,百望股份,-1.0255,219.9877,,,,,,,,,
6656.HK,思格新能,133.5844,19.8253,,,,,,,,,
6651.HK,五一视界,-37.5550,-46.1890,20.4540,,,,,,,,
6636.HK,极视角,-19.9723,3.8150,-23.9736,,,,,,,,
6609.HK,心玮医疗-B,7.5946,-1.2743,-8.3897,-15.7905,-18.9126,-56.0474,,,,,
6600.HK,卧安机器人,-2.6565,-1.5608,-8.0884,,,,,,,,
6199.HK,贵州银行,8.1397,8.0629,8.4578,9.5190,9.8798,10.5000,12.0093,12.3574,12.0733,,
6185.HK,康希诺生物,0.5652,-7.4404,-24.6656,-12.3370,27.2203,-10.5190,-15.8925,-24.9234,-15.6850,,
6181.HK,老铺黄金,64.8389,54.2008,34.9102,11.5288,16.0033,14.4431,17.7742,12.4328,,,
6168.HK,周六福,22.5654,29.1790,31.6501,35.6465,45.2376,,,71.2046,61.2509,,
6117.HK,日照港裕廊,5.7720,7.3116,8.2539,8.0802,7.2872,6.9656,8.0151,10.2277,8.6264,,
6082.HK,壁仞科技,,,,,,,,,,,
6049.HK,保利物业,15.2999,16.0019,16.8202,15.3759,13.0543,11.9990,17.1948,64.8926,65.2547,,
3931.HK,中创新航,4.1034,1.6932,0.8530,2.3629,0.7709,0.0581,,,,,
3881.HK,希迪智驾,-332.5888,,,,,,,,,,
3880.HK,泰德医药,22.8386,20.6670,21.4331,35.0970,,,,,,,
3677.HK,正力新能,11.5599,1.7101,-16.3403,-77.2484,,,,,,,
3625.HK,傅里叶,-43.5304,-30.4527,-36.9287,,,,,,,,
3388.HK,创想三维,-16.8946,8.5663,20.9129,,,,,,,,
3378.HK,翰思艾泰-B,-30.3265,-53.3328,-40.9036,,,,,,,,
3355.HK,飞速创新,26.3766,18.0624,25.8751,,,,,,,,
3317.HK,迅策,-4.8009,-5.2102,-3.4869,-6.4623,,,,,,,
3310.HK,云英谷科技,-25.5033,-29.8293,-19.5043,,,,,,,,
3296.HK,华勤技术,16.8858,13.4944,16.2918,23.5604,22.3092,37.6584,14.4953,,,,
3277.HK,长光辰芯,21.3120,18.4616,20.7707,,,,,,,,
3200.HK,大族数控,14.7220,6.1438,2.6053,10.7117,33.1459,18.8816,16.9421,,,,
2889.HK,博泰车联,-59.1477,-50.5164,-40.1381,-127.2220,,,,,,,
2729.HK,凯乐士科技,,,,,,,,,,,
2726.HK,瀚天天成,0.4083,7.7176,10.5002,,,,,,,,
2723.HK,深演智能,2.2275,5.0200,13.6618,,,,,,,,
2706.HK,海致科技集团,,,,,,,,,,,
2696.HK,复宏汉霖,23.7176,31.5206,28.5229,-35.3544,-35.8128,-27.6015,-30.1730,-57.3229,,,
2693.HK,金岩高岭新材,7.2679,12.1205,11.4584,9.0867,35.1180,,,,,,
2692.HK,兆威机电,7.6067,7.1404,5.9629,5.2128,5.2700,14.1797,71.6582,47.9532,25.3616,,
2687.HK,卓越睿新,17.0953,23.6270,23.4856,-17.8843,,,,,,,
2675.HK,精锋医疗-B,-7.2077,-16.1960,-12.8926,,-39.3428,,,,,,
2670.HK,云迹,89.6531,,,,,,,,,,
2659.HK,宝济药业-B,-30.5506,-41.7688,,,,,,,,,
2658.HK,天域半导体,-2.8298,-33.9722,6.2426,0.9314,,,,,,,
2657.HK,林清轩,29.4523,34.5287,19.8452,,,,,,,,
2655.HK,果下科技,16.5332,34.3110,45.5879,,,,,,,,
2652.HK,长风药业,0.2064,2.2806,3.5809,-5.6241,,,,,,,
2650.HK,挚达科技,-114.3035,-160.6616,-20.8553,-108.5276,,,,,,,
2649.HK,优乐赛共享,,10.7526,15.1682,8.6929,,,,,,,
2637.HK,海西新药,16.5830,28.7519,33.8959,,,,,,,,
2635.HK,诺比侃,14.1725,22.2292,25.0198,37.9349,,,,,,,
2632.HK,泽景股份,,,,,,,,,,,
2631.HK,天岳先进,-3.3366,3.3972,-0.8728,-4.7018,4.1305,-48.7504,-83.5911,,,,
2630.HK,旺山旺水-B,-119.4242,-121.2895,,,,,,,,,
2627.HK,中慧生物-B,,-101.4857,,,,,,,,,
2625.HK,江苏宏信,5.8860,8.5323,11.0085,12.2369,,,,,,,
2619.HK,香江电器,4.9527,16.4130,16.7753,12.8977,,,,,,,
2617.HK,药捷安康-B,-62.8768,-41.9825,-36.6331,-58.7901,,,,,,,
2613.HK,汇舸环保,1.4610,45.2309,62.4237,29.8487,,,,,,,
2602.HK,万物云,4.4780,6.7567,11.4762,11.4634,20.6539,24.9333,,,,,
2598.HK,连连数字,77.3278,-18.5096,-79.6343,-61.5979,-33.1938,,,,,,
2595.HK,劲方医药-B,"2,533.4453",,,,,,,,,,
2591.HK,银诺医药-B,-36.9067,-23.2672,-117.6930,,,,,,,,
2590.HK,极智嘉-W,0.7326,,,,,,,,,,
2589.HK,沪上阿姨,32.2474,32.5182,64.4600,52.0043,,,,,,,
2585.HK,梦金园,4.0297,8.6623,12.8045,11.2452,15.5297,,,,,,
2582.HK,国富氢能,-34.6948,-27.0211,-12.4532,-14.3688,,,,,,,
2579.HK,中伟新材,7.0951,7.3420,10.7155,11.7520,13.7382,14.1210,13.8106,15.9609,,,
2577.HK,英诺赛科,-23.4074,-42.3785,-44.7578,378.5390,,,,,,,
2576.HK,太美医疗科技,-3.7590,-20.0932,-30.3093,-30.3501,,,,,,,
2575.HK,轩竹生物-B,-21.1012,-53.8404,-24.5478,,,,,,,,
2573.HK,新琪安,2.2883,9.4975,10.7023,35.5539,,,,,,,
2571.HK,赛目科技,7.7425,10.1999,11.7915,14.3570,22.9554,123.5262,,,,,
2570.HK,重塑能源,-31.4449,-38.1967,-25.8535,-35.6619,,,,,,,
2566.HK,九源基因,8.7427,11.4741,14.3954,8.0666,,,,,,,
2565.HK,派格生物医药-B,-83.2319,-233.9472,-113.9129,,,,,,,,
2563.HK,华昊中天医药-B,-18.0441,-18.9940,-23.8383,,,,,,,,
2560.HK,海螺材料科技,9.2463,13.5415,16.0661,13.5228,26.5395,,,,,,
2558.HK,晋商银行,5.8325,6.6463,8.3226,8.0860,7.8130,7.6149,8.2184,8.5604,10.1076,,
2555.HK,茶百道,20.4162,19.9560,154.6065,201.5634,347.3810,,,,,,
2553.HK,首钢朗泽,-29.1592,-15.7830,-6.8460,-2.3725,,,,,,,
2546.HK,智汇矿业,11.2500,5.6085,17.0908,,,,,,,,
2543.HK,大行科工,19.4261,48.5579,48.2487,,,,,,,,
2539.HK,乐摩科技,25.3301,43.7894,76.2292,,,,,,,,
2529.HK,泓盈城市服务,18.9107,22.7988,31.7886,32.3762,33.0168,,,,,,
2526.HK,德适-B,-39.5028,-97.9518,,,,,,,,,
2522.HK,一脉阳光,0.2174,-3.3417,3.4628,0.0286,-78.5008,,,,,,
2520.HK,山西安装,4.8851,5.7090,7.0118,8.6593,7.9127,16.3868,,,,,
2517.HK,锅圈,14.0065,7.1976,8.1834,9.8174,-33.4824,,,,,,
2515.HK,天津建发,-15.9336,7.8511,21.4847,25.1805,41.1658,,,,,,
2513.HK,智谱,,,,,,,,,,,
2509.HK,荃信生物-B,68.1361,-128.1450,-108.4377,-45.4537,,,,,,,
2506.HK,讯飞医疗科技,-7.0557,-18.4335,-34.4855,-49.3360,,,,,,,
2502.HK,金源氢化,-3.5401,-1.5981,6.8494,26.5630,16.8473,,,,,,
