证券代码,证券简称,"净资产收益率ROE(平均)
[报告期] 2025年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2024年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2023年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2022年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2021年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2020年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2019年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2018年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2017年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2016年报
[单位] %↓","净资产收益率ROE(平均)
[报告期] 2015年报
[单位] %"
6821.HK,凯莱英,6.5693,5.5292,13.6976,23.3683,11.4977,15.9361,19.8648,18.7479,17.9062,19.1788,18.8770
1385.HK,上海复旦,3.8630,10.2276,14.6325,28.0740,20.2925,7.1603,-8.6894,6.0389,14.9444,19.0914,17.2332
3986.HK,兆易创新,9.2830,6.9565,1.0606,14.3207,19.3307,11.0645,17.0420,22.1699,26.1887,19.0752,31.8384
0696.HK,中国民航信息网络,10.1172,9.6983,7.0477,3.2983,2.9755,1.9572,14.2108,14.3366,15.3961,18.8888,17.2707
2799.HK,中信金融资产,18.6742,18.4100,3.7175,-51.8584,0.9767,-147.6227,1.1777,1.2664,18.0698,18.3853,17.2894
3606.HK,福耀玻璃,25.4182,22.3336,18.6226,17.1876,13.1278,12.0973,13.9366,21.0105,16.9891,18.2383,20.6419
6869.HK,长飞光纤光缆,6.3987,5.8936,12.0966,11.7132,7.5255,6.0965,9.4394,22.1830,26.9421,18.0956,17.8667
8049.HK,吉林长龙药业,11.9880,11.8489,9.5844,12.6264,10.2373,9.7955,12.2051,15.0384,15.3811,17.9394,17.6863
1671.HK,天保能源,2.6158,1.4423,0.0823,2.5333,0.1386,5.6791,3.4066,9.5940,13.1807,17.8467,
3759.HK,康龙化成,11.6018,13.7022,13.8591,13.2954,17.4849,14.0934,10.8563,15.6333,11.8820,17.7727,34.6147
0895.HK,东江环保,-41.2164,-19.8656,-17.5502,-11.5877,3.5157,6.8247,10.1097,10.4984,13.4904,17.6699,12.8009
1349.HK,复旦张江,-7.1226,1.7045,4.7079,6.2020,10.1476,11.1922,23.7624,16.2831,8.7750,17.6005,18.4624
2318.HK,中国平安,13.9737,13.8549,9.7475,10.0263,12.9042,19.9341,24.3004,20.8580,20.7955,17.3873,17.3780
2016.HK,浙商银行,6.4370,7.8858,8.6191,8.3265,8.5842,9.5880,11.3808,12.1540,14.0679,17.3362,17.0292
0576.HK,浙江沪杭甬,11.0452,12.8193,14.7748,18.5259,18.5790,13.1145,16.7065,16.0070,16.4331,17.3300,17.7227
2429.HK,友宝在线,-6.9515,-22.6325,-33.9395,-25.3422,-13.6196,-57.5579,2.4681,,15.0693,17.2515,14.4158
2476.HK,胜宏科技,33.7592,13.9477,9.2201,11.9735,13.4073,14.7058,14.6866,13.4133,13.5974,17.2176,13.8007
2050.HK,三花智控,15.9183,16.6657,18.9455,21.3630,15.8759,15.1077,15.8736,15.6741,18.7294,17.1927,14.7940
6189.HK,爱得威建设集团,,,,,-89.3672,-29.7743,5.9499,13.1704,13.7526,17.1103,23.8375
2768.HK,国恩科技,15.9455,14.5235,11.0378,17.5810,19.5612,26.6665,17.9724,20.3445,22.0856,16.9504,13.9471
1958.HK,北京汽车,0.2129,1.6722,5.4353,7.8383,7.4432,3.9980,8.2630,9.9258,5.5628,16.9401,9.7085
1527.HK,天洁环境,8.1811,9.2753,5.0114,6.6391,2.6758,0.5924,4.6439,4.4268,11.7607,16.9206,22.6430
3399.HK,粤运交通,10.7860,11.8237,11.1772,-7.9814,-11.2393,-10.4402,12.9739,13.7165,18.5096,16.8675,15.0492
6198.HK,青岛港,11.9534,12.6500,12.6764,12.5138,11.6728,12.1283,13.2206,14.2220,16.1044,16.3856,15.8304
2208.HK,金风科技,6.7696,4.8870,3.5163,6.4735,9.9181,9.1405,7.9439,13.5016,14.3200,16.3483,18.0753
3968.HK,招商银行,12.0198,12.8902,14.5016,15.2986,15.1561,14.5825,16.1309,15.7910,15.8969,16.2695,17.0898
6980.HK,八马茶业,15.7377,21.8018,24.3563,32.4679,,,,,,16.0292,14.4414
3618.HK,重庆农村商业银行,8.9940,9.0542,9.2433,9.3980,9.6261,9.2381,12.2795,13.4757,15.3695,15.9925,16.3815
2777.HK,富力地产,,-71.3831,-45.7634,-25.2560,-20.6269,10.7935,13.2850,12.9003,40.2362,15.9923,14.6479
9927.HK,赛力斯,22.4014,50.2402,-21.4645,-39.5461,-27.7972,-32.2909,1.2400,2.1386,16.9052,15.9333,15.7106
2328.HK,中国财险,14.8447,13.1494,11.1427,12.9417,11.4549,11.6755,15.5930,11.2781,15.6941,15.7896,22.4399
0177.HK,江苏宁沪高速公路,11.4790,13.6302,13.3881,11.9802,14.3011,8.6834,15.3599,17.6272,15.6915,15.6776,12.2800
1963.HK,重庆银行,9.1165,8.6742,9.2792,10.0774,10.6663,11.4714,12.0213,11.7803,13.6072,15.5290,17.0452
0939.HK,建设银行,9.7031,10.3697,11.0757,11.8958,12.2152,11.8335,12.7236,13.5591,14.4365,15.3767,17.0499
2238.HK,广汽集团,-7.9962,0.7156,3.8669,7.8417,8.5993,7.2483,8.4395,14.9281,19.4291,15.2420,11.3796
1880.HK,中国中免,6.6036,7.9616,13.3195,13.1835,38.0200,28.3967,24.9605,20.0779,19.0051,15.2074,14.1540
1599.HK,城建设计,6.5797,6.8478,12.2948,15.0935,14.7687,15.2987,14.3842,13.6527,13.7474,15.1762,14.3928
2139.HK,甘肃银行,1.7266,1.7402,1.9621,1.8603,1.7988,1.9904,2.0416,16.4377,22.4673,15.1040,11.3646
3969.HK,中国通号,7.5334,7.3700,7.5483,8.1766,7.6051,9.1274,10.8981,13.2304,14.4937,15.0585,16.3661
1099.HK,国药控股,8.7880,9.1873,12.6936,13.1210,13.1230,13.8509,13.8570,14.9485,15.7543,15.0247,13.0957
2465.HK,龙蟠科技,-5.7744,-19.3810,-30.1722,22.4184,17.9215,12.3741,9.7812,6.7153,10.0789,14.8961,10.9403
1983.HK,泸州银行,11.8235,10.9183,9.4140,8.1168,7.8736,7.2744,9.5639,12.3019,14.8314,14.8689,
1988.HK,民生银行,4.5873,5.0962,5.8509,6.0073,6.2295,6.5451,11.4640,12.5968,13.8070,14.8625,17.0352
1398.HK,工商银行,8.9739,9.4701,10.0383,10.6763,11.3258,11.3438,12.4735,13.3562,13.9630,14.8035,16.6930
6066.HK,中信建投证券,8.3694,7.0834,7.3767,8.6758,13.8779,15.2987,10.5640,6.7610,9.4684,14.7796,36.9377
3698.HK,徽商银行,10.1586,10.2614,10.9929,11.7434,10.8319,10.0601,12.6350,13.8935,13.8990,14.7704,15.8916
1288.HK,农业银行,9.1985,9.4341,9.6931,10.1963,10.4422,10.3981,11.7225,13.0967,14.0612,14.5507,16.1151
1513.HK,丽珠医药,14.5816,14.7723,13.9954,14.2069,14.1427,14.7367,11.9427,10.1021,51.2617,14.4551,15.4832
1551.HK,广州农商银行,2.2503,2.2655,3.1011,4.3352,4.2474,7.3731,12.4090,13.1971,13.9424,14.4365,15.5218
1666.HK,同仁堂科技,5.4484,7.4037,8.8271,9.3545,8.6628,8.3056,7.7029,13.3780,14.4616,14.2476,14.3977
1858.HK,春立医疗,9.3893,4.3876,9.9273,11.8610,18.1680,30.0473,33.0043,18.1116,13.3971,14.0283,12.0308
6138.HK,哈尔滨银行,1.8263,1.4742,1.2054,0.9097,0.4982,1.5053,7.4056,12.6775,13.4993,14.0117,14.2348
6693.HK,赤峰黄金,28.8990,25.0816,14.1888,9.1961,13.3655,22.3022,6.8834,-5.0464,10.4982,13.9398,15.6315
