证券代码,证券简称,"净资产收益率ROE(平均)
[报告期] 2025年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2024年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2023年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2022年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2021年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2020年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2019年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2018年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2017年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2016年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2015年报
[单位] %"
600887.SH,伊利股份,21.4496,15.8413,20.0921,19.2517,22.2939,25.0489,25.6585,24.2922,24.9076,26.2935,23.9875
600893.SH,航发动力,1.5845,2.1689,3.6513,3.3426,3.2293,3.5375,3.9094,4.0746,4.6372,5.8078,7.0508
600900.SH,长江电力,15.9873,15.7895,14.0836,11.6267,14.8779,16.3530,14.7703,16.3076,16.9091,18.9331,12.9834
600905.SH,三峡能源,4.2359,7.2219,9.0000,9.8100,10.1900,8.9840,7.1715,8.1228,10.1404,,
600918.SH,中泰证券,3.1154,2.2680,4.6075,1.5955,9.2662,7.5171,6.8598,3.1319,5.5811,7.7951,26.5312
600919.SH,江苏银行,10.7555,11.4957,12.5262,12.6658,10.6380,9.6939,11.4469,11.5157,12.5452,14.4273,15.7108
600926.SH,杭州银行,12.7185,13.7321,13.7072,12.3824,10.8358,9.9527,12.1240,12.1716,11.1851,11.2997,12.9725
600930.SH,华电新能,5.9894,9.3033,12.2204,,,,,,,,
600938.SH,中国海油,15.7495,19.5082,19.5990,26.2871,15.3769,5.6596,14.1054,13.2159,6.4740,0.1658,5.2886
600941.SH,中国移动,9.7213,10.1233,9.9858,10.0219,9.8628,9.5746,9.8917,11.5583,11.6335,11.4684,12.2372
600958.SH,东方证券,6.8667,4.1840,3.5275,4.2548,8.6407,4.7701,4.6073,2.3509,7.6039,6.1345,27.4810
600989.SH,宝丰能源,24.8376,15.5444,15.6070,19.5231,24.9881,18.7717,20.5314,29.3923,26.1586,17.1850,18.1650
600999.SH,招商证券,9.2098,8.2382,7.3920,7.0915,10.6718,9.9501,8.7861,5.5329,8.3217,9.9900,24.2718
601006.SH,大秦铁路,3.6973,6.1777,8.9684,8.8618,9.9306,9.2804,12.4054,14.1276,14.1093,8.0122,14.6292
601009.SH,南京银行,11.0463,11.2691,11.3573,13.2615,13.8951,13.5230,15.1237,15.2574,14.9590,14.5007,16.5742
601012.SH,隆基绿能,-11.1479,-13.1177,16.2115,27.0298,22.0121,27.2653,23.9542,16.6931,29.3523,19.6764,11.7554
601018.SH,宁波港,6.4993,6.3945,6.3583,6.6630,8.1565,7.4361,8.6506,7.7201,7.5440,6.8875,8.1178
601021.SH,春秋航空,13.0395,13.7210,15.3343,-22.1270,0.2801,-4.0275,12.9816,13.7947,15.9821,13.7128,26.3123
601058.SH,赛轮轮胎,17.1311,23.6459,22.8382,11.6063,13.6821,19.2077,17.8701,10.8856,6.2839,8.2537,4.5615
601059.SH,信达证券,7.3004,6.5670,9.3309,9.3948,9.8854,7.9855,2.3044,0.4549,1.9399,4.8985,26.5499
601066.SH,中信建投,8.3694,7.0834,7.3767,8.6758,13.8779,15.2987,10.5640,6.7610,9.4684,14.7796,36.9377
601077.SH,渝农商行,8.9940,9.0542,9.2433,9.3980,9.6261,9.2381,12.2795,13.4757,15.3695,15.9925,16.3815
601088.SH,中国神华,12.8749,14.8422,15.9881,18.7659,13.8684,9.9542,12.1282,13.8527,15.3554,8.1002,5.9293
601100.SH,恒立液压,16.5431,16.6326,18.4944,21.4676,32.6311,34.9506,25.5899,19.9389,10.3930,2.0166,1.8366
601111.SH,中国国航,-4.0801,-0.5649,-3.4168,-90.9227,-23.9510,-16.8460,6.8808,8.2036,9.3568,10.5940,12.4217
601117.SH,中国化学,9.9426,9.4980,9.8313,10.7138,10.7930,10.0513,9.0063,6.3145,5.5800,6.6046,11.4155
601127.SH,赛力斯,22.4014,50.2402,-21.4645,-39.5461,-27.7972,-32.2909,1.2400,2.1386,16.9052,15.9333,15.7106
601136.SH,首创证券,7.8296,7.7017,5.7363,5.0887,9.2087,9.1052,10.1392,4.6455,8.3022,12.0966,24.1449
601138.SH,工业富联,22.0901,15.8540,15.6338,16.1778,17.9513,18.0599,23.0310,33.6513,30.0910,20.9982,
601166.SH,兴业银行,8.6867,9.2013,9.9994,12.7773,12.7230,11.5176,13.0780,13.7328,14.9148,16.2253,17.5677
601169.SH,北京银行,5.4706,7.5531,8.0656,8.2051,8.6437,10.0782,10.7318,10.8915,11.8203,13.7642,15.8519
601186.SH,中国铁建,5.4934,6.9630,8.6943,9.5274,9.4403,9.6468,10.6344,11.2341,11.4450,11.5293,12.4832
601211.SH,国泰海通,11.0972,7.7124,5.7746,7.5501,10.5551,8.0931,6.6196,5.4410,8.8587,10.0788,22.8592
601225.SH,陕西煤业,17.8810,24.8618,22.1275,37.3513,27.1687,23.1661,21.3801,23.1699,26.5916,8.4059,-9.1005
601229.SH,上海银行,9.4803,9.5622,9.8099,10.4539,11.1438,11.3782,12.0109,11.7443,11.6802,13.7797,15.7296
601236.SH,红塔证券,4.8883,3.2158,1.3586,0.1669,8.3580,10.1660,6.7861,4.0312,3.5204,2.9616,11.2627
601238.SH,广汽集团,-7.9962,0.7156,3.8669,7.8417,8.5993,7.2483,8.4395,14.9281,19.4291,15.2420,11.3796
601288.SH,农业银行,9.1985,9.4341,9.6931,10.1963,10.4422,10.3981,11.7225,13.0967,14.0612,14.5507,16.1151
601298.SH,青岛港,11.9534,12.6500,12.6764,12.5138,11.6728,12.1283,13.2206,14.2220,16.1044,16.3856,15.8304
601318.SH,中国平安,13.9737,13.8549,9.7475,10.0263,12.9042,19.9341,24.3004,20.8580,20.7955,17.3873,17.3780
601319.SH,中国人保,15.9872,16.4629,9.6013,11.1000,10.1846,10.3832,13.1558,8.8869,12.2131,11.7629,18.7290
601328.SH,交通银行,7.9238,8.3846,8.7834,9.2703,9.5651,9.4314,10.3618,10.7525,10.8012,11.5478,13.2270
601336.SH,新华保险,34.9247,26.0587,8.3789,9.2932,14.2241,15.3601,19.4071,12.2535,8.7647,8.4513,16.1987
601360.SH,三六零,0.8826,-3.5219,-1.5476,-6.6034,2.5121,8.8896,22.7037,17.6608,38.0201,9.7572,14.5620
601377.SH,兴业证券,4.8058,3.7904,3.6164,5.6436,12.0187,11.0940,5.2662,0.4106,7.0173,8.1513,25.1048
601390.SH,中国中铁,6.3108,8.1190,10.5713,10.8559,10.4156,10.5719,11.4683,9.9171,11.3408,9.5832,10.9230
601398.SH,工商银行,8.9739,9.4701,10.0383,10.6763,11.3258,11.3438,12.4735,13.3562,13.9630,14.8035,16.6930
601456.SH,国联民生,5.6530,2.1864,3.8884,4.6303,6.5886,6.3004,6.6343,0.6638,4.7685,7.9724,24.9031
601600.SH,中国铝业,17.5885,19.1288,11.6958,7.5079,9.1034,1.3597,1.5895,1.6247,3.5533,1.0461,0.6148
601601.SH,中国太保,18.0285,16.6210,11.4038,10.8127,12.1430,12.4903,16.9151,12.5536,10.8905,9.0962,14.1560
601607.SH,上海医药,7.7586,6.4943,5.5580,9.6496,10.7555,10.3345,10.1174,10.6266,10.7249,10.3858,9.9632
601618.SH,中国中冶,0.8561,4.5195,6.5047,8.9871,8.1553,8.0291,7.2567,7.6562,7.9208,8.2005,8.9004
601628.SH,中国人寿,27.8904,21.6738,10.1134,7.0143,10.9668,11.7749,16.1430,3.5648,10.3283,6.1098,11.4402
601633.SH,长城汽车,11.8232,17.2111,10.5033,12.9841,11.2602,9.5981,8.4113,10.2446,10.4269,24.6448,22.4548
601658.SH,邮储银行,7.9828,8.7153,9.6982,10.5324,10.3923,10.5619,11.9679,11.5556,12.2657,12.9019,15.2104
601668.SH,中国建筑,8.1928,10.3815,13.3667,13.9931,15.9571,15.5619,16.0724,16.6732,16.2577,16.6654,16.9786
601669.SH,中国电建,6.0095,7.3681,8.3140,8.2608,7.1040,7.0819,7.4761,9.3309,10.4873,11.5623,10.9613
601688.SH,华泰证券,8.2202,8.2804,7.4089,7.0509,9.6190,8.6026,7.9685,5.2774,10.8059,7.5942,17.5239
601689.SH,拓普集团,12.7339,18.0029,16.5985,14.9672,11.0717,8.2863,6.2510,11.0058,14.9997,18.8645,17.6428
601698.SH,中国卫通,2.7825,2.9298,2.2941,6.7919,4.8522,4.2714,4.2381,4.3918,4.2028,5.0470,6.5665
601728.SH,中国电信,7.2677,7.3744,6.9590,6.4113,6.5514,5.8243,5.8993,6.3414,5.8070,5.8161,6.7640
601766.SH,中国中车,7.7332,7.5133,7.4120,7.6764,7.0664,8.1251,8.9237,9.0434,9.5387,11.1972,17.2016
601788.SH,光大证券,5.3084,4.5150,6.5162,5.2335,6.3171,4.6731,1.2001,0.2158,6.2993,6.8729,23.0693
601800.SH,中国交建,4.8034,7.7554,8.4747,7.3996,7.2605,6.9336,9.4044,10.4835,12.3105,11.2466,12.0248
601808.SH,中海油服,8.5022,7.3431,7.4425,6.0820,0.8183,7.1851,7.0224,0.2050,0.0948,-27.9597,2.2846
601816.SH,京沪高铁,6.4329,6.4263,6.0931,-0.3107,2.5997,1.8860,7.7780,7.0058,6.3769,,
601818.SH,光大银行,6.5117,7.3145,7.6946,9.0485,9.2756,9.0226,10.5748,10.7494,11.3632,12.7985,14.6735
601825.SH,沪农商行,9.7821,10.4021,11.3338,11.2211,11.3439,11.0011,13.1255,12.6748,13.8279,13.3960,14.3014
601838.SH,成都银行,14.3451,16.3706,17.6064,17.7299,15.9857,14.7691,16.6318,16.5592,16.6803,,
601857.SH,中国石油,10.1464,11.1224,11.4471,11.3472,7.4369,1.5545,3.7376,4.3684,1.9138,0.6634,3.0155
601868.SH,中国能建,4.9495,7.4146,7.5214,7.9650,7.9994,7.3961,9.3375,9.1794,11.2723,9.9140,12.0861
601872.SH,招商轮船,14.4784,13.2773,13.8321,17.1097,13.8902,10.9173,7.0773,6.5786,3.9405,11.6627,9.6997
601877.SH,正泰电器,10.3948,9.5429,9.7734,11.7709,10.9820,23.7456,16.4021,17.2525,17.0220,21.7542,27.3559
601878.SH,浙商证券,6.7029,6.2109,6.5995,6.6218,10.1685,9.5142,6.7852,5.4232,9.2161,13.7802,24.4598
601881.SH,中国银河,8.6864,7.4043,6.7613,7.7010,11.5756,9.5217,7.6396,4.4249,6.4991,8.9703,22.8900
601888.SH,中国中免,6.6036,7.9616,13.3195,13.1835,38.0200,28.3967,24.9605,20.0779,19.0051,15.2074,14.1540
601898.SH,中煤能源,9.2908,12.2846,14.7113,16.1593,13.7388,5.4136,6.5577,4.9596,3.9871,2.0207,-3.8295
601899.SH,紫金矿业,31.8309,25.9213,21.5012,25.0561,24.5708,12.0837,9.3494,10.8509,11.1778,6.6539,5.9560
601901.SH,方正证券,8.0225,4.7258,4.8766,5.0904,4.5006,2.8053,2.6375,1.7570,3.9885,7.3006,12.4491
601916.SH,浙商银行,6.4370,7.8858,8.6191,8.3265,8.5842,9.5880,11.3808,12.1540,14.0679,17.3362,17.0292
601919.SH,中远海控,13.2180,22.8293,12.0355,65.7821,100.8949,25.0452,22.9719,5.6481,13.6536,-46.0995,1.1559
601939.SH,建设银行,9.7031,10.3697,11.0757,11.8958,12.2152,11.8335,12.7236,13.5591,14.4365,15.3767,17.0499
601985.SH,中国核电,8.1283,8.7264,11.8312,10.9367,10.9671,9.9496,9.5614,10.5387,10.6908,11.4694,12.5919
601988.SH,中国银行,8.2656,8.7349,9.1714,9.7766,10.1586,9.9159,10.8180,11.5848,11.8587,12.1163,13.9705
601995.SH,中金公司,8.2479,5.1778,6.0416,8.2757,13.8125,12.0196,9.3697,8.8532,10.0314,10.4346,15.9829
601998.SH,中信银行,8.7286,9.1041,9.6939,9.6155,9.5042,9.2251,10.0663,10.6452,10.9303,11.9458,14.2559
603019.SH,中科曙光,10.2089,9.7877,10.2946,10.4033,9.5297,10.3103,14.5814,12.3643,10.2061,10.5666,14.0383
603195.SH,公牛集团,24.9245,28.1882,28.8334,27.5420,27.9530,31.4995,52.3640,69.6040,63.9665,,
603259.SH,药明康德,27.7494,16.4434,21.0204,20.7183,14.3612,11.8871,10.5974,18.8139,20.6034,21.8193,11.6897
603260.SH,合盛硅业,-9.6324,5.3342,9.3276,23.4273,55.1020,15.4456,13.4673,42.0329,37.6462,27.9972,13.0329
603288.SH,海天味业,19.4904,21.3513,20.4872,24.8908,30.6914,34.9402,35.1523,34.0622,32.4475,30.3027,30.9086
603296.SH,华勤技术,16.8858,13.4944,16.2918,23.5604,22.3092,37.6584,14.4953,,,,
603369.SH,今世缘,16.2648,23.7430,25.7564,24.5832,23.1050,20.2526,21.9247,20.2643,18.1410,17.4410,18.0852
603392.SH,万泰生物,-3.3014,0.8511,9.9648,56.3532,57.5921,32.9240,14.3610,26.3044,17.0203,18.7700,18.7931
603501.SH,豪威集团,15.4484,14.5342,2.8161,5.7440,32.6289,28.2401,9.7393,9.8606,13.7948,19.5294,19.8580
603799.SH,华友钴业,14.3367,11.6670,11.1379,17.2710,26.5989,13.1845,1.5576,22.4303,36.5432,2.0557,-10.6122
603893.SH,瑞芯微,26.2340,18.0081,4.5104,10.3078,23.5466,16.0921,12.6868,13.4821,10.1219,12.6192,4.2030
603986.SH,兆易创新,9.2830,6.9565,1.0606,14.3207,19.3307,11.0645,17.0420,22.1699,26.1887,19.0752,31.8384
603993.SH,洛阳钼业,26.5072,20.7287,14.8324,13.2547,12.9698,5.8443,4.5431,11.7199,9.5888,5.5306,4.7592
605117.SH,德业股份,32.0847,40.3164,38.5409,45.2773,32.9898,54.0139,59.2713,36.6410,44.3234,,
605499.SH,东鹏饮料,51.6141,47.4852,35.8221,30.9699,38.7868,45.7702,41.9212,22.0454,,,
688008.SH,澜起科技,18.3792,13.0751,4.4859,14.1986,10.0740,14.3336,17.0456,30.6856,33.5179,,
688009.SH,中国通号,7.5334,7.3700,7.5483,8.1766,7.6051,9.1274,10.8981,13.2304,14.4937,15.0585,16.3661
688012.SH,中微公司,9.9524,8.6025,10.7229,7.9513,11.0483,12.1229,6.4274,7.6277,-9.8965,,
688036.SH,传音控股,12.6641,28.9872,32.6918,16.6463,31.8929,28.6612,29.4702,18.4912,26.1653,,
688041.SH,海光信息,11.9075,9.9137,7.0651,7.1557,6.3911,-1.1361,-3.9680,,,,
688047.SH,龙芯中科,-16.7239,-19.2850,-8.8566,1.9593,18.7812,7.1180,,,,,
688082.SH,盛美上海,13.2095,16.3296,15.1978,12.9314,9.0813,20.9485,27.6699,95.6851,,,
688111.SH,金山办公,15.1718,15.4436,14.1137,13.5921,14.2888,13.5899,11.0421,27.9125,23.1105,21.8677,-40.4974
688126.SH,沪硅产业,-10.3169,-7.0807,1.2688,2.6305,1.4711,1.1997,-2.1263,0.3250,7.6108,,
688169.SH,石头科技,10.1438,16.3017,19.5943,13.1148,17.9740,31.8516,71.6893,63.4998,32.2769,,
688187.SH,时代电气,9.7520,9.4461,8.6999,7.6121,7.1456,10.8186,12.7431,13.9002,15.0367,19.8393,24.1861
688223.SH,晶科能源,-23.8581,0.2968,24.3749,14.5927,8.7596,9.7746,17.2078,3.9188,4.0273,27.3947,20.1050
688256.SH,寒武纪,23.8629,-8.1705,-16.1532,-23.3866,-13.3894,-8.0554,-48.4469,-15.0984,,,
688271.SH,联影医疗,9.0141,6.5096,10.8628,14.7073,32.8147,30.9081,-3.2308,,,,
688303.SH,大全能源,-2.8521,-6.4689,12.8889,61.6730,54.1771,26.1058,7.7907,16.8071,45.7390,28.7218,13.7444
688396.SH,华润微,2.9172,3.4765,7.1223,14.0437,16.2735,12.0413,,10.7623,2.1461,-10.1491,
688472.SH,阿特斯,4.3882,10.1415,17.5529,20.4845,0.3701,22.0122,23.9991,33.0895,,14.3505,
688506.SH,百利天恒,-20.1056,184.9117,-143.7692,-44.6218,-27.4655,8.7105,,,,,
688981.SH,中芯国际,3.2584,2.4196,4.5970,10.0163,10.6280,6.9658,4.2196,2.5239,3.8559,9.5585,7.5891
,,,,,,,,,,,,
数据来源：Wind,,,,,,,,,,,,
