winsor,benchmark,model,method,n_train,cv_rmse_raw_y,cv_mae_raw_y,cv_r2_raw_y,cv_rmse_winsor_y,cv_mae_winsor_y,cv_r2_winsor_y
5-95,H_nonSOE,Ridge,baseline,1154,0.24002409613537917,0.13453178563013254,0.19269310365663472,0.14393369932023162,0.10844350117376766,0.26166150811008304
5-95,H_nonSOE,Ridge,psm,246,0.04990467098714853,0.04215554388089126,-0.012614650916671577,0.044950501191314635,0.03956092715361966,-0.5379101806780824
5-95,H_nonSOE,Ridge,cem,768,0.17476211800278196,0.09596856283171144,0.2312947978163964,0.09977483456658272,0.07669959929004477,0.2886304745361842
5-95,H_nonSOE,Ridge,entropy,1154,0.24002409613537917,0.13453178563013254,0.19269310365663472,0.14393369932023162,0.10844350117376766,0.26166150811008304
5-95,H_nonSOE,Ridge,overlap,1154,0.24002409613537917,0.13453178563013254,0.19269310365663472,0.14393369932023162,0.10844350117376766,0.26166150811008304
5-95,CSI_nonSOE,Ridge,baseline,686,0.10776996860201267,0.0690371374100403,0.14337192099029106,0.07667169191379394,0.05872574929050678,0.21141172858659507
5-95,CSI_nonSOE,Ridge,psm,438,0.1431909240326738,0.1003331241565984,-0.6134697571308694,0.09745781029750027,0.08383165497851618,-2.0481770549703553
5-95,CSI_nonSOE,Ridge,cem,623,0.10850257061043656,0.0692827639425274,0.15057725284725143,0.07704951142173133,0.05899752766644393,0.22071741710412884
5-95,CSI_nonSOE,Ridge,entropy,686,0.10776996860201267,0.0690371374100403,0.14337192099029106,0.07667169191379394,0.05872574929050678,0.21141172858659507
5-95,CSI_nonSOE,Ridge,overlap,686,0.10776996860201267,0.0690371374100403,0.14337192099029106,0.07667169191379394,0.05872574929050678,0.21141172858659507
5-95,Pooled_H_plus_CSI_nonSOE,Ridge,baseline,1840,0.2078968064294031,0.11457634481298255,0.17689792649940017,0.1204945885858221,0.09124532698689558,0.2418574339935302
5-95,Pooled_H_plus_CSI_nonSOE,Ridge,psm,480,0.14807918720020385,0.10964313776663029,-0.7245356478348248,0.10869714673064486,0.09348247318329699,-2.4977617936220664
5-95,Pooled_H_plus_CSI_nonSOE,Ridge,cem,1391,0.15472147519816426,0.08727585405937262,0.19423278623268747,0.09091191651255472,0.07037444140660483,0.2489827806872792
5-95,Pooled_H_plus_CSI_nonSOE,Ridge,entropy,1840,0.2078968064294031,0.11457634481298255,0.17689792649940017,0.1204945885858221,0.09124532698689558,0.2418574339935302
5-95,Pooled_H_plus_CSI_nonSOE,Ridge,overlap,1840,0.2078968064294031,0.11457634481298255,0.17689792649940017,0.1204945885858221,0.09124532698689558,0.2418574339935302
2-97,H_nonSOE,Ridge,baseline,1154,0.23613777987021498,0.13328173280811867,0.21862425126735718,0.16246181646579758,0.11668401339737344,0.2807286095359012
2-97,H_nonSOE,Ridge,psm,246,0.04560414352181294,0.03753235825123569,0.15438939524906958,0.041301477266742805,0.03529975967399991,0.011175992059273554
2-97,H_nonSOE,Ridge,cem,768,0.16971414098174337,0.09575070650599382,0.2750613047785204,0.11108166673809862,0.0832829682247438,0.3202638141613269
2-97,H_nonSOE,Ridge,entropy,1154,0.23613777987021498,0.13328173280811867,0.21862425126735718,0.16246181646579758,0.11668401339737344,0.2807286095359012
2-97,H_nonSOE,Ridge,overlap,1154,0.23613777987021498,0.13328173280811867,0.21862425126735718,0.16246181646579758,0.11668401339737344,0.2807286095359012
2-97,CSI_nonSOE,Ridge,baseline,686,0.1079910429460916,0.07023750330365723,0.1398538215735916,0.08761341425016565,0.06458703646692254,0.18760950996133807
2-97,CSI_nonSOE,Ridge,psm,438,0.17521941926657544,0.1326334047702426,-1.415985476857231,0.14796668858767545,0.12162778656248002,-3.7600705525083162
2-97,CSI_nonSOE,Ridge,cem,623,0.10888151253332735,0.07033379671374812,0.1446337260038616,0.08851408867329619,0.06476821148100328,0.19625694589877485
2-97,CSI_nonSOE,Ridge,entropy,686,0.1079910429460916,0.07023750330365723,0.1398538215735916,0.08761341425016565,0.06458703646692254,0.18760950996133807
2-97,CSI_nonSOE,Ridge,overlap,686,0.1079910429460916,0.07023750330365723,0.1398538215735916,0.08761341425016565,0.06458703646692254,0.18760950996133807
2-97,Pooled_H_plus_CSI_nonSOE,Ridge,baseline,1840,0.20146160963591847,0.11247493795359344,0.22706556007723022,0.13496309125655445,0.09761080982859344,0.2864324164698957
2-97,Pooled_H_plus_CSI_nonSOE,Ridge,psm,480,0.17832145659758938,0.13949334081586195,-1.5008712743903274,0.1512269264865754,0.12676965956586195,-4.099456301416409
2-97,Pooled_H_plus_CSI_nonSOE,Ridge,cem,1391,0.15195498877836217,0.08726385452622187,0.22279010221088213,0.10219178069312565,0.07646351538172151,0.2682586330284269
