benchmark,二级行业,n_firms,actual_mean,predicted_mean,mean_gap,median_gap,positive_gap_share,actual_asset_weighted,predicted_asset_weighted,asset_weighted_gap,net_implied_gap_amount,positive_only_gap_amount,total_assets
CSI_nonSOE,交通运输,104,0.06100473076923077,0.022482257832025024,-0.03852247293720575,-0.0466762131727185,0.19230769230769232,0.05522493786186142,0.007215417986559539,-0.04800951987530188,-862999796614.1594,124550738896.96738,17975597316025.71
CSI_nonSOE,企业服务,7,0.07905871428571429,0.05634067947480859,-0.02271803481090569,-0.005539235147208103,0.2857142857142857,0.08320670444622089,0.056467216448723094,-0.026739487997497792,-6497477522.091901,399777557.91791034,242991844971.0
CSI_nonSOE,传媒,7,0.06796342857142858,0.0957013217154107,0.02773789314398214,0.03771988598566102,0.7142857142857143,0.06380666069177415,0.09353387923017144,0.029727218538397285,5607408079.711647,5783101607.053423,188628750196.35
CSI_nonSOE,公用事业Ⅱ,81,0.0512957901234568,0.04090904284604634,-0.01038674727741045,-0.013965221516787238,0.2716049382716049,0.04954858931659287,0.03361738275073379,-0.015931206565859078,-406942763751.359,148938291261.85785,25543750378797.176
CSI_nonSOE,化工,35,0.13117034285714282,0.1317789406224992,0.0006085977653563446,-0.011119927395316198,0.4,0.11563949858099856,0.09094263649184292,-0.02469686208915564,-55364237103.965935,43719337839.83869,2241751883462.0005
CSI_nonSOE,医药生物,42,0.13024395238095238,0.13538107519953496,0.005137122818582579,0.017400613600366932,0.6190476190476191,0.08064701717989751,0.1047241216882647,0.024077104508367184,50243444550.64924,63194958921.99499,2086772706958.5498
CSI_nonSOE,半导体,21,0.06462819047619048,0.03869872123276556,-0.025929469243424916,-0.027006996546342338,0.2857142857142857,0.06725346024491831,0.03351715364232776,-0.03373630660259055,-26069850422.99115,3735168499.657187,772753542054.5801
CSI_nonSOE,可选消费零售,7,0.1564017142857143,0.14701473469510448,-0.009386979590609813,0.0169782155153336,0.5714285714285714,0.1421112998473441,0.14485597925965912,0.0027446794123150153,1214043721.7100172,13695241978.585224,442326239000.0
CSI_nonSOE,国防军工,35,0.03777714285714285,0.03608891189059672,-0.0016882309665461341,-0.008650571580248088,0.4,0.02869768412615546,0.018536406057276366,-0.010161278068879093,-20232528547.276768,9785316882.409775,1991140131204.84
CSI_nonSOE,建材Ⅱ,21,0.11978980952380952,0.12523505628772108,0.0054452467639115685,0.025873501470863813,0.6190476190476191,0.12266443028133597,0.12618989631901822,0.003525466037682251,7528259797.7693405,72210847939.26581,2135394219460.03
CSI_nonSOE,建筑,63,0.03173687301587302,0.0013356028870884788,-0.030401270128784543,-0.028300744807892436,0.015873015873015872,0.02836293690445894,0.0027272556065103893,-0.02563568129794855,-1836793845147.9375,649097217.440178,71649893903733.45
CSI_nonSOE,房地产Ⅱ,21,0.019553476190476198,0.015429326513644022,-0.004124149676832169,-0.007239824801138144,0.3333333333333333,0.026264690050954605,0.011826161309239783,-0.014438528741714822,-220079082689.71042,17857061271.93604,15242486726079.84
CSI_nonSOE,有色金属,63,0.08989398412698413,0.1234731720637919,0.03357918793680777,0.04168064679379828,0.746031746031746,0.0900550154410051,0.10419068885045024,0.014135673409445146,98209431806.15784,230987916642.39825,6947630223299.91
CSI_nonSOE,机械,35,0.03275877142857143,0.056728207855699625,0.023969436427128198,0.013629915863021431,0.7428571428571429,0.03606166138671246,0.04925729204405193,0.013195630657339467,107424907208.70358,126045255766.12935,8140945286988.109
CSI_nonSOE,汽车与零配件,28,0.0330705,0.04025305325198793,0.007182553251987937,0.0029131213547829906,0.6071428571428571,0.03226265632374354,0.03829397444537578,0.00603131812163224,61267167335.65592,94073231806.42075,10158172077826.9
CSI_nonSOE,煤炭Ⅱ,35,0.12269231428571428,0.0652962911558071,-0.05739602312990721,-0.04508637863919626,0.08571428571428572,0.12249722499666438,0.07290160373454604,-0.04959562126211833,-537971774991.1685,1673067553.1166632,10847162739386.379
