benchmark,企业所有制性质,n_firms,actual_mean,predicted_mean,mean_gap,median_gap,positive_gap_share,actual_asset_weighted,predicted_asset_weighted,asset_weighted_gap,net_implied_gap_amount,positive_only_gap_amount,total_assets
CSI_nonSOE,中央国有企业,500,0.06118530800000001,0.056140582296713655,-0.00504472570328635,-0.008765431102336735,0.418,0.05033312458456739,0.040496667003530155,-0.009836457581037232,-2093477985393.4233,2625315467335.9434,212828446434744.8
CSI_nonSOE,地方国有企业,322,0.10817590993788821,0.08927980798452859,-0.018896101953359605,-0.007635191693552985,0.4409937888198758,0.08855029685587168,0.06380702213744986,-0.024743274718421818,-1053878087785.8223,610073474543.302,42592506439787.89
H_nonSOE,中央国有企业,500,0.06118530800000001,0.07393849736493673,0.01275318936493671,0.019180047179606488,0.676,0.05033312458456739,0.08336038311201589,0.033027258527448505,7029140122395.543,8597973584461.312,212828446434744.8
H_nonSOE,地方国有企业,322,0.10817590993788821,0.09951535648187258,-0.008660553456015636,-0.004610097233687646,0.4906832298136646,0.08855029685587168,0.09403527919724804,0.005484982341376357,233619145697.19537,1480960728650.7185,42592506439787.89
Pooled_H_plus_CSI_nonSOE,中央国有企业,500,0.06118530800000001,0.09433186312601882,0.033146555126018815,0.035989374785352225,0.78,0.05033312458456739,0.10241582026564298,0.0520826956810756,11084679207936.914,12066124906855.754,212828446434744.8
Pooled_H_plus_CSI_nonSOE,地方国有企业,322,0.10817590993788821,0.12151256780373237,0.013336657865844185,0.019725472316604355,0.5714285714285714,0.08855029685587168,0.11393011650739585,0.025379819651524166,1080990131948.1982,1970891887319.8672,42592506439787.89
