市场,证券代码,证券简称,一级行业,二级行业,行业全路径,企业所有制性质,资产总计_2023,营业收入_2023,归母净利润_2024,利息支出_2024,资产总计_2024,EBI_A_2024,FirmSize_2023,MarketShare_2023_二级行业,HHI_2023_二级行业,AssetTurnover_2023,WorkingCapitalRatio_2023,FixedAssetsRatio_2023,FinancialLeverage_2023,CurrentRatio_2023,CapexRatio_2023,Revenue Growth Rate
H,0038.HK,第一拖拉机股份,工业,机械,工业--机械--机械Ⅲ--农用农业机械,中央国有企业,"13,817,261,971.79","11,528,160,755.86","922,023,211.45","5,764,579.07","14,691,335,709.97",0.063152,23.349185,0.013677,0.179656,0.860201,0.032066,0.174337,0.477514,1.073300,0.006449,-7.4450
H,0042.HK,东北电气,工业,电气设备,工业--电气设备--电气设备Ⅲ--电气部件与设备,公众企业,"181,530,000.00","110,430,000.00","-10,111,000.00","517,000.00","182,457,000.00",-0.052582,19.016931,0.000129,0.254719,0.608411,-1.143442,0.196541,2.097483,0.339823,0.000055,-31.4112
H,0107.HK,四川成渝高速公路,工业,交通运输,工业--交通运输--交通基础设施--公路与铁路,地方国有企业,"57,640,787,000.00","11,580,867,000.00","1,449,447,000.00","851,932,000.00","61,032,031,000.00",0.037708,24.777496,0.010168,0.128314,0.237047,-0.055497,0.017207,0.710738,0.493665,0.003556,11.1474
H,0168.HK,青岛啤酒股份,日常消费,食品饮料,日常消费--食品饮料--饮料--啤酒,地方国有企业,"49,256,011,349.00","33,936,522,741.00","4,344,983,858.00","21,837,054.00","51,420,385,832.00",0.084924,24.620297,0.132854,0.252100,0.681677,0.257703,0.236404,0.426370,1.750271,0.032844,5.4861
H,0177.HK,江苏宁沪高速公路,工业,交通运输,工业--交通运输--交通基础设施--公路与铁路,地方国有企业,"78,661,443,944.36","15,192,010,226.04","4,946,691,605.41","963,483,489.08","89,886,075,247.13",0.065752,25.088419,0.013338,0.128314,0.193381,-0.010331,0.097668,0.480196,0.914899,0.048364,14.6082
H,0187.HK,京城机电股份,工业,机械,工业--机械--机械Ⅲ--工业机械,地方国有企业,"2,812,343,564.88","1,405,495,692.08","7,477,047.53","18,115,965.90","3,086,613,319.89",0.008292,21.757284,0.001668,0.179656,0.535740,0.178498,0.252494,0.509873,1.647620,0.053566,2.4219
H,0300.HK,美的集团,可选消费,家电Ⅱ,可选消费--家电Ⅱ--家电Ⅲ--家用电器,民营企业,"486,036,015,000.00","373,709,804,000.00","38,538,987,000.00","1,916,510,000.00","604,351,853,000.00",0.066940,26.909549,0.517342,0.412657,0.822618,0.061879,0.072012,0.641389,1.119705,0.012991,8.5915
H,0317.HK,中船防务,工业,机械,工业--机械--机械Ⅲ--建筑机械与重型卡车,中央国有企业,"50,862,502,007.57","16,145,951,496.09","377,262,684.20","113,748,961.92","53,596,113,615.25",0.009161,24.652392,0.019156,0.179656,0.331736,0.065687,0.108379,0.614509,1.126144,0.010898,26.1883
H,0323.HK,马鞍山钢铁股份,材料,钢铁Ⅱ,材料--钢铁Ⅱ--钢铁Ⅲ--钢铁Ⅳ,中央国有企业,"84,552,252,935.00","98,937,969,364.00","-4,659,156,254.00","593,915,273.00","78,962,973,613.00",-0.051483,25.160636,0.392988,0.382085,1.090589,-0.260348,0.621659,0.618230,0.500325,0.075683,-3.1478
H,0338.HK,上海石油化工股份,能源,石油石化,能源--石油石化--石油天然气--石油天然气炼制和销售,中央国有企业,"39,564,231,000.00","92,931,608,000.00","310,980,000.00","114,987,000.00","41,687,336,000.00",0.010218,24.401191,0.014447,0.458947,2.303111,0.022298,0.388670,0.369913,1.060540,0.041125,12.7220
H,0347.HK,鞍钢股份,材料,钢铁Ⅱ,材料--钢铁Ⅱ--钢铁Ⅲ--钢铁Ⅳ,中央国有企业,"97,014,000,000.00","113,502,000,000.00","-7,122,000,000.00","285,000,000.00","100,578,000,000.00",-0.067977,25.298121,0.450838,0.382085,1.170431,-0.083174,0.572897,0.429041,0.770689,0.031532,-13.4048
