市场,证券代码,证券简称,一级行业,二级行业,行业全路径,企业所有制性质,资产总计_2023,营业收入_2023,归母净利润_2024,利息支出_2024,资产总计_2024,EBI_A_2024,FirmSize_2023,MarketShare_2023_二级行业,HHI_2023_二级行业,AssetTurnover_2023,WorkingCapitalRatio_2023,FixedAssetsRatio_2023,FinancialLeverage_2023,CurrentRatio_2023,CapexRatio_2023,Revenue Growth Rate
CSI,000001.SZ,平安银行,金融,银行,金融--银行--商业银行--多元化银行,公众企业,"5,587,116,000,000.00","162,981,000,000.00","44,508,000,000.00",,"5,769,270,000,000.00",,29.351484,0.161044,0.125159,0.029881,,0.001757,0.915461,,0.000554,-8.5240
CSI,000002.SZ,万科A,房地产,房地产Ⅱ,房地产--房地产Ⅱ--房地产管理和开发--房地产开发,公众企业,"1,504,872,164,000.00","465,739,077,000.00","-49,478,429,000.00","6,656,518,000.00","1,286,259,860,000.00",-0.033292,28.039729,0.476519,0.375540,0.285551,0.218289,0.021180,0.732247,1.399736,0.005538,-7.5618
CSI,000063.SZ,中兴通讯,信息技术,硬件设备,信息技术--硬件设备--通信设备Ⅲ--通信设备Ⅳ,公众企业,"200,958,318,000.00","124,250,878,000.00","8,424,792,000.00","3,447,022,000.00","207,323,230,000.00",0.057262,26.026363,0.064925,0.108206,0.650678,0.375571,0.071288,0.659972,1.908994,0.019928,1.0544
CSI,000100.SZ,TCL科技,信息技术,硬件设备,信息技术--硬件设备--电子设备、仪器和元件--电子元件,公众企业,"382,859,086,000.00","173,564,719,000.00","1,564,112,000.00","4,179,270,000.00","378,251,916,000.00",0.015184,26.670933,0.090693,0.108206,0.467291,0.008027,0.505206,0.620576,1.030971,0.077246,4.5622
CSI,000157.SZ,中联重科,工业,机械,工业--机械--机械Ⅲ--建筑机械与重型卡车,公众企业,"130,825,000,000.00","47,075,000,000.00","3,521,000,000.00","571,000,000.00","123,712,000,000.00",0.033077,25.597126,0.057806,0.188674,0.370171,0.214103,0.132727,0.548015,1.560245,0.014149,13.0768
CSI,000166.SZ,申万宏源,金融,非银金融,金融--非银金融--资本市场--投资银行业与经纪业,中央国有企业,"635,437,418,000.00",,"5,210,662,000.00","8,748,192,000.00","697,596,593,000.00",0.020010,27.177579,,0.448006,,,0.002250,0.797314,,0.000922,
CSI,000301.SZ,东方盛虹,材料,化工,材料--化工--基础化工--商品化工,民营企业,"190,214,802,161.82","131,779,870,576.77","-2,296,841,255.74","4,873,766,540.51","204,312,488,701.89",0.012613,25.971420,0.160871,0.215825,0.738829,-0.227459,0.744777,0.813410,0.431118,0.124951,108.6266
CSI,000333.SZ,美的集团,可选消费,家电Ⅱ,可选消费--家电Ⅱ--家电Ⅲ--家用电器,民营企业,"486,036,015,000.00","373,709,804,000.00","38,538,987,000.00","1,916,510,000.00","604,351,853,000.00",0.066940,26.909549,0.395893,0.290093,0.822618,0.061879,0.072012,0.641389,1.119705,0.012991,8.5915
CSI,000338.SZ,潍柴动力,工业,机械,工业--机械--机械Ⅲ--建筑机械与重型卡车,地方国有企业,"334,247,213,024.91","213,958,475,631.13","11,403,288,984.59","3,854,441,561.78","343,879,412,547.54",0.044369,26.535147,0.262731,0.188674,0.681491,0.154706,0.154158,0.662867,1.353656,0.021540,22.1520
CSI,000408.SZ,藏格矿业,材料,化工,材料--化工--农用化工--化肥与农用药剂,地方国有企业,"14,091,584,562.19","4,932,111,965.47","2,579,985,938.80","2,947,153.55","15,083,281,912.76",0.171245,23.368844,0.006021,0.215825,0.357037,0.156713,0.208682,0.073898,3.360255,0.022977,-36.9037
CSI,000425.SZ,徐工机械,工业,机械,工业--机械--机械Ⅲ--建筑机械与重型卡车,地方国有企业,"161,994,607,612.63","92,406,696,673.56","5,976,118,332.51","1,934,545,872.81","160,969,811,609.42",0.049144,25.810829,0.113471,0.188674,0.548277,0.152436,0.157001,0.645130,1.285921,0.036833,-1.0750
CSI,000538.SZ,云南白药,医疗保健,医药生物,医疗保健--医药生物--制药--中药,公众企业,"53,784,293,183.93","38,900,490,677.28","4,749,415,499.55","-155,555,109.85","52,914,181,333.05",0.086817,24.708247,0.064839,0.216978,0.726398,0.438377,0.059358,0.258048,2.851012,0.010700,7.2292
CSI,000568.SZ,泸州老窖,日常消费,食品饮料,日常消费--食品饮料--饮料--白酒与葡萄酒,地方国有企业,"63,294,455,201.60","26,100,175,037.58","13,472,986,476.01","-488,521,059.32","68,334,595,564.58",0.190013,24.871064,0.020627,0.100594,0.455183,0.557514,0.163232,0.343833,4.503939,0.023724,20.8363
CSI,000596.SZ,古井贡酒,日常消费,食品饮料,日常消费--食品饮料--饮料--白酒与葡萄酒,地方国有企业,"35,420,907,274.99","17,203,424,936.13","5,517,251,073.10","-348,824,206.45","40,522,413,702.09",0.127545,24.290568,0.013596,0.100594,0.527626,0.369823,0.211931,0.367202,2.055674,0.067221,23.8621
CSI,000617.SZ,中油资本,金融,非银金融,金融--非银金融--金融服务--特殊金融服务,中央国有企业,"1,073,799,860,872.79","555,415,005.25","4,652,009,562.82","66,689,003.16","1,084,171,843,846.80",0.004352,27.702225,0.081783,0.448006,0.000530,-0.157418,0.008446,0.827967,0.804814,0.000302,-98.2752
CSI,000625.SZ,长安汽车,可选消费,汽车与零配件,可选消费--汽车与零配件--汽车--汽车制造,中央国有企业,"190,171,127,138.27","146,539,280,365.27","7,321,363,897.24","-934,377,313.05","208,168,160,960.86",0.030682,25.971190,0.069643,0.222276,0.871688,0.145635,0.115204,0.607284,1.268265,0.014850,25.0858
