市场,证券代码,证券简称,一级行业,二级行业,行业全路径,企业所有制性质,资产总计_2018,营业收入_2018,归母净利润_2019,利息支出_2019,资产总计_2019,EBI_A_2019,FirmSize_2018,MarketShare_2018_二级行业,HHI_2018_二级行业,AssetTurnover_2018,WorkingCapitalRatio_2018,FixedAssetsRatio_2018,FinancialLeverage_2018,CurrentRatio_2018,CapexRatio_2018,Revenue Growth Rate
CSI,601398.SH,工商银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,2.76995E+13,,3.12224E+11,4.31228E+11,3.01094E+13,0.024691661,30.95243692,,0.14249181,,,0.010484073,0.915345778,,0.002184007,
CSI,601939.SH,建设银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,2.32227E+13,,2.66733E+11,3.72819E+11,2.54363E+13,0.025143318,30.77615106,,0.14249181,,,0.007302082,0.914239318,,0.000894944,
CSI,601288.SH,农业银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,2.26095E+13,,2.12098E+11,3.7227E+11,2.48783E+13,0.023489076,30.74939001,,0.14249181,,,0.006742838,0.925925423,,0.00075402,
CSI,601988.SH,中国银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,2.12673E+13,,1.87405E+11,3.67957E+11,2.27697E+13,0.024390349,30.68819062,,0.14249181,,,0.010692202,0.9188708,,0.001981871,
CSI,601658.SH,邮储银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,9.51621E+12,,60933000000,1.48014E+11,1.02167E+13,0.020451504,29.88401788,,0.14249181,,,0.004770701,0.950052284,,0.000664971,
CSI,601328.SH,交通银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,9.53117E+12,,77281000000,2.2337E+11,9.9056E+12,0.030351619,29.8855887,,0.14249181,,,0.016082599,0.925999859,,0.003288473,
CSI,601318.SH,中国平安,金融,非银金融,金融--非银金融--保险--多元化保险,公众企业,7.14296E+12,,1.49407E+11,1.38167E+11,8.22293E+12,0.03497221,29.59714837,,0.46813835,,,0.006905121,0.904291358,,0.001492799,
CSI,600036.SH,招商银行,金融,银行,金融--银行--商业银行--多元化银行,公众企业,6.74573E+12,,92867000000,1.19904E+11,7.41724E+12,0.028686007,29.53993068,,0.14249181,,,0.008332087,0.919414936,,0.002593048,
CSI,601166.SH,兴业银行,金融,银行,金融--银行--商业银行--多元化银行,地方国有企业,6.71166E+12,1.56879E+11,65868000000,,7.14568E+12,,29.53486698,0.208914006,0.14249181,0.023899,,0.00380383,0.929587582,,0.00095282,12.8626
CSI,600000.SH,浦发银行,金融,银行,金融--银行--商业银行--多元化银行,地方国有企业,6.28961E+12,1.6969E+11,58911000000,,7.00593E+12,,29.46991955,0.225974271,0.14249181,0.027310228,,0.004212029,0.923941182,,0.000943461,1.6053
CSI,601998.SH,中信银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,6.06671E+12,,48015000000,1.41227E+11,6.75043E+12,0.028034054,29.43383822,,0.14249181,,,0.003524972,0.925316077,,0.00078362,
CSI,600016.SH,民生银行,金融,银行,金融--银行--商业银行--多元化银行,公众企业,5.99482E+12,,53819000000,1.52781E+11,6.68184E+12,0.030919622,29.42191721,,0.14249181,,,0.00813452,0.928104454,,0.000968002,
CSI,601818.SH,光大银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,4.35733E+12,,37354000000,1.08126E+11,4.73343E+12,0.030734577,29.10288106,,0.14249181,,,0.004186277,0.925993016,,0.000932451,
CSI,000001.SZ,平安银行,金融,银行,金融--银行--商业银行--多元化银行,公众企业,3.41859E+12,1.15567E+11,28195000000,87588000000,3.93907E+12,0.029393486,28.86024989,0.153899278,0.14249181,0.034668023,,0.003188155,0.929783373,,0.001351141,10.3117
CSI,601628.SH,中国人寿,金融,非银金融,金融--非银金融--保险--人寿与健康保险,中央国有企业,3.2544E+12,,58287000000,13412000000,3.72673E+12,0.019239098,28.81102996,,0.46813835,,,0.014528317,0.900660736,,0.006006017,
CSI,600015.SH,华夏银行,金融,银行,金融--银行--商业银行--多元化银行,地方国有企业,2.68058E+12,71360000000,21905000000,,3.02079E+12,,28.6170543,0.095029312,0.14249181,0.027501649,,0.005066814,0.918407583,,0.000687538,8.7308
CSI,601169.SH,北京银行,金融,银行,金融--银行--商业银行--区域性银行,地方国有企业,2.57287E+12,54959000000,21441000000,,2.73704E+12,,28.57604118,0.073188284,0.14249181,0.022420028,,0.006140625,0.924545594,,0.002733917,10.2864
CSI,601229.SH,上海银行,金融,银行,金融--银行--商业银行--区域性银行,地方国有企业,2.02777E+12,43441094000,20297588000,,2.23708E+12,,28.33795897,0.057850018,0.14249181,0.022651883,,0.002850256,0.920223489,,0.000706279,32.5178
CSI,600919.SH,江苏银行,金融,银行,金融--银行--商业银行--区域性银行,地方国有企业,1.92582E+12,34782906000,14618609000,,2.06506E+12,,28.28637464,0.046320006,0.14249181,0.018820013,,0.002832326,0.935349764,,0.000308372,3.9299
CSI,601916.SH,浙商银行,金融,银行,金融--银行--商业银行--多元化银行,公众企业,1.64669E+12,,12924764000,45614289000,1.80079E+12,0.032507504,28.12979121,,0.14249181,,,0.006289662,0.93778535,,0.003017576,
CSI,601668.SH,中国建筑,工业,建筑,工业--建筑--建筑与工程Ⅲ--建筑与工程Ⅳ,中央国有企业,1.86184E+12,1.18313E+12,41881399000,10476405000,2.03445E+12,0.025735582,28.25258652,0.290775892,0.178025019,0.693343498,0.158678508,0.023618232,0.769440883,1.27699336,0.010003014,13.7583
CSI,000002.SZ,万科A,房地产,房地产Ⅱ,房地产--房地产Ⅱ--房地产管理和开发--房地产开发,公众企业,1.52866E+12,2.97083E+11,38872087000,9255269000,1.73E+12,0.027819228,28.05541488,0.525672226,0.396279334,0.220543225,0.113329054,0.012096263,0.845864873,1.154416459,0.003857454,25.1695
CSI,601601.SH,中国太保,金融,非银金融,金融--非银金融--保险--多元化保险,公众企业,1.33596E+12,,27741000000,6516000000,1.52833E+12,0.022414618,27.9206705,,0.46813835,,,0.0144473,0.884691072,,0.003126593,
CSI,601857.SH,中国石油,能源,石油石化,能源--石油石化--石油天然气--综合性石油天然气,中央国有企业,2.43227E+12,2.35359E+12,45682000000,30409000000,2.73291E+12,0.027842483,28.51984445,0.429492104,0.452070271,0.973184769,-0.063010378,0.701362844,0.420023139,0.738639736,0.113369179,16.7518
CSI,601009.SH,南京银行,金融,银行,金融--银行--商业银行--区域性银行,地方国有企业,1.24327E+12,27134055000,12453477000,,1.34344E+12,,27.84876533,0.036134117,0.14249181,0.022759347,,0.006280592,0.936646005,,0.001960493,10.6402
CSI,002142.SZ,宁波银行,金融,银行,金融--银行--商业银行--区域性银行,公众企业,1.11642E+12,28730220000,13714237000,,1.31772E+12,,27.74115126,0.038259712,0.14249181,0.026744871,,0.005705536,0.927240981,,0.001155912,14.6144
