市场,证券代码,证券简称,一级行业,二级行业,行业全路径,企业所有制性质,资产总计_2018,营业收入_2018,归母净利润_2019,利息支出_2019,资产总计_2019,EBI_A_2019,FirmSize_2018,MarketShare_2018_二级行业,HHI_2018_二级行业,AssetTurnover_2018,WorkingCapitalRatio_2018,FixedAssetsRatio_2018,FinancialLeverage_2018,CurrentRatio_2018,CapexRatio_2018,Revenue Growth Rate
H,1398.HK,工商银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,2.76995E+13,,3.12224E+11,4.31228E+11,3.01094E+13,0.024691661,30.95243692,,,,,0.010484073,0.915345778,,0.002184007,
H,0939.HK,建设银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,2.32227E+13,,2.66733E+11,3.72819E+11,2.54363E+13,0.025143318,30.77615106,,,,,0.007302082,0.914239318,,0.000894944,
H,1288.HK,农业银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,2.26095E+13,,2.12098E+11,3.7227E+11,2.48783E+13,0.023489076,30.74939001,,,,,0.006742838,0.925925423,,0.00075402,
H,3988.HK,中国银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,2.12673E+13,,1.87405E+11,3.67957E+11,2.27697E+13,0.024390349,30.68819062,,,,,0.010692202,0.9188708,,0.001981871,
H,1658.HK,邮储银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,9.51621E+12,,60933000000,1.48014E+11,1.02167E+13,0.020451504,29.88401788,,,,,0.004770701,0.950052284,,0.000664971,
H,3328.HK,交通银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,9.53117E+12,,77281000000,2.2337E+11,9.9056E+12,0.030351619,29.8855887,,,,,0.016082599,0.925999859,,0.003288473,
H,2318.HK,中国平安,金融,非银金融,金融--非银金融--保险--多元化保险,公众企业,7.14296E+12,,1.49407E+11,1.38167E+11,8.22293E+12,0.03497221,29.59714837,,1.106388289,,,0.006905121,0.904291358,,0.001492799,
H,3968.HK,招商银行,金融,银行,金融--银行--商业银行--多元化银行,公众企业,6.74573E+12,,92867000000,1.19904E+11,7.41724E+12,0.028686007,29.53993068,,,,,0.008332087,0.919414936,,0.002593048,
H,0998.HK,中信银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,6.06671E+12,,48015000000,1.41227E+11,6.75043E+12,0.028034054,29.43383822,,,,,0.003524972,0.925316077,,0.00078362,
H,1988.HK,民生银行,金融,银行,金融--银行--商业银行--多元化银行,公众企业,5.99482E+12,,53819000000,1.52781E+11,6.68184E+12,0.030919622,29.42191721,,,,,0.00813452,0.928104454,,0.000968002,
H,6818.HK,中国光大银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,4.35733E+12,,37354000000,1.08126E+11,4.73343E+12,0.030734577,29.10288106,,,,,0.004186277,0.925993016,,0.000932451,
H,2628.HK,中国人寿,金融,非银金融,金融--非银金融--保险--人寿与健康保险,中央国有企业,3.2544E+12,,58287000000,13412000000,3.72673E+12,0.019239098,28.81102996,,1.106388289,,,0.014528317,0.900660736,,0.006006017,
H,2016.HK,浙商银行,金融,银行,金融--银行--商业银行--多元化银行,公众企业,1.64669E+12,,12924764000,45614289000,1.80079E+12,0.032507504,28.12979121,,,,,0.006289662,0.93778535,,0.003017576,
H,2799.HK,中信金融资产,金融,非银金融,金融--非银金融--资本市场--资产管理与托管银行,中央国有企业,1.71009E+12,,1424432000,60256729000,1.70501E+12,0.036176371,28.16756518,,1.106388289,,,0.006247928,0.901405601,,0.002159001,
H,1359.HK,中国信达,金融,非银金融,金融--非银金融--资本市场--资产管理与托管银行,中央国有企业,1.49576E+12,,13052946000,,1.51323E+12,,28.03365503,,1.106388289,,,0.007885115,0.880616837,,0.001836869,
H,2202.HK,万科企业,房地产,房地产Ⅱ,房地产--房地产Ⅱ--房地产管理和开发--房地产开发,公众企业,1.52866E+12,2.97083E+11,38872087000,9255269000,1.73E+12,0.027819228,28.05541488,0.736656873,0.581142232,0.220543225,0.113329054,0.012096263,0.845864873,1.154416459,0.003857454,25.1695
H,2601.HK,中国太保,金融,非银金融,金融--非银金融--保险--多元化保险,公众企业,1.33596E+12,,27741000000,6516000000,1.52833E+12,0.022414618,27.9206705,,1.106388289,,,0.0144473,0.884691072,,0.003126593,
H,0857.HK,中国石油股份,能源,石油石化,能源--石油石化--石油天然气--综合性石油天然气,中央国有企业,2.43227E+12,2.35359E+12,45682000000,30409000000,2.73291E+12,0.027842483,28.51984445,0.435319086,0.46316146,0.973184769,-0.063010378,0.701362844,0.420023139,0.738639736,0.113369179,16.7518
H,3698.HK,徽商银行,金融,银行,金融--银行--商业银行--区域性银行,公众企业,1.05051E+12,,9818780000,23102774000,1.13172E+12,0.029089808,27.68029336,,,,,0.002124419,0.933101345,,0.000721462,
H,9668.HK,渤海银行,金融,银行,金融--银行--商业银行--多元化银行,地方国有企业,1.03445E+12,,8192756000,28576886000,1.11693E+12,0.032920274,27.66489229,,,,,0.003786798,0.946001209,,0.00044774,
H,3618.HK,重庆农村商业银行,金融,银行,金融--银行--商业银行--区域性银行,地方国有企业,9.50618E+11,,9759893000,21763951000,1.03023E+12,0.030598834,27.58037818,,,,,0.0050931,0.924103205,,0.00062198,
H,1339.HK,中国人民保险集团,金融,非银金融,金融--非银金融--保险--财产与意外伤害保险,中央国有企业,1.03164E+12,,22135000000,5807000000,1.13323E+12,0.024656976,27.66216604,,1.106388289,,,0.02498752,0.800025203,,0.004959118,
