证券代码,证券简称,"总资产报酬率ROA
[报告期] 2025年报
[单位] %","总资产报酬率ROA
[报告期] 2024年报
[单位] %","总资产报酬率ROA
[报告期] 2023年报
[单位] %","总资产报酬率ROA
[报告期] 2022年报
[单位] %","总资产报酬率ROA
[报告期] 2021年报
[单位] %","总资产报酬率ROA
[报告期] 2020年报
[单位] %","总资产报酬率ROA
[报告期] 2019年报
[单位] %","总资产报酬率ROA
[报告期] 2018年报
[单位] %","总资产报酬率ROA
[报告期] 2017年报
[单位] %","总资产报酬率ROA
[报告期] 2016年报
[单位] %","总资产报酬率ROA
[报告期] 2015年报
[单位] %"
2210.HK,京城佳业,2.2796,4.1552,5.9057,6.4845,5.5543,5.1361,3.7668,3.2898,,,
2218.HK,安德利果汁,11.4182,9.5222,9.8062,7.5651,6.6798,6.8352,8.3335,7.1175,5.0213,6.2667,4.6798
2235.HK,微泰医疗-B,-0.3253,-5.8217,-8.6703,-3.9200,-4.6003,-23.6691,-29.8973,,,,
2238.HK,广汽集团,-5.2878,-0.3319,1.5753,4.2034,5.0627,4.0665,4.7070,9.3442,12.3343,9.9416,7.2337
2245.HK,力勤资源,14.5854,13.0093,8.9145,20.7682,18.7907,17.9339,18.9553,,,,
2251.HK,鹰瞳科技-B,-3.0930,-17.3410,-9.2464,-10.5358,-12.3825,-24.0051,-36.6234,,,,
2252.HK,微创机器人-B,-17.9295,-46.2116,-60.3923,-48.0795,-25.7644,-17.9675,-89.6883,,,,
2276.HK,康耐特光学,21.2521,23.2142,21.5566,17.0712,15.3618,14.3563,15.1895,9.4271,,,
2281.HK,兴泸水务,3.3487,4.3987,4.7042,5.3608,5.9454,5.6842,6.0892,5.9985,6.3383,7.9703,10.5810
2289.HK,创美药业,3.2075,3.8143,3.3993,5.4193,2.5420,3.1098,3.3696,3.7950,3.4817,4.3389,3.3931
2291.HK,心泰医疗,12.3513,12.9750,8.3603,-0.1178,10.5202,23.8779,20.6784,16.3908,,,
2315.HK,百奥赛图-B,8.2988,5.5343,-11.0671,-21.4549,-22.4105,-25.9176,-24.6678,,,,
2318.HK,中国平安,,,,,,,,,,,
2328.HK,中国财险,,,,,,,,,,,
2333.HK,长城汽车,5.1517,6.6826,3.9187,4.6191,4.3523,4.3611,3.7475,3.9910,5.7261,15.0142,14.4128
2338.HK,潍柴动力,4.5776,5.1304,4.3600,1.7968,4.8954,4.9422,6.5675,7.0646,6.1987,3.6793,2.8624
2352.HK,东原仁知服务,3.1277,-4.1420,1.8650,9.9152,17.6944,12.8335,3.3274,3.0964,,,
2355.HK,宝业集团,1.0401,2.1203,2.7110,2.4277,2.9985,3.5577,4.1036,4.4845,3.4321,3.5806,4.7152
2357.HK,中航科工,2.6616,3.1268,4.1942,3.8798,4.3255,4.2661,4.0389,3.9406,4.0923,4.2948,4.3464
2359.HK,药明康德,26.4463,15.2077,18.9697,17.9912,12.1160,9.4410,9.1579,15.0991,13.9551,13.5831,8.7127
2376.HK,鲁商服务,4.4667,5.7930,5.0645,12.9116,12.6493,8.9622,12.7688,12.0078,,,
2386.HK,中石化炼化工程,1.4603,2.1173,2.1860,2.4106,2.3834,3.1857,2.9423,2.2401,1.9025,3.3282,6.9970
2396.HK,华芢生物-B,-47.6704,-90.9149,-54.6225,-220.6519,,,,,,,
2402.HK,亿华通,-14.5066,-10.8444,-7.4230,-6.5617,-6.6133,-0.4450,3.6139,1.9503,4.9726,3.2689,39.9955
2408.HK,遇见小面,9.6164,10.2160,10.4756,-5.1087,,,,,,,
2410.HK,同源康医药-B,-34.3342,-50.3900,-63.7977,-53.0653,,,,,,,
2411.HK,百果园集团,-3.5687,-4.3565,5.5178,5.7328,4.9810,1.6121,6.1798,,,,
2418.HK,德银天下,1.0554,2.2093,2.4268,2.8806,4.0700,3.7232,3.6262,2.7580,,,
2419.HK,德康农牧,6.9604,21.9748,-8.3554,7.3292,-18.7672,35.3726,44.9491,5.8337,,,
2429.HK,友宝在线,-5.0123,-13.5373,-20.1481,-14.9863,-8.2749,-39.0949,2.8253,,5.9054,4.4188,2.3502
2431.HK,佑驾创新,-22.4485,-16.0876,-21.5967,-28.2040,-18.5927,,,,,,
2432.HK,越疆,-3.5312,-8.2685,-10.8173,-6.6158,-3.8027,,,,,,
2450.HK,淮北绿金股份,0.4954,2.2845,5.3882,8.9448,11.1188,32.8027,29.9164,26.5925,,,
2453.HK,美中嘉和,-3.2011,-6.7591,-6.0967,-6.8646,-7.6928,-6.3349,-2.3056,,,7.2241,10.2981
2465.HK,龙蟠科技,0.4495,-2.7958,-9.8322,13.1087,12.2830,11.0012,9.5393,6.8639,8.8584,11.6905,9.0610
2476.HK,胜宏科技,18.9618,7.7806,5.2672,7.1307,6.3677,7.0934,8.6506,8.9019,10.0789,12.4586,8.9979
2479.HK,天聚地合,,,5.1165,6.1086,7.6153,4.5486,,,,,
2480.HK,绿竹生物-B,-13.7577,-15.1066,-22.7564,-80.6994,-113.4437,-77.6794,,,,,
2481.HK,双良睿能,5.3189,5.3353,5.6931,4.7730,5.1683,4.3531,5.1281,,,-0.5271,2.8127
2482.HK,维天运通,2.8875,3.0719,-1.6433,-0.0957,2.3277,1.9067,0.7707,-1.8220,,,
2488.HK,元征科技,17.1619,18.2025,9.3756,20.4927,7.7811,-6.6507,-7.1536,4.9359,5.2818,3.3680,-4.2186
2493.HK,迈威生物-B,-19.7740,-23.1511,-22.9641,-31.9519,-47.7835,-47.4788,-94.5852,-31.0340,-16.7188,,
2495.HK,声通科技,5.9251,-24.4058,-1.4994,-10.8447,11.4001,16.3140,,,,,
2496.HK,友芝友生物-B,-36.3726,-32.8451,-62.9848,-74.2275,-65.4042,-49.7729,,,,,
2499.HK,佛朗斯股份,4.8484,6.0569,3.9838,4.5591,5.9686,6.6081,3.3867,4.2084,5.2936,5.2610,
2500.HK,启明医疗-B,-13.5860,-18.8965,-14.5842,-22.0619,-9.0188,-5.4676,-16.1036,-48.4010,-80.5429,,
2502.HK,金源氢化,-0.9890,1.7055,7.2846,23.2142,11.2919,6.8070,,,,,
2506.HK,讯飞医疗科技,-4.3473,-9.9699,-16.3818,-23.8338,-10.6602,,,,,,
2509.HK,荃信生物-B,25.5033,-36.6821,-55.1174,-27.9359,-38.2862,,,,,,
2513.HK,智谱,-100.9506,-80.6998,-47.2746,-38.1119,,,,,,,
2515.HK,天津建发,-6.5472,4.0332,9.4604,10.6200,20.2706,4.6418,,,,,
2517.HK,锅圈,12.1408,6.8906,7.7199,9.1636,-31.3332,-3.6948,,,,,
2519.HK,傲基股份,4.4865,10.7916,13.8452,6.1541,-16.2033,,,13.2506,23.5478,22.9615,7.4417
2520.HK,山西安装,1.1432,1.3620,2.4984,3.1264,3.9075,5.2246,5.5269,,,,
2522.HK,一脉阳光,0.6719,-1.4538,3.3561,1.6584,-16.4328,0.6080,,,,,
2526.HK,德适-B,-31.0972,-10.2402,-18.0307,,,,,,,,
2529.HK,泓盈城市服务,10.5394,11.9552,15.2652,13.9499,13.5446,13.6504,,,,,
2539.HK,乐摩科技,19.0672,24.0607,31.7267,4.3085,,,,,,,
2543.HK,大行科工,14.0315,25.3352,21.7960,20.3603,,,,,,,
2546.HK,智汇矿业,9.7014,4.7879,14.2804,11.6894,,,,,,,
2551.HK,晶科电子股份,2.7216,4.2440,3.4213,0.5276,4.5974,,,7.4618,6.4558,5.2325,0.6065
2553.HK,首钢朗泽,-11.4908,-8.1318,-3.2265,-0.9732,-3.1744,,,,,,
2555.HK,茶百道,18.7148,14.5962,57.4423,84.5998,107.1140,47.3975,,,,,
2558.HK,晋商银行,,,,,,,,,,,
2560.HK,海螺材料科技,6.6495,8.6024,8.9336,7.0214,12.0438,18.3878,,,,,
2563.HK,华昊中天医药-B,-14.8891,-17.0528,-23.8685,-17.6805,,,,,,,
2565.HK,派格生物医药-B,-50.3352,-95.7869,-68.8893,-69.9747,,,,,,,
2566.HK,九源基因,7.7539,10.8814,11.4480,5.0452,11.6003,,,,,,
2570.HK,重塑能源,-12.9769,-16.5434,-13.0071,-14.9639,-24.0652,,,,,,
2571.HK,赛目科技,6.8738,8.2223,8.5686,11.1859,18.0107,61.8501,9.4520,,,,
2573.HK,新琪安,2.2144,6.7518,7.2023,21.8264,4.4336,,,,,,
2575.HK,轩竹生物-B,-17.2987,-44.1781,-21.5698,-35.1027,,,,,,,
2576.HK,太美医疗科技,-5.4475,-16.6752,-24.2563,-24.3953,-28.0165,,,,,,
2577.HK,英诺赛科,-12.5293,-18.9626,-19.1129,-35.8113,-51.3359,,,,,,
2579.HK,中伟新材,3.7615,4.4966,5.4702,5.4229,6.0190,6.6218,4.1362,2.1197,1.2566,,
2582.HK,国富氢能,-9.3779,-9.4302,-3.5060,-7.5052,-7.6059,,,,,,
2583.HK,西普尼,11.9234,7.7383,9.1304,5.1910,12.9594,17.8879,,,20.0575,33.0784,48.0228
2585.HK,梦金园,5.0256,7.6203,10.1147,8.6556,10.2345,9.2126,,,,,
2589.HK,沪上阿姨,28.1024,26.7097,41.7828,27.2694,19.1255,,,,,,
2590.HK,极智嘉-W,-1.0458,-24.4552,-32.2397,-55.9400,-49.3579,,,,,,
2591.HK,银诺医药-B,-27.7048,-17.0395,-81.9729,-43.9444,,,,,,,
2595.HK,劲方医药-B,-129.8283,-115.4338,-78.3069,-34.9710,,,,,,,
2596.HK,宜宾银行,,,,,,,,,,,
2597.HK,讯众通信,5.7550,4.7389,8.4913,10.6046,13.1082,12.7863,15.5574,22.7337,29.6161,45.3683,53.5683
2598.HK,连连数字,9.5329,-4.4816,-6.2263,-9.7188,-8.5076,-3.7733,,,,,
2600.HK,中国铝业,12.5700,11.5569,8.4984,8.1831,6.9321,2.9102,3.3251,3.2399,3.6477,2.9441,2.5924
2601.HK,中国太保,,,,,,,,,,,
2602.HK,万物云,2.7611,4.3811,6.6635,6.1919,9.4076,11.8612,8.8345,,,,
2603.HK,吉宏股份,9.9187,6.4622,11.6192,7.4993,9.2692,25.6940,19.6900,20.5143,11.5046,8.9532,8.9727
2607.HK,上海医药,4.8863,4.3189,4.1343,5.5642,5.9650,5.7992,5.6336,5.7412,6.6850,6.5086,6.7023
2611.HK,国泰海通,,,,,,,,,,,
2613.HK,汇舸环保,1.2265,29.4862,31.4367,11.7181,4.1562,,,,,,
2617.HK,药捷安康-B,-50.3345,-36.1852,-33.0467,-21.1629,,-19.5694,-185.8751,,,,
2619.HK,香江电器,4.3166,10.6413,11.4910,8.6155,7.8710,,,,,,
2625.HK,江苏宏信,4.7389,5.9003,6.5746,7.1450,5.6433,,,,,,
2627.HK,中慧生物-B,,-17.6392,-37.3418,,,,,,,,
2628.HK,中国人寿,,,,,,,,,,,
2630.HK,旺山旺水-B,-34.1597,-28.7365,2.0149,,,,,,,,
2631.HK,天岳先进,-2.5038,2.1497,-1.1184,-4.6054,3.0483,-31.6242,-12.9615,-3.3923,,,
2632.HK,泽景股份,-84.4033,-19.8709,-38.3319,-76.2787,,,,,,,
2635.HK,诺比侃,11.7001,18.8487,19.7583,25.5216,29.9796,,,,,,
2637.HK,海西新药,14.9764,23.7163,28.6128,23.3982,,,,,,,
2648.HK,安井食品,9.6206,11.4768,11.6641,11.5532,11.0840,12.2271,9.5814,9.2802,9.2791,10.2999,9.2665
2649.HK,优乐赛共享,,8.0631,10.6219,6.4890,7.1478,,,,,,
2650.HK,挚达科技,-14.9853,-24.9639,-6.4159,-2.1357,1.1275,,,,,,
2651.HK,大众口腔,13.8419,17.5249,17.7621,14.2659,5.3565,,,,,25.8622,22.2533
2652.HK,长风药业,-0.7160,1.7515,2.1027,-7.0164,-19.5427,,,,,,
2655.HK,果下科技,6.1994,8.0369,12.4437,25.1877,,,,,,,
2657.HK,林清轩,24.3279,24.3583,15.7551,-6.3140,,,,,,,
2658.HK,天域半导体,-0.5675,-17.0067,5.4518,0.9907,-34.3584,,,,,,
2659.HK,宝济药业-B,-22.0917,-30.7982,-16.0945,,,,,,,,
2670.HK,云迹,-38.7910,-35.9484,-45.3334,-56.2806,,,,,,,
2671.HK,美联股份,5.2337,6.6962,7.7702,11.3920,0.8802,-0.0449,,,,,5.5481
2675.HK,精锋医疗-B,-6.8087,-14.9258,-13.6203,,-26.8970,-41.5705,,,,,
2676.HK,纳芯微,-2.6511,-5.2289,-4.1505,6.7766,38.8784,18.6317,-9.4896,5.3907,19.2138,44.0736,32.3783
2687.HK,卓越睿新,11.7697,15.3036,14.5896,-13.6243,6.0247,,,,,,
2691.HK,南华期货股份,,,,,,,,,,,
2692.HK,兆威机电,5.8038,6.2359,5.3109,4.7463,3.6255,12.5662,44.8628,25.7214,14.7068,20.8242,
2693.HK,金岩高岭新材,5.1220,7.5882,7.7284,5.2901,16.5990,11.1693,,,,,
2695.HK,印象大红袍,10.1772,19.8377,23.9869,1.7596,0.3174,-0.9322,14.1219,22.2835,22.9209,16.9349,20.1886
2696.HK,复宏汉霖,7.8004,9.4509,7.2246,-7.3083,-12.8110,-15.3957,-18.7349,-19.5458,-28.1317,-9.1589,
2701.HK,国民技术,-1.5400,-5.3554,-14.2065,0.9267,10.5914,-0.3449,6.4623,-66.0271,-15.6633,3.3398,3.2149
2706.HK,海致科技集团,-25.9664,-11.1068,-37.9621,-48.7118,,,,,,,
2714.HK,牧原股份,10.1278,11.4013,-0.6080,9.5406,5.0755,34.6098,16.5298,3.9019,14.4363,24.8234,12.7858
2715.HK,埃斯顿,2.4489,-6.1450,3.2519,4.6927,2.6203,3.3458,3.8858,4.7173,4.8384,6.3439,9.4784
2722.HK,重庆机电,4.6934,3.3943,2.7427,2.7738,2.5090,2.2058,2.4217,4.2329,3.6883,4.1697,4.4407
2723.HK,深演智能,0.3529,2.1322,9.6472,11.5819,,,,,,,
2726.HK,瀚天天成,-0.3805,6.2925,8.6450,8.5126,,,,,,,
2727.HK,上海电气,1.6222,1.2522,1.3987,-0.4321,-3.2608,2.4520,3.4368,3.3162,3.1059,3.2621,4.0279
2729.HK,凯乐士科技,-9.0837,-8.7172,-12.1360,-11.0430,,,,,,,
2768.HK,国恩科技,5.9911,5.6378,5.0383,7.8174,9.6645,16.4755,11.6680,13.4417,14.1035,12.0675,10.3981
2777.HK,富力地产,-3.2688,-2.9951,-2.4198,-2.1635,-2.1582,4.8576,5.7726,6.0484,11.8665,6.3150,6.9690
2799.HK,中信金融资产,,,,,,,,,,,
2865.HK,钧达股份,-7.0538,-2.9727,7.3982,11.1478,2.9579,0.8231,2.8158,3.3625,5.9390,6.0737,5.6861
2866.HK,中远海发,4.2959,4.4257,4.1253,5.6046,6.8151,2.6965,3.7504,3.6106,3.3560,2.3330,-4.4647
2880.HK,辽港股份,4.3625,3.7487,4.3190,4.0581,6.8929,4.9899,5.0208,3.7362,3.3197,4.0050,4.2134
2883.HK,中海油田服务,6.7563,6.3888,6.2721,4.8130,2.3895,5.5211,5.9375,2.2499,1.7159,-12.5222,2.1926
2889.HK,博泰车联,-20.4544,-14.4217,-10.5146,-25.3854,-33.1241,,,,,,
2899.HK,紫金矿业,18.0647,13.5342,10.4795,12.3702,13.3764,7.9348,7.0930,7.2753,6.5376,3.8128,3.7833
3200.HK,大族数控,10.0179,5.1596,2.1943,8.3405,20.4052,14.0203,12.6892,21.7872,,,
3268.HK,美格智能,5.6740,5.3194,3.7077,10.1242,9.1576,1.7109,2.3479,5.8753,10.1245,13.2381,10.4545
3277.HK,长光辰芯,18.1609,15.8080,16.2638,-4.7814,,,,,,,
3288.HK,海天味业,18.5312,19.0133,18.6277,21.8963,22.9800,28.1554,27.0997,27.7983,27.7326,27.3490,26.7688
3296.HK,华勤技术,5.5469,5.1346,6.5132,6.8324,5.2919,9.3451,2.9658,1.0007,,,
3310.HK,云英谷科技,-21.1371,-26.4486,-17.9750,-8.5061,,,,,,,
3317.HK,迅策,-5.2228,-4.9221,-3.1684,-6.3568,-10.8989,,,,,,
3319.HK,雅生活服务,1.5058,-15.6927,4.5716,11.4946,18.0672,21.5044,19.1702,20.0565,17.7851,18.0019,6.9530
3323.HK,中国建材,1.1207,2.8795,3.6365,4.9524,8.8851,8.2211,8.1980,7.9352,5.6104,3.9830,4.5298
3328.HK,交通银行,,,,,,,,,,,
3330.HK,灵宝黄金,24.3567,14.9068,6.8513,4.9884,2.9850,3.0093,-1.5169,-14.3496,3.7868,1.8174,-1.6637
3332.HK,中生联合,4.9745,8.7583,12.8439,-2.5044,-7.8041,-8.7815,-28.1760,-15.8423,1.3562,13.5550,25.5433
3347.HK,泰格医药,3.7828,2.4500,8.3297,9.5713,15.9796,15.9337,18.1690,18.5806,15.8835,,
3355.HK,飞速创新,18.8586,15.1558,21.2551,19.6576,,,,,,,
3369.HK,秦港股份,7.2275,6.9985,7.1059,6.4750,5.5490,5.8000,5.4235,5.2026,6.0257,2.8113,7.2646
3378.HK,翰思艾泰-B,-18.5699,-20.8587,-15.9631,-1.6893,,,,,,,
3388.HK,创想三维,-8.1627,4.6594,9.6644,9.8571,,,,,,,
3396.HK,联想控股,2.7932,2.2921,0.8851,2.4529,3.9409,2.6574,2.7066,2.9901,3.3725,3.4714,2.7876
3399.HK,粤运交通,5.8408,5.3590,5.0768,1.8739,-0.2357,-0.2751,6.8433,6.6082,9.0441,8.4298,8.1014
3606.HK,福耀玻璃,15.9205,13.8436,11.8970,11.7269,9.5359,8.2137,9.2139,15.4091,12.0295,14.5098,15.3972
3618.HK,重庆农村商业银行,,,,,,,,,,,
3625.HK,傅里叶,-18.2864,-17.2446,-27.4639,-18.3590,,,,,,,
3636.HK,金浔资源,23.1291,23.8968,5.1892,20.2790,39.2347,16.4224,8.9511,21.3286,14.0068,12.6094,1.9798
3677.HK,正力新能,3.8409,1.4239,-4.3197,-20.8801,-5.8724,,,,,,
3678.HK,弘业期货,,,,,,,,,,,
3689.HK,康华医疗,5.6856,3.2305,6.0088,2.9914,5.7052,-0.3229,5.5132,10.9491,13.1041,14.1298,14.4417
3698.HK,徽商银行,,,,,,,,,,,
3750.HK,宁德时代,9.2634,9.0901,8.7915,8.5416,8.5668,5.4135,5.6744,6.3474,12.4493,18.8495,21.1972
3759.HK,康龙化成,8.2535,9.2650,8.6017,9.4322,13.1631,12.2984,9.5733,10.6854,9.5404,11.1635,9.9307
3768.HK,滇池水务,3.2830,4.2184,5.0578,4.8494,4.9692,5.5327,6.1701,7.0590,7.5900,8.1814,7.1886
3833.HK,新疆新鑫矿业,2.9511,2.9906,3.0046,11.6057,8.6469,3.6101,1.6635,-0.0879,0.3613,-0.6033,-6.4572
3866.HK,青岛银行,,,,,,,,,,,
3880.HK,泰德医药,15.2376,6.4150,4.8826,5.7856,7.8383,,,,,,
3881.HK,希迪智驾,-44.5202,-37.5089,-13.3647,-17.0752,-14.3129,,,,,,
3898.HK,时代电气,6.7130,6.8878,6.1758,5.9538,5.2518,8.4080,9.4467,10.5397,11.3111,14.5561,17.5728
3903.HK,瀚华金控,,,,,,,,,,,
3908.HK,中金公司,,,,,,,,,,,
3931.HK,中创新航,2.1962,1.0577,0.7801,1.1007,0.3102,0.4190,-1.4483,,,,
3958.HK,东方证券,,,,,,,,,,,
3968.HK,招商银行,,,,,,,,,,,
3969.HK,中国通号,3.9783,3.6262,3.6031,3.9246,3.6272,4.5983,5.4670,6.4080,7.5065,7.9323,8.7874
3983.HK,中海石油化学,4.4180,4.8308,9.7887,8.8376,10.9981,4.2670,6.3550,11.3966,3.0877,-0.8799,6.0410
3986.HK,兆易创新,8.5094,6.4057,0.7967,14.1607,18.6026,10.5033,14.0542,16.2524,21.0468,14.4596,23.5963
3988.HK,中国银行,,,,,,,,,,,
3993.HK,洛阳钼业,19.4777,16.0354,9.2917,7.5449,7.5193,3.3197,2.9978,7.4379,6.3367,2.3560,2.1916
3996.HK,中国能源建设,2.0983,2.4536,2.5701,3.1312,3.1996,3.5304,4.0955,4.0117,4.4986,4.2429,4.5285
6030.HK,中信证券,,,,,,,,,,,
6031.HK,三一重工,6.4380,5.1115,4.0823,3.6902,10.4648,17.0957,16.4398,11.4387,4.7897,0.1026,0.1930
6049.HK,保利物业,11.3981,12.4400,13.1903,12.5208,11.3983,11.0489,13.0538,19.1693,15.8795,12.4440,
6060.HK,众安在线,,,,,,,,,,,
6066.HK,中信建投证券,,,,,,,,,,,
6082.HK,壁仞科技,-368.9058,-46.8854,-50.3722,-41.7828,,,,,,,
6099.HK,招商证券,,,,,,,,,,,
6117.HK,日照港裕廊,6.7516,8.5968,9.7139,9.8276,9.2186,8.9511,10.2095,11.6901,10.1513,6.8406,
6127.HK,昭衍新药,2.7333,1.0965,5.0030,13.1587,12.0629,19.3441,15.6685,11.4012,12.1744,11.3098,12.6150
6138.HK,哈尔滨银行,,,,,,,,,,,
6166.HK,剑桥科技,2.7866,4.3593,3.1091,5.2046,1.7803,-8.3233,1.5315,3.4275,3.1693,4.4814,11.1887
6168.HK,周六福,19.8203,25.4407,29.5008,32.3188,27.5664,,,53.5217,41.2874,20.2194,
6178.HK,光大证券,,,,,,,,,,,
6181.HK,老铺黄金,47.2575,46.5357,33.1354,11.6784,15.8073,14.9080,16.9606,9.9714,10.6657,,
6185.HK,康希诺生物,0.3512,-4.4579,-19.3845,-10.3550,20.1646,-10.0406,-13.1550,-16.6626,-10.8471,-15.3296,
6188.HK,迪信通,-14.7343,-13.1382,-7.0724,-1.5931,-44.1252,2.4092,5.8431,6.5073,7.2856,7.4254,9.2754
6189.HK,爱得威建设集团,,-10.6220,13.6575,-134.6206,-26.5967,-15.0018,3.5997,7.7701,8.9554,9.7344,10.0844
6190.HK,九江银行,,,,,,,,,,,
6196.HK,郑州银行,,,,,,,,,,,
6198.HK,青岛港,11.0008,11.4686,11.5905,10.7742,9.3518,9.6886,9.4567,9.2021,8.5665,7.6090,7.4781
6199.HK,贵州银行,,,,,,,,,,,
6600.HK,卧安机器人,-2.2240,0.4196,-3.9257,-24.7714,,,,,,,
6609.HK,心玮医疗-B,6.5823,-0.8509,-8.0167,-14.1346,-17.1658,-49.6186,-82.7131,,,,
6613.HK,蓝思科技,5.8727,5.3473,4.8312,4.5575,2.7639,9.8077,7.9020,3.7946,9.0009,6.5690,9.6406
6636.HK,极视角,-9.3432,1.5625,-15.9781,-16.8406,,,,,,,
6651.HK,五一视界,-18.3695,-14.2525,-18.3657,-37.5025,-29.5293,,,,,,
6655.HK,华新建材,7.3549,6.8385,7.3899,7.3788,15.5373,19.3599,25.4958,23.7019,11.4516,4.8453,3.3124
6656.HK,思格新能,65.9128,5.8254,-56.1803,,,,,,,,
6657.HK,百望股份,-1.1025,-42.4822,-30.2606,-12.7405,-41.9085,-45.4097,,,,,
6660.HK,艾美疫苗,-10.2772,-3.1547,-27.5975,-4.8203,-9.3415,13.1339,5.4908,4.8108,,,
6661.HK,湖州燃气,7.9084,9.4513,8.3440,7.2820,12.4086,15.5271,12.7629,8.8526,,,
6680.HK,金力永磁,6.3296,2.9985,5.7741,9.6494,12.3294,11.0485,8.8269,10.6028,13.0475,8.8524,15.2595
6682.HK,范式智能,-1.3751,-4.5581,-7.8987,-15.7589,-27.7568,-33.4177,-53.1687,-47.0695,,,
6690.HK,海尔智家,8.2784,9.3609,8.7052,8.1605,7.8181,7.5101,6.4009,7.3715,7.6434,8.3466,8.7032
6693.HK,赤峰黄金,21.6163,15.3152,7.8419,7.8014,10.2768,12.2747,6.2147,-0.0314,9.2691,12.7159,14.3837
6806.HK,申万宏源,,,,,,,,,,,
6809.HK,澜起科技,15.7987,12.3416,4.4236,14.4050,10.5306,14.8720,15.0334,27.8049,27.9172,8.8369,
6810.HK,商米科技-W,4.5418,4.4158,2.6149,6.0881,,,,,,,
6818.HK,中国光大银行,,,,,,,,,,,
6821.HK,凯莱英,5.5410,5.5402,13.4874,22.3711,10.7461,14.8570,17.6994,15.7301,16.3509,17.8346,17.3010
6826.HK,昊海生物科技,2.6189,6.8069,7.3662,3.5156,5.8512,4.2075,7.0326,11.0025,10.4096,9.4431,17.9443
6839.HK,云南水务,-2.2857,-2.2760,0.3052,0.6811,0.9649,4.0657,4.2247,4.3165,4.9397,4.8912,5.8052
6865.HK,福莱特玻璃,3.5552,3.6606,9.3940,9.2703,15.0433,17.8942,11.1362,7.3894,9.6011,16.4866,13.5760
6866.HK,佐力科创,,,,,,,,,,,
6869.HK,长飞光纤光缆,3.9768,2.4736,4.6548,5.3214,4.6568,4.1411,6.7626,15.3009,17.1798,10.2704,9.3728
6871.HK,翼菲科技,-28.6564,-18.9628,-32.2500,-15.3370,,,,,,,
6872.HK,丹诺医药-B,-65.9421,-68.1384,-127.5137,,,,,,,,
6881.HK,中国银河,,,,,,,,,,,
6885.HK,金马能源,-5.3717,-3.3250,-0.1556,7.8631,9.1850,12.4581,17.6806,33.5356,29.5777,18.9200,4.4774
6886.HK,华泰证券,,,,,,,,,,,
6887.HK,东阳光药,5.2751,3.0976,15.1287,-7.7236,-12.1572,,,,,,
6911.HK,澜沧古茶,-4.2494,-18.7837,7.0890,7.5407,14.7640,17.4544,13.6718,,,,
6922.HK,康沣生物-B,-29.7094,-60.7919,-40.3726,-43.4247,-82.6019,-214.2688,,,,,
6936.HK,顺丰控股,7.6261,7.0583,5.5313,5.9746,5.5111,9.8855,9.7979,9.4595,12.9712,24.4749,3.5339
6938.HK,瑞博生物-B,-35.6030,-34.6204,-58.3538,,,,,,,,
6955.HK,博安生物,1.1843,4.0907,-4.6527,-14.7751,-14.1853,-25.1885,,,,,
6960.HK,双登股份,5.1457,8.9063,11.3848,10.1586,-0.9467,,,,,,
6963.HK,阳光保险,,,,,,,,,,,
6980.HK,八马茶业,14.3649,17.5883,17.9970,16.2593,,,,,,14.5725,12.0452
6990.HK,科伦博泰生物,-8.0565,-3.5678,-17.0283,-46.3484,-95.6020,,,,,,
7489.HK,岚图汽车,3.7143,-0.7227,-12.1656,-14.3640,,,,,,,
7630.HK,英派药业-B,-63.5999,-59.1906,-6.2534,,,,,,,,
7666.HK,剂泰科技-P,-32.6729,-30.0162,-54.2626,-83.6480,,,,,,,
7688.HK,拓璞数控,0.9674,1.2589,-5.1438,-16.1940,,,-4.2785,-4.7218,-25.1958,-27.8928,
8049.HK,吉林长龙药业,10.2205,8.6264,7.0640,7.3120,7.4304,7.0523,10.6376,13.0114,14.9367,16.3534,15.7389
8095.HK,北大青鸟环宇,3.2629,3.1613,4.9011,7.6299,4.5706,2.7347,0.5538,12.4112,14.5646,14.6173,12.2153
8106.HK,芯化兰德,3.7309,-5.5594,-40.3711,-12.9838,-7.9290,3.5723,2.4983,6.3231,-5.7570,-3.5581,-9.9892
8115.HK,清大东方,2.2761,4.6566,7.0479,4.4541,51.9147,3.6695,-11.1187,-1.0201,1.7316,1.3382,-0.3816
8139.HK,长安仁恒,2.2808,2.5455,3.2345,3.0603,5.9803,3.2563,2.3939,3.5003,-1.2372,3.6924,4.1776
8189.HK,泰达生物,-36.5684,-10.5773,-2.2138,-6.0913,-10.7501,-13.0350,-20.8958,-51.7200,-3.0918,2.7561,8.1593
8205.HK,交大慧谷,-19.8374,-5.7781,-15.9441,-38.4050,-6.5971,-29.1177,5.4009,6.3974,-10.2908,-0.3131,2.5215
8227.HK,海天天线,-16.3208,-27.8891,-56.0201,-28.1283,-19.7156,-29.6662,-22.5107,-54.5440,-15.3326,-30.4098,-16.1692
8247.HK,中生北控生物科技,-13.6668,-9.6905,-1.9787,4.1285,2.7188,0.4044,-14.8169,-0.1369,2.2923,2.2498,0.2882
8249.HK,瑞远智控,-16.7385,-9.4745,-22.5647,-24.7577,-23.3282,-43.4399,-14.0764,7.1324,-23.3159,-16.6905,26.0187
8286.HK,长城微光,-8.4500,-14.1404,-0.8960,13.8458,-19.8947,-11.2107,0.6612,-18.2038,-21.2781,-23.1048,-9.6070
