证券代码,证券简称,"总资产报酬率ROA
[报告期] 2025年报
[单位] %","总资产报酬率ROA
[报告期] 2024年报
[单位] %","总资产报酬率ROA
[报告期] 2023年报
[单位] %","总资产报酬率ROA
[报告期] 2022年报
[单位] %","总资产报酬率ROA
[报告期] 2021年报
[单位] %","总资产报酬率ROA
[报告期] 2020年报
[单位] %","总资产报酬率ROA
[报告期] 2019年报
[单位] %","总资产报酬率ROA
[报告期] 2018年报
[单位] %","总资产报酬率ROA
[报告期] 2017年报
[单位] %","总资产报酬率ROA
[报告期] 2016年报
[单位] %","总资产报酬率ROA
[报告期] 2015年报
[单位] %"
0788.HK,中国铁塔,5.3106,5.0680,4.9452,4.5822,4.0379,3.6509,3.5000,2.8946,2.4795,1.7624,-1.5394
0811.HK,新华文轩,6.1084,6.6056,6.2119,6.2288,6.8180,7.4026,7.7595,6.8853,7.2435,5.4287,6.2574
0814.HK,北京京客隆,-0.4020,-0.2924,1.5671,1.2266,2.2560,3.8713,4.4567,4.2137,3.6433,3.1902,3.2687
0840.HK,天业节水,-3.9090,-2.9126,-0.1615,-7.8234,-6.2300,0.3057,-5.3303,-4.9027,0.2408,-5.8987,-0.6037
0857.HK,中国石油股份,8.4570,9.2073,9.3352,8.8912,7.0118,3.0484,5.0334,5.2973,2.7969,2.5413,3.3390
0874.HK,白云山,4.2201,4.1569,6.3450,6.7582,7.2376,6.3802,7.7318,9.8251,8.2551,8.8276,10.6630
0895.HK,东江环保,-10.9136,-5.8580,-6.0201,-3.0914,2.9367,5.0797,6.5891,7.2259,7.6509,9.6782,8.2427
0901.HK,华曦达,10.3415,6.8409,12.1343,23.1102,7.7590,13.7921,8.6623,5.8424,12.1621,9.8769,7.2917
0902.HK,华能国际电力股份,4.9790,4.3637,3.9355,-0.2352,-1.3907,3.1160,3.2111,2.9945,3.4724,6.5684,10.5278
0914.HK,海螺水泥,4.4752,4.4611,6.0389,8.7491,20.6196,25.0641,26.4696,28.7697,18.4023,11.2669,10.1867
0916.HK,龙源电力,4.0093,5.2039,5.1054,5.3277,6.4513,5.9249,6.3372,6.2734,5.9434,5.6968,5.7179
0921.HK,海信家电,7.6540,8.4320,9.0125,6.4410,5.8821,8.6677,7.3982,7.0779,10.8734,7.5898,4.5686
0939.HK,建设银行,,,,,,,,,,,
0954.HK,常茂生物,-3.9819,-4.5796,-4.2501,8.2628,9.5157,2.1449,8.5470,7.5736,0.1725,4.8966,7.1715
0956.HK,新天绿色能源,4.0402,4.3572,5.6470,5.9847,6.7081,6.1452,7.1495,6.8923,6.1457,4.5107,3.0781
0980.HK,联华超市,-0.0246,-0.2337,-2.8861,-0.0342,-1.1348,-0.0003,0.1993,0.6500,-0.3754,-2.6095,-3.0485
0991.HK,大唐发电,5.2860,4.4273,3.7216,2.2107,-1.6566,4.9289,4.0831,4.4243,3.9058,5.1248,4.6269
