证券代码,证券简称,"总资产报酬率ROA
[报告期] 2025年报
[单位] %","总资产报酬率ROA
[报告期] 2024年报
[单位] %","总资产报酬率ROA
[报告期] 2023年报
[单位] %","总资产报酬率ROA
[报告期] 2022年报
[单位] %","总资产报酬率ROA
[报告期] 2021年报
[单位] %","总资产报酬率ROA
[报告期] 2020年报
[单位] %","总资产报酬率ROA
[报告期] 2019年报
[单位] %","总资产报酬率ROA
[报告期] 2018年报
[单位] %","总资产报酬率ROA
[报告期] 2017年报
[单位] %","总资产报酬率ROA
[报告期] 2016年报
[单位] %","总资产报酬率ROA
[报告期] 2015年报
[单位] %"
600115.SH,中国东航,1.5205,0.4007,-0.9401,-11.0379,-4.1992,-4.0155,3.5761,3.1241,5.2858,6.1772,7.0238
600886.SH,国投电力,6.2301,6.6625,5.3081,3.7760,2.7852,5.1626,6.7674,6.8389,6.0092,7.1660,9.4175
002736.SZ,国信证券,,,,,,,,,,,
001979.SZ,招商蛇口,0.9070,1.0278,1.5586,1.8153,2.8672,3.5590,5.5381,7.5207,7.5265,7.5362,5.9551
600025.SH,华能水电,6.0695,6.3631,5.2608,5.1261,4.3860,5.7054,6.3759,6.5341,3.8099,2.8484,4.5319
000166.SZ,申万宏源,,,,,,,,,,,
000651.SZ,格力电器,8.0480,9.1282,8.1012,7.4147,8.1972,8.6702,10.2030,12.8537,12.7001,10.0898,8.9476
601066.SH,中信建投,,,,,,,,,,,
601919.SH,中远海控,8.0724,13.3030,5.9946,35.7707,38.0517,6.4635,3.4775,3.6118,5.6619,-3.1309,2.2578
600019.SH,宝钢股份,3.8850,2.8655,3.8966,3.8642,8.3376,4.6049,5.0975,8.9411,8.8968,5.3618,1.0803
601766.SH,中国中车,3.6116,3.4970,3.5874,3.7285,3.4282,4.1804,4.5772,4.4398,4.6004,5.5086,7.7399
003816.SZ,中国广核,4.9821,6.3887,6.3124,6.1731,6.3404,6.3339,6.4010,5.6555,6.1567,5.3161,6.3005
600958.SH,东方证券,,,,,,,,,,,
601788.SH,光大证券,,,,,,,,,,,
600188.SH,兖矿能源,5.7912,8.0461,9.5581,19.5464,10.2991,4.2332,8.1058,9.1935,7.9879,3.0716,1.3136
600010.SH,包钢股份,1.5224,1.4527,1.6189,0.4838,3.9842,2.1772,2.4859,4.4971,3.0844,0.6445,-2.9261
000063.SZ,中兴通讯,2.6824,4.0552,4.8494,4.7226,5.3119,4.4955,5.8753,-4.9543,4.8838,-0.2651,4.2963
000338.SZ,潍柴动力,4.5776,5.1304,4.3600,1.7968,4.8954,4.9422,6.5675,7.0646,6.1987,3.6793,2.8624
000333.SZ,美的集团,7.8419,8.7425,9.5186,8.9270,9.2097,9.8222,9.5474,9.5040,10.3548,12.2094,12.6251
600918.SH,中泰证券,,,,,,,,,,,
000100.SZ,TCL科技,1.3860,0.0592,1.3601,1.4360,6.1994,2.7133,3.1389,3.4583,3.9709,3.0070,4.6240
002594.SZ,比亚迪,4.7829,6.7387,6.1871,5.2091,2.5868,5.0453,2.8522,4.1210,4.8690,6.3060,5.0202
600875.SH,东方电气,3.1003,2.0957,2.4314,2.1002,1.7065,1.1969,0.6066,0.2408,0.0001,-2.7837,0.2778
600900.SH,长江电力,9.0842,8.7861,10.0020,9.2723,11.2712,11.9371,10.7289,11.0451,10.9401,14.3786,12.2350
000725.SZ,京东方A,2.0479,1.4862,0.4366,0.4916,8.7905,1.5936,0.6793,2.3709,4.2238,2.2373,1.8275
601377.SH,兴业证券,,,,,,,,,,,
601117.SH,中国化学,3.6042,3.3504,3.3386,3.6001,3.8491,3.6080,3.8437,3.2524,2.8941,2.9013,4.5722
601901.SH,方正证券,,,,,,,,,,,
600023.SH,浙能电力,6.4713,7.3738,6.7919,-2.6209,-2.4626,6.9368,6.2820,5.6318,6.0134,9.3460,11.3762
000157.SZ,中联重科,4.6110,3.3795,3.1839,2.0041,6.1371,8.6559,6.6627,4.2531,-10.0178,0.2079,0.8420
000792.SZ,盐湖股份,13.7464,12.1684,23.6788,63.8701,24.5598,15.3226,-96.7884,-1.6739,-3.4053,1.8939,2.3462
600362.SH,江西铜业,5.3338,6.3979,6.5317,5.7654,6.2505,3.7725,3.3765,3.9917,3.4580,2.8863,1.2803
601225.SH,陕西煤业,13.9870,20.9174,20.6640,31.9782,24.3413,17.4229,16.1265,16.6205,18.5195,5.9874,-0.9535
600690.SH,海尔智家,8.2784,9.3609,8.7052,8.1605,7.8181,7.5101,6.4009,7.3715,7.6434,8.3466,8.7032
601995.SH,中金公司,,,,,,,,,,,
000625.SZ,长安汽车,0.7079,2.9237,5.7652,4.7546,2.3718,2.1840,-2.5617,0.1934,6.2261,10.2719,12.3584
600039.SH,四川路桥,4.5757,5.0009,6.0896,9.3207,7.2688,5.6819,4.3567,3.8605,3.9398,4.2982,4.4863
600026.SH,中远海能,7.5335,8.6607,8.7773,5.8710,-5.9045,5.9844,3.5864,2.5717,4.4730,3.6460,2.4905
601899.SH,紫金矿业,18.0647,13.5342,10.4795,12.3702,13.3764,7.9348,7.0930,7.2753,6.5376,3.8128,3.7833
601808.SH,中海油服,6.7563,6.3888,6.2721,4.8130,2.3895,5.5211,5.9375,2.2499,1.7159,-12.5222,2.1926
600089.SH,特变电工,4.4235,3.2301,10.0160,18.4841,10.6628,4.4484,3.6381,3.8652,4.4269,4.8271,4.6125
600031.SH,三一重工,6.4380,5.1115,4.0823,3.6902,10.4648,17.0957,16.4398,11.4387,4.7897,0.1026,0.1930
600741.SH,华域汽车,5.1180,4.8373,5.3342,5.7724,5.8917,5.4840,6.9167,8.8720,8.9705,10.4622,10.9305
600018.SH,上港集团,8.6867,9.2489,8.4317,11.7623,11.4660,7.0944,8.8708,10.8945,12.8596,9.8679,11.0994
601607.SH,上海医药,4.8863,4.3189,4.1343,5.5642,5.9650,5.7992,5.6336,5.7412,6.6850,6.5086,6.7023
600585.SH,海螺水泥,4.4752,4.4611,6.0389,8.7491,20.6196,25.0641,26.4696,28.7697,18.4023,11.2669,10.1867
600150.SH,中国船舶,2.7851,1.4025,1.7764,1.3464,0.2098,0.3157,0.9107,1.2720,-3.4859,-4.4731,0.2009
000630.SZ,铜陵有色,8.2262,7.6154,7.7200,7.1308,8.7515,4.0757,4.4438,4.4325,3.3724,2.6637,-0.4895
000983.SZ,山西焦煤,3.7017,6.1924,12.3025,21.6608,9.9619,4.5821,5.8546,6.6798,6.4010,3.1355,2.7728
601878.SH,浙商证券,,,,,,,,,,,
000425.SZ,徐工机械,4.7889,5.2741,3.7995,3.3686,5.9959,6.0702,5.8733,3.9900,2.4623,0.5535,0.1010
600893.SH,航发动力,1.2845,1.4765,1.8008,1.7733,1.8160,2.2119,2.9830,3.2717,3.6630,3.9503,4.7818
600309.SH,万华化学,5.9539,6.9618,8.8172,9.9913,18.7508,10.1746,15.3052,23.5617,30.1466,13.3581,7.9512
601633.SH,长城汽车,5.1517,6.6826,3.9187,4.6191,4.3523,4.3611,3.7475,3.9910,5.7261,15.0142,14.4128
601059.SH,信达证券,,,,,,,,,,,
601238.SH,广汽集团,-5.2878,-0.3319,1.5753,4.2034,5.0627,4.0665,4.7070,9.3442,12.3343,9.9416,7.2337
601006.SH,大秦铁路,3.9530,6.4335,8.7265,8.4593,9.6868,9.5209,13.4944,15.2400,13.8747,7.7268,14.8999
002493.SZ,荣盛石化,2.3303,2.4010,0.4210,1.6060,10.8005,9.3509,2.5102,3.5518,6.0529,7.5020,2.3290
000768.SZ,中航西飞,1.6361,1.3740,1.2524,0.7887,1.2112,1.8278,1.3455,1.3734,1.3325,1.5020,1.7904
600887.SH,伊利股份,8.0460,6.2456,8.2957,9.1275,11.6827,12.3843,15.0223,15.4998,16.2198,16.7865,14.3085
000807.SZ,云铝股份,20.0353,14.7651,14.1472,15.9689,11.8904,3.3661,3.8792,-2.5335,4.6145,3.4911,2.1807
600415.SH,小商品城,12.8412,10.8774,9.6951,4.1082,6.1461,5.3391,6.3340,6.6389,8.9434,5.1334,4.4637
600989.SH,宝丰能源,15.7220,9.0403,10.0098,14.3349,19.6916,14.7023,15.5009,18.1570,14.0291,8.6663,7.1035
600196.SH,复星医药,5.1187,4.5293,3.8433,5.2525,7.5115,6.7119,7.3880,6.5910,8.6344,9.7215,10.3116
688009.SH,中国通号,3.9783,3.6262,3.6031,3.9246,3.6272,4.5983,5.4670,6.4080,7.5065,7.9323,8.7874
601456.SH,国联民生,,,,,,,,,,,
601298.SH,青岛港,11.0008,11.4686,11.5905,10.7742,9.3518,9.6886,9.4567,9.2021,8.5665,7.6090,7.4781
600489.SH,中金黄金,12.9625,10.1360,8.4982,6.3318,5.4226,5.6073,2.5233,3.1028,3.4422,3.6188,1.9473
600176.SH,中国巨石,8.2690,5.6956,7.3635,17.3891,19.0828,8.1140,9.4403,11.7469,11.9538,9.0554,8.5157
