证券代码,证券简称,"总资产报酬率ROA
[报告期] 2025年报
[单位] %","总资产报酬率ROA
[报告期] 2024年报
[单位] %","总资产报酬率ROA
[报告期] 2023年报
[单位] %","总资产报酬率ROA
[报告期] 2022年报
[单位] %","总资产报酬率ROA
[报告期] 2021年报
[单位] %","总资产报酬率ROA
[报告期] 2020年报
[单位] %","总资产报酬率ROA
[报告期] 2019年报
[单位] %","总资产报酬率ROA
[报告期] 2018年报
[单位] %","总资产报酬率ROA
[报告期] 2017年报
[单位] %","总资产报酬率ROA
[报告期] 2016年报
[单位] %","总资产报酬率ROA
[报告期] 2015年报
[单位] %"
002466.SZ,天齐锂业,6.1140,1.4121,49.4103,68.8596,16.0087,1.7428,-5.3489,13.1403,24.4198,23.7838,8.9121
002600.SZ,领益智造,5.8866,5.8943,7.5585,6.4738,4.4237,9.2405,9.8256,-60.9006,11.8252,4.3346,2.7588
002230.SZ,科大讯飞,1.7750,0.9176,1.1876,0.7712,5.3234,6.4830,5.6233,4.4866,4.6164,5.5930,6.2758
601360.SH,三六零,-0.5691,-4.4317,-0.4881,-4.7397,2.8527,8.6506,20.9573,15.2513,34.1295,6.8233,9.9070
600061.SH,国投资本,1.6108,1.5374,1.2946,1.7621,3.0826,3.2655,2.9845,2.0079,3.1442,2.5537,8.7044
000661.SZ,长春高新,-0.0103,9.8578,19.0234,19.9173,22.9995,26.4716,25.0210,20.3093,16.3457,15.9497,18.3332
601689.SH,拓普集团,8.0349,10.5715,9.0736,8.4858,7.4438,6.0822,4.8137,8.2479,11.0036,15.7375,14.2816
300124.SZ,汇川技术,8.3651,8.5780,11.3114,13.4606,16.6230,13.9772,8.7285,13.0000,13.7663,14.8417,16.2009
600570.SH,恒生电子,8.5531,7.4222,10.6191,8.9663,13.6327,15.6865,20.9610,11.6211,9.0046,-1.4075,14.7067
603369.SH,今世缘,13.4739,19.2536,20.9064,20.4044,20.5399,18.7577,20.2414,18.9261,17.7723,17.0053,17.7909
002049.SZ,紫光国微,8.2606,7.0658,16.5551,21.4067,22.6420,13.3534,7.5668,6.9559,6.6144,8.1271,10.0536
000301.SZ,东方盛虹,2.1009,0.5881,0.1743,0.2992,7.2641,1.8316,8.2164,9.7870,5.8411,4.9408,6.4359
600276.SH,恒瑞医药,14.5363,15.2795,10.8479,9.7382,12.0718,22.1413,23.7811,21.9487,23.2268,23.3338,23.6674
002252.SZ,上海莱士,5.2193,7.8872,7.0659,7.8815,5.8374,7.6767,6.1085,-13.2917,7.4996,15.6889,16.5949
002074.SZ,国轩高科,3.1449,2.0908,1.7996,1.0007,1.0723,1.8050,1.4417,4.0151,7.5619,14.6327,17.5706
300476.SZ,胜宏科技,18.9618,7.7806,5.2672,7.1307,6.3677,7.0934,8.6506,8.9019,10.0789,12.4586,8.9979
300759.SZ,康龙化成,8.2535,9.2650,8.6017,9.4322,13.1631,12.2984,9.5733,10.6854,9.5404,11.1635,9.9307
600436.SH,片仔癀,14.5759,20.4183,21.2655,21.9766,25.2767,20.8126,20.6961,21.4487,17.4287,13.2805,13.9068
300014.SZ,亿纬锂能,4.5271,5.4017,5.9612,6.0705,8.6606,9.1343,13.1375,8.0078,8.6716,10.9614,9.6727
603501.SH,豪威集团,10.9220,8.5239,3.0978,5.2335,19.6868,14.9094,9.3706,4.7048,7.7634,10.9687,11.6297
601100.SH,恒立液压,14.7081,14.2221,14.4385,16.0954,27.5149,28.9854,19.0509,14.7369,8.3374,2.2507,1.6871
300408.SZ,三环集团,12.0129,11.1346,8.7171,8.7677,14.8772,16.0488,11.9357,19.5377,19.1171,22.7490,22.0174
002460.SZ,赣锋锂业,2.4876,-1.2517,7.1156,39.2270,19.7649,7.6935,4.0094,13.3622,39.4414,35.1506,11.1555
300413.SZ,芒果超媒,2.7166,4.9221,6.1204,6.4042,9.3197,10.3658,7.7256,12.7699,1.5077,1.4315,3.1442
300418.SZ,昆仑万维,-8.5191,-8.3220,9.6260,7.8275,10.0246,42.7778,16.7034,15.9099,17.1221,12.1828,15.2633
300015.SZ,爱尔眼科,13.2206,14.9863,16.3009,14.1450,16.8376,17.4942,17.6627,14.9895,15.6552,18.6052,18.9482
300347.SZ,泰格医药,3.7828,2.4500,8.3297,9.5713,15.9796,15.9337,18.1690,18.5806,15.8835,,
302132.SZ,中航成飞,6.9925,3.0506,2.4353,6.1519,10.9764,11.3456,10.2387,9.2283,8.4478,7.8835,7.3857
300033.SZ,同花顺,25.9523,18.8743,15.9066,21.0138,26.6852,29.2848,20.3531,16.3699,19.4485,34.5634,43.5890
603893.SH,瑞芯微,21.6811,14.1799,1.7651,7.5810,19.9025,13.2824,9.6246,12.1185,8.6425,9.2961,2.7184
000408.SZ,藏格矿业,24.7846,18.5878,27.9883,54.5757,17.5620,3.3561,4.2816,12.1685,19.7397,29.4529,-13.0407
000975.SZ,山金国际,22.3768,18.7452,13.1094,10.4180,12.7921,14.2065,10.6521,12.8171,9.8493,7.2853,8.0911
300442.SZ,润泽科技,16.2156,7.6042,9.0404,14.1665,-1.1509,-15.2687,1.6119,-15.6312,0.9340,0.3989,5.7249
300122.SZ,智飞生物,-42.1194,4.7194,21.2827,25.6220,52.7193,29.4680,31.8899,31.2067,14.3984,1.3258,7.5245
002352.SZ,顺丰控股,7.6261,7.0583,5.5313,5.9746,5.5111,9.8855,9.7979,9.4595,12.9712,24.4749,3.5339
002459.SZ,晶澳科技,-4.2664,-3.7659,9.5507,10.4448,5.1470,5.5110,14.4263,0.0326,1.1765,1.4870,-21.0581
603392.SH,万泰生物,-3.4264,0.0619,8.7238,47.9706,44.0612,26.9715,10.5176,16.7165,11.5554,11.9484,13.7494
600233.SH,圆通速递,10.4395,10.6684,11.2247,13.8804,9.2231,9.0648,10.5400,15.1544,14.8191,28.6264,5.7942
603986.SH,兆易创新,8.5094,6.4057,0.7967,14.1607,18.6026,10.5033,14.0542,16.2524,21.0468,14.4596,23.5963
002709.SZ,天赐材料,6.8438,3.6639,10.2779,35.4255,27.1380,11.0461,1.2066,13.2618,12.0768,23.6696,9.0222
002625.SZ,光启技术,6.4283,5.9477,7.0453,4.8897,3.7826,2.2535,0.3596,-0.0762,0.0350,10.9244,7.4803
300866.SZ,安克创新,15.9959,15.8697,15.7530,13.7595,14.0367,19.8006,31.5820,28.1454,33.4833,65.4810,68.7748
688111.SH,金山办公,11.4667,11.7136,10.6781,10.5412,11.8149,12.1892,9.5031,22.1231,19.4436,17.0293,-21.9646
300832.SZ,新产业,18.7796,23.0743,24.8482,22.7535,19.8498,25.0305,29.4650,34.6210,34.7152,38.3885,30.7554
300803.SZ,指南针,1.7849,1.2417,1.2927,8.6969,8.6377,3.9635,9.7401,14.8724,19.9698,24.7214,34.1802
300316.SZ,晶盛机电,3.9979,9.0116,18.1292,14.8159,14.4924,10.8028,10.1149,10.4953,8.3538,6.7681,5.4737
300502.SZ,新易盛,55.2986,32.6612,12.8081,19.1403,16.8053,19.0967,15.7689,2.4446,9.8156,13.5815,17.6816
300308.SZ,中际旭创,37.1718,24.1770,13.6335,8.3169,6.3612,8.1882,6.5553,9.3071,5.2407,1.7136,0.8004
300628.SZ,亿联网络,27.6516,30.3100,24.9289,30.2387,27.4617,26.4442,31.6734,27.6229,33.1454,64.6271,65.7271
002027.SZ,分众传媒,18.0854,25.5309,23.3593,13.7796,32.7653,24.3756,12.3365,39.6110,51.2872,42.0097,60.6145
300661.SZ,圣邦股份,8.3586,8.6913,4.8968,24.9694,30.0770,18.1338,14.9397,10.5496,15.0250,25.0825,26.4958
300782.SZ,卓胜微,-2.0650,3.1985,11.4457,12.1361,41.8606,48.5556,45.2230,39.7209,67.4329,68.7079,19.8427
300394.SZ,天孚通信,42.1204,35.7510,24.9457,16.5499,16.3544,21.7077,14.9247,14.8898,14.7686,18.6865,22.4918
300896.SZ,爱美客,17.6201,29.6160,32.0552,25.0472,21.5353,18.0368,57.0545,32.7211,26.3852,25.9040,19.6998
300999.SZ,金龙鱼,2.4064,1.5775,1.4645,1.8716,3.1971,5.1139,4.0917,4.3823,4.6159,2.3189,
600905.SH,三峡能源,2.4668,3.8501,3.1429,3.7842,3.6911,5.2406,3.6157,3.9166,3.9889,4.4449,
601816.SH,京沪高铁,6.6649,6.5529,5.2720,-0.3580,2.0964,1.6576,9.1756,8.3930,7.4210,6.0778,
688036.SH,传音控股,7.4148,14.1253,16.8645,9.3078,16.6331,14.6386,14.9767,8.5928,10.1786,2.6457,
688396.SH,华润微,1.8557,2.3006,6.0595,10.9053,12.1587,8.1543,5.1093,5.9839,-0.6789,-3.3693,
688012.SH,中微公司,7.6423,6.7953,9.6745,6.0774,9.3805,9.6965,4.4545,5.3769,4.3061,-20.7991,
688126.SH,沪硅产业,-5.6707,-3.6181,0.6520,1.9333,1.0237,0.9329,0.0439,0.5570,4.4126,-1.9979,
605117.SH,德业股份,20.0239,26.5631,22.4473,28.2218,23.4862,30.2293,28.3608,15.5072,21.2814,20.9214,
688008.SH,澜起科技,15.7987,12.3416,4.4236,14.4050,10.5306,14.8720,15.0334,27.8049,27.9172,8.8369,
688169.SH,石头科技,6.9660,13.2315,18.4792,13.0887,18.1025,31.7266,56.9563,40.5963,18.6247,-6.3875,
603296.SH,华勤技术,5.5469,5.1346,6.5132,6.8324,5.2919,9.3451,2.9658,1.0007,,,
688271.SH,联影医疗,6.4149,4.6445,8.6485,11.1079,16.9564,13.2322,-0.2963,-2.5955,,,
688041.SH,海光信息,10.6586,10.8213,7.4946,7.0173,4.4838,-1.1183,-2.5932,-3.6539,,,
688506.SH,百利天恒,-8.2239,93.9141,-43.5725,-18.1178,-11.2456,4.2783,1.1265,3.8654,,,
688047.SH,龙芯中科,-13.4183,-17.6314,-9.0447,0.8019,14.0043,6.8347,23.6547,1.2865,,,
301269.SZ,华大九天,0.3333,0.9101,3.6657,5.1550,8.8668,10.1970,9.4655,9.3817,,,
600930.SH,华电新能,3.1789,4.0872,5.2148,5.1731,,,,,,,
001391.SZ,国货航,11.8423,10.1359,6.8141,17.9397,23.2206,,4.5141,,,,
688082.SH,盛美上海,9.5997,11.8879,10.7512,9.5583,6.5700,14.1534,15.7528,21.4917,4.1570,,
688256.SH,寒武纪,20.5437,-7.2335,-14.3536,-20.7332,-11.5231,-7.2551,-30.5872,-2.2605,-64.5053,,
605499.SH,东鹏饮料,23.0196,22.5226,20.0102,19.2131,24.9102,26.7347,27.0364,13.1454,19.0056,,
300979.SZ,华利集团,18.1344,23.0440,22.0812,24.5724,28.4323,23.7589,25.5316,25.8747,19.7098,,
301236.SZ,软通动力,0.6072,1.1904,3.2323,8.5737,10.4097,16.0698,9.9731,4.7570,0.4432,,
603195.SH,公牛集团,22.3399,24.6535,24.9162,23.3745,23.8251,27.7491,42.5750,42.8916,38.3493,50.5957,43.9818
601138.SH,工业富联,11.0412,8.3664,8.0869,7.8518,9.0700,9.1601,10.0248,11.3204,14.0559,14.3587,16.0592
,,,,,,,,,,,,
数据来源：Wind,,,,,,,,,,,,
