benchmark,企业所有制性质,n_firms,actual_mean,predicted_mean,mean_gap,median_gap,positive_gap_share,actual_asset_weighted,predicted_asset_weighted,asset_weighted_gap,net_implied_gap_amount,positive_only_gap_amount,total_assets
CSI_nonSOE,中央国有企业,500,0.043915138498,0.0431591300355512,-0.0007560084624487988,-0.006899913345307838,0.428,0.03694805597051181,0.032558104612689154,-0.0043899513578226565,-934306527409.4917,2394094407578.696,212828446434744.8
CSI_nonSOE,地方国有企业,322,0.07811689791304348,0.06891868414058662,-0.009198213772456847,-0.0071176040001764175,0.4254658385093168,0.061920074944161664,0.05141253754849237,-0.010507537395669293,-447542354191.35626,544575117254.4864,42592506439787.89
H_nonSOE,中央国有企业,500,0.043915138498,0.05679311329926236,0.012877974801262354,0.012356846484271919,0.654,0.03694805597051181,0.061549954571682844,0.024601898601171034,5235983858632.355,6610388614575.038,212828446434744.8
H_nonSOE,地方国有企业,322,0.07811689791304348,0.07721346970049135,-0.0009034282125521254,0.0019099690398267921,0.5062111801242236,0.061920074944161664,0.07445317047472753,0.01253309553056587,533815952096.1033,1278949183306.3093,42592506439787.89
Pooled_H_plus_CSI_nonSOE,中央国有企业,500,0.043915138498,0.07186346184955063,0.02794832335155063,0.02631977346966716,0.762,0.03694805597051181,0.07783949478749831,0.0408914388169865,8702861395900.658,9365569285336.418,212828446434744.8
Pooled_H_plus_CSI_nonSOE,地方国有企业,322,0.07811689791304348,0.09366445073169054,0.01554755281864707,0.017005601744387488,0.6086956521739131,0.061920074944161664,0.09014699939253812,0.028226924448376454,1202255461342.8804,1691983551251.832,42592506439787.89
