市场,证券代码,证券简称,一级行业,二级行业,行业全路径,企业所有制性质,资产总计_2024,营业收入_2024,归母净利润_2025,利息支出_2025,资产总计_2025,EBI_A_2025,FirmSize_2024,MarketShare_2024_二级行业,HHI_2024_二级行业,AssetTurnover_2024,WorkingCapitalRatio_2024,FixedAssetsRatio_2024,FinancialLeverage_2024,CurrentRatio_2024,CapexRatio_2024,BenchmarkMarket
CSI,601877.SH,正泰电器,工业,电气设备,工业--电气设备--电气设备Ⅲ--电气部件与设备,民营企业,138081167945.54,64042886154.97,4501407070.08,1868199701.91,158643189137.54,0.04015052147286132,25.651107522715773,0.05693174760652094,0.14616578354193543,0.4947577675005134,0.1782101305314518,0.2118970270024071,0.6327767514559337,1.433587511000688,0.021373685242682846,CSI_nonSOE
CSI,603195.SH,公牛集团,工业,电气设备,工业--电气设备--电气设备Ⅲ--电气部件与设备,民营企业,20494034490.68,16697363009.06,4070632747.77,-96686209.09,22556242542.63,0.17617945591644837,23.74339968028729,0.014843335670818945,0.14616578354193543,0.8295540229107302,0.5830578420005148,0.17266322075622645,0.22538530039171112,3.72304002114063,0.04579477110067357,CSI_nonSOE
CSI,603259.SH,药明康德,医疗保健,医药生物,医疗保健--医药生物--生命科学工具和服务Ⅲ--生命科学工具和服务Ⅳ,民营企业,80325824000.0,39241431000.0,19194927000.0,306492000.0,103120969000.0,0.18911206119484777,25.10935700022127,0.1896700710278351,0.13623235092080122,0.5096449484166624,0.27966145731664077,0.31456679485790273,0.26442568457187565,2.384437186597038,0.04984067141346723,CSI_nonSOE
CSI,603260.SH,合盛硅业,材料,化工,材料--化工--基础化工--商品化工,民营企业,90773438669.86,26188634721.07,-2990853048.26,1165138162.73,83606668256.61,-0.021836953003873085,25.231632554097345,0.045591272985943405,0.3404756158039197,0.30081567776208396,-0.2685964267344153,0.7547226388150188,0.638335393981934,0.35715759860955454,0.06179094980602932,CSI_nonSOE
CSI,603288.SH,海天味业,日常消费,食品饮料,日常消费--食品饮料--食品--食品加工与肉类,民营企业,40858435000.0,26900978000.0,7038465000.0,25520000.0,52183944000.0,0.13536702017003543,24.43337912408499,0.053510678823158755,0.21624588016252744,0.6786154306594268,0.5838774294708057,0.13914715529363766,0.23144525726450366,3.654893486839389,0.038564864268540874,CSI_nonSOE
CSI,603296.SH,华勤技术,信息技术,硬件设备,信息技术--硬件设备--电脑与外围设备--电脑硬件、储存设备及电脑周边,民营企业,76296823000.0,109877987000.0,4081338000.0,308359000.0,96205628000.0,0.04562827654947588,25.05789713609994,0.22276856094434785,0.12235054081259594,1.7194434124804288,0.0858833008027084,0.12653268668867115,0.6995410936049067,1.1319259868135279,0.027090616866183276,CSI_nonSOE
CSI,603392.SH,万泰生物,医疗保健,医药生物,医疗保健--医药生物--生物科技Ⅲ--生物科技Ⅳ,民营企业,14689396309.47,2222303008.76,-398267667.27,-11369740.74,14044056851.29,-0.029168025474944813,23.410391730948753,0.010741309854803227,0.13623235092080122,0.14618301516435028,0.43315623062453634,0.23261606026499032,0.15258873792212854,4.162314511357147,0.06040749687636523,CSI_nonSOE
CSI,603501.SH,豪威集团,信息技术,半导体,信息技术--半导体--半导体产品--集成电路,民营企业,38964574000.0,25706819000.0,4045416530.33,302467921.86,43600508995.65,0.09972095629947314,24.38591871129368,0.45221634028659474,0.27301628783410753,0.670253605966063,0.3646592671589326,0.09053049059384044,0.3788616808693969,2.870703402099263,0.03204498014016527,CSI_nonSOE
CSI,603799.SH,华友钴业,材料,有色金属,材料--有色金属--其他金属与采矿--金属非金属,民营企业,136591394324.44,60502773799.04,6110378757.84,2399184377.14,159437759775.5,0.05337232000099654,25.640259783009554,0.19818303404009233,0.5317816081836909,0.46165646432041896,0.012859580719469276,0.4465907849875819,0.6437504298289217,1.0335578552577243,0.04920935773782729,CSI_nonSOE
CSI,603893.SH,瑞芯微,信息技术,半导体,信息技术--半导体--半导体产品--集成电路,民营企业,4265988219.99,3124647739.06,1039952125.0,-49904317.15,5584701847.04,0.17727854323588366,22.17393969562045,0.05496661275914752,0.27301628783410753,0.8039532278619531,0.6926399630908794,0.008673564722147014,0.16880119938111035,5.44868532305547,0.029256420272133935,CSI_nonSOE
