sample,feature,n,mean,median,p05,p95,min,max
CSI SOE,FirmSize_2024,118,25.71242105932204,25.7641365,23.7716208,28.251036550000002,22.168042,28.790811
CSI SOE,MarketShare_2024_二级行业,118,0.13321216949152542,0.0641715,0.00753695,0.4540074,0.001364,1.0
CSI SOE,HHI_2024_二级行业,118,0.21236133050847458,0.171927,0.097008,0.484294,0.097008,1.0
CSI SOE,AssetTurnover_2024,118,0.5595698050847457,0.49632,0.11802370000000001,1.2024011999999995,0.024926,2.874502
CSI SOE,WorkingCapitalRatio_2024,118,0.12806233898305083,0.11258950000000001,-0.1932278,0.52113795,-0.340336,0.653
CSI SOE,FixedAssetsRatio_2024,118,0.31402099999999994,0.2575285,0.03711680000000001,0.7486672999999999,0.004037,0.897786
CSI SOE,FinancialLeverage_2024,118,0.4738948220338983,0.463863,0.1511682,0.77402225,0.081966,0.881631
CSI SOE,CurrentRatio_2024,118,1.7423196101694918,1.3006125000000002,0.45781015,4.794604349999998,0.107736,7.747215
CSI SOE,CapexRatio_2024,118,0.048882161016949144,0.037304500000000004,0.006566150000000001,0.12047349999999998,0.000134,0.241579
CSI non-SOE,FirmSize_2024,98,24.5187215404609,24.493955939093123,22.679521621244504,26.13868705546855,21.97530951601515,27.39105958564576
CSI non-SOE,MarketShare_2024_二级行业,98,0.17346938775510204,0.07970032239981859,0.011183523131634633,0.7650829912119664,0.006527036894416711,1.0
CSI non-SOE,HHI_2024_二级行业,98,0.2944439227959902,0.23288063539086398,0.12235054081259594,0.65354141418448,0.12235054081259594,1.0
CSI non-SOE,AssetTurnover_2024,98,0.6937170072231278,0.600558420940573,0.1573649249431206,1.5221111238795217,0.13191768478119537,2.4643273734628033
CSI non-SOE,WorkingCapitalRatio_2024,98,0.21491599056911365,0.19627589860882333,-0.18783767290996004,0.6321579125068783,-0.2700409765507869,0.7416373459167128
CSI non-SOE,FixedAssetsRatio_2024,98,0.27170605322916785,0.215769727563406,0.03867772146855608,0.6507635483657214,0.0025256436820191176,0.8188579564824511
CSI non-SOE,FinancialLeverage_2024,98,0.4389341501118373,0.46130795923723844,0.09917753299328456,0.7476765735324841,0.04680413487993228,0.873833641017898
CSI non-SOE,CurrentRatio_2024,98,2.4096754760770924,1.6150844100532145,0.548553588860104,6.801021233958793,0.2252113274709627,14.669905432296156
CSI non-SOE,CapexRatio_2024,97,0.05492513750680825,0.04596947141467543,0.011892537989779087,0.12922800749604435,0.0008084058531937776,0.16456485847897723
H non-SOE,FirmSize_2024,190,22.163586536842104,21.976684499999998,19.63711195,25.30689,16.313827,27.39106
H non-SOE,MarketShare_2024_二级行业,187,0.056532770053475935,0.00755,0.0001301,0.3860940999999987,0.0,0.709723
H non-SOE,HHI_2024_二级行业,192,0.36378746875,0.286802,0.177102,0.874431,0.130917,0.90459
H non-SOE,AssetTurnover_2024,187,0.7789240909090909,0.585956,0.09839400000000001,1.9136947999999994,0.001151,4.665159
H non-SOE,WorkingCapitalRatio_2024,190,0.06544836315789472,0.25003,-0.2509812,0.6422781999999999,-12.872912,0.865671
H non-SOE,FixedAssetsRatio_2024,190,0.2010043842105263,0.1551885,0.0066403,0.5172545,0.00103,0.704404
H non-SOE,FinancialLeverage_2024,190,0.6919395157894737,0.471824,0.1404066,1.4706873499999835,0.036356,13.190423
H non-SOE,CurrentRatio_2024,190,2.5048361736842106,1.684637,0.4944641,7.991599399999987,0.022447,20.723219
H non-SOE,CapexRatio_2024,188,0.050685925531914894,0.0390745,0.0015712,0.13403895000000005,9.1e-05,0.371688
Pooled H + CSI non-SOE,FirmSize_2024,288,22.964986642240163,23.010409644586332,19.94577645,25.985864523018275,16.313827,27.39106
Pooled H + CSI non-SOE,MarketShare_2024_二级行业,285,0.09674255438596492,0.022846423097762324,0.00027,0.5124932000000003,0.0,1.0
Pooled H + CSI non-SOE,HHI_2024_二级行业,290,0.34035413253105873,0.286802,0.130917,0.874431,0.12235054081259594,1.0
Pooled H + CSI non-SOE,AssetTurnover_2024,285,0.7496248130100579,0.593293,0.14843206780933674,1.8031258000000008,0.001151,4.665159
Pooled H + CSI non-SOE,WorkingCapitalRatio_2024,288,0.11630887526310119,0.23570665633492666,-0.22287738666024165,0.64001165,-12.872912,0.865671
Pooled H + CSI non-SOE,FixedAssetsRatio_2024,288,0.22506259102936962,0.18707957676219383,0.0078204,0.5793458187323872,0.00103,0.8188579564824511
Pooled H + CSI non-SOE,FinancialLeverage_2024,288,0.6058474121908335,0.4710895,0.12401195000000002,0.8886715499999995,0.036356,13.190423
Pooled H + CSI non-SOE,CurrentRatio_2024,288,2.4724551029706774,1.6384145,0.49441430000000003,7.483411399999994,0.022447,20.723219
Pooled H + CSI non-SOE,CapexRatio_2024,285,0.052128745046176844,0.041267,0.002733000000000001,0.13074811953561996,9.1e-05,0.371688
