benchmark,二级行业,n_firms,actual_mean,predicted_mean,mean_gap,median_gap,positive_gap_share,actual_asset_weighted,predicted_asset_weighted,asset_weighted_gap,net_implied_gap_amount,positive_only_gap_amount,total_assets
CSI_nonSOE,交通运输,104,0.04653657563461539,0.018692934282912785,-0.0278436413517026,-0.033832800283381606,0.17307692307692307,0.04075956769936445,0.008019678050140235,-0.03273988964922422,-588519072505.5728,105978523484.07297,17975597316025.71
CSI_nonSOE,企业服务,7,0.06315843042857143,0.04083977848552529,-0.022318651943046133,-0.01055384679730452,0.14285714285714285,0.06609955719298967,0.04076541870818268,-0.025334138484806992,-6155989051.1740675,163596576.22646484,242991844971.0
CSI_nonSOE,传媒,7,0.06984805885714286,0.07609024849318903,0.006242189636046171,0.023275764218526826,0.5714285714285714,0.06720164476239221,0.07460245501834384,0.007400810255951629,1396005589.020488,3155152861.649174,188628750196.35
CSI_nonSOE,公用事业Ⅱ,81,0.04295115138271605,0.015327270400108828,-0.027623880982607228,-0.028178417158499024,0.08641975308641975,0.038726884524763465,0.0106904115444661,-0.028036472980297364,-716156667310.6075,33842225582.927322,25543750378797.176
CSI_nonSOE,化工,35,0.06633937959999998,0.10155187384444357,0.03521249424444358,-0.009514875269314355,0.42857142857142855,0.07680189984815988,0.07227265710547516,-0.004529242742684722,-10153438449.070051,61194056185.08989,2241751883462.0005
CSI_nonSOE,医药生物,42,0.08798371335714286,0.1062363423380728,0.018252628980929938,0.02801361777286329,0.6428571428571429,0.05453632891374962,0.08408572734974,0.02954939843599038,61662878163.2684,70025980012.41039,2086772706958.5498
CSI_nonSOE,半导体,21,0.0520131000952381,0.03825893084194804,-0.013754169253290042,-0.007516027804189265,0.38095238095238093,0.05494136430793883,0.03471646698218049,-0.020224897325758336,-15628861046.169966,4037677059.91883,772753542054.5801
CSI_nonSOE,可选消费零售,7,0.10227133600000002,0.11485625836946091,0.012584922369460913,0.01668848101391339,0.5714285714285714,0.09393333768016632,0.11355015214494225,0.019616814464775936,8677031763.365143,13241037699.665236,442326239000.0
CSI_nonSOE,国防军工,35,0.03052976948571428,0.02649693162950527,-0.004032837856209017,-0.00826353443915426,0.34285714285714286,0.021480506094170675,0.013966923439496686,-0.007513582654673988,-14960595952.84598,9202126076.264956,1991140131204.84
CSI_nonSOE,建材Ⅱ,21,0.09652911323809524,0.0946225005419464,-0.0019066126961488291,0.002839645387603104,0.5238095238095238,0.09281693406343068,0.09633666030618662,0.003519726242755941,7516003072.862787,51332583378.63788,2135394219460.03
CSI_nonSOE,建筑,63,0.024818597190476185,0.004085644264773555,-0.020732952925702635,-0.01843797492025519,0.06349206349206349,0.022085490129675457,0.005121776398630677,-0.01696371373104478,-1215448289042.6653,12316966676.13432,71649893903733.45
CSI_nonSOE,房地产Ⅱ,21,0.011742398571428572,0.01793007494934793,0.006187676377919359,0.004997426423718221,0.6190476190476191,0.014790918035360746,0.016339707468830268,0.0015487894334695225,23607402381.15193,72943929501.04503,15242486726079.84
CSI_nonSOE,有色金属,63,0.06256108795238094,0.08626470999223475,0.02370362203985379,0.027979785251028608,0.7619047619047619,0.059556609395061605,0.0725532677635384,0.012996658368476799,90295976482.73293,166762386669.4752,6947630223299.91
CSI_nonSOE,机械,35,0.025107307685714286,0.05043023492572406,0.02532292724000977,0.017830712199615996,0.8285714285714286,0.027472163052707582,0.04470251772418905,0.01723035467148147,140271374655.93066,144022866871.7324,8140945286988.109
CSI_nonSOE,汽车与零配件,28,0.02692569328571429,0.03585967179398418,0.008933978508269892,0.010362204751697263,0.6071428571428571,0.02177677327454882,0.034568580606329787,0.012791807331780966,129941380062.63882,148559278500.03348,10158172077826.9
CSI_nonSOE,煤炭Ⅱ,35,0.07425346197142857,0.054307266701461465,-0.019946195269967104,-0.0119455738778146,0.22857142857142856,0.07722755148824641,0.06013796835243403,-0.017089583135812374,-185373489422.42993,15383877932.49121,10847162739386.379
CSI_nonSOE,电信服务,28,0.034044620178571426,0.04508428132157993,0.011039661143008497,0.004812780370320984,0.5,0.04893670388668237,0.03607016907321514,-0.01286653481346723,-301862682477.65027,77713837988.86656,23461070665405.16
CSI_nonSOE,电气设备,28,0.04872386989285714,0.059499276426754955,0.010775406533897804,0.0053043817139851335,0.75,0.04327732618423256,0.050154362777015404,0.006877036592782847,17298060190.04704,21671530495.87812,2515336359879.2803
CSI_nonSOE,石油石化,28,0.058856046821428566,0.08411329131744334,0.02525724449601477,0.031988838863201995,0.7857142857142857,0.055186395186226145,0.0920318600215131,0.03684546483528696,1445241518972.8318,1722584414294.8235,39224407276000.0
CSI_nonSOE,硬件设备,42,0.06705914007142859,0.07307027755364212,0.006011137482213542,0.01097893183434804,0.6666666666666666,0.046932410089498756,0.048906551747998274,0.0019741416584995175,9149593606.84485,64518171065.189705,4634719888236.96
CSI_nonSOE,软件服务,14,0.06855870735714285,0.08018843139529441,0.011629724038151544,0.008787202710444739,0.6428571428571429,0.08258425723398884,0.06930217451514849,-0.013282082718840349,-2049880396.3538818,1693645433.5915077,154334259147.94
CSI_nonSOE,钢铁Ⅱ,21,0.04385742961904762,0.06362557043934963,0.01976814082030202,0.01492837083642833,0.8571428571428571,0.03914638290578435,0.06506066598073314,0.025914283074948787,111083465722.66528,114810390779.85443,4286572983763.12
CSI_nonSOE,食品饮料,56,0.14811500157142857,0.1014184447814352,-0.04669655678999337,-0.04148290062368123,0.23214285714285715,0.17972496772975338,0.09780490801563387,-0.08192005971411952,-371680606609.6683,23515269707.203453,4537113472655.42
H_nonSOE,交通运输,104,0.04653657563461539,0.0031272243512517,-0.043409351283363685,-0.05276569507610937,0.17307692307692307,0.04075956769936445,-0.0006922605333767495,-0.041451828232741204,-745121372324.8214,104910512055.27072,17975597316025.71
H_nonSOE,企业服务,7,0.06315843042857143,0.0005448852276184771,-0.06261354520095296,-0.05859831131860678,0.0,0.06609955719298967,0.0021490586290681944,-0.06395049856392147,-15539449632.862566,0.0,242991844971.0
H_nonSOE,传媒,7,0.06984805885714286,0.0894243621580403,0.019576303300897435,0.03175360241601759,0.7142857142857143,0.06720164476239221,0.08923149087903424,0.022029846116642035,4155462340.000102,5320038000.697968,188628750196.35
H_nonSOE,公用事业Ⅱ,81,0.04295115138271605,0.07972873142812821,0.036777580045412164,0.031511902553327996,0.9753086419753086,0.038726884524763465,0.07488512174401138,0.036158237219247914,923616985665.802,925278104797.6617,25543750378797.176
H_nonSOE,化工,35,0.06633937959999998,0.0966956852785991,0.030356305678599094,0.009120121943310314,0.5428571428571428,0.07680189984815988,0.09151048530949497,0.014708585461335091,32972999161.009735,90271876987.76685,2241751883462.0005
H_nonSOE,医药生物,42,0.08798371335714286,-0.0012845942198224894,-0.08926830757696534,-0.08603820906629289,0.023809523809523808,0.05453632891374962,0.017205013376061243,-0.03733131553768838,-77901970378.90573,508954122.3782302,2086772706958.5498
H_nonSOE,半导体,21,0.0520131000952381,0.06079613082039112,0.008783030725153013,0.0007878218642557722,0.5238095238095238,0.05494136430793883,0.06412739654763912,0.009186032239700291,7098538950.655962,15420866635.215322,772753542054.5801
H_nonSOE,可选消费零售,7,0.10227133600000002,0.1471721093186432,0.04490077331864322,0.05045531812818761,0.8571428571428571,0.09393333768016632,0.14692432741286707,0.05299098973270075,23439305189.353138,25379670003.77176,442326239000.0
H_nonSOE,国防军工,35,0.03052976948571428,0.03310423651216708,0.002574467026452793,0.00022184236405556335,0.5428571428571428,0.021480506094170675,0.036841896575188104,0.01536139048101743,30586681057.86184,39893955853.46023,1991140131204.84
H_nonSOE,建材Ⅱ,21,0.09652911323809524,0.12665993873247317,0.030130825494377927,0.03164052078379938,0.6666666666666666,0.09281693406343068,0.1407208909938487,0.04790395693041803,102293832718.47694,112911067871.50677,2135394219460.03
H_nonSOE,建筑,63,0.024818597190476185,0.02102287627945699,-0.0037957209110192013,0.00029238930058504004,0.5238095238095238,0.022085490129675457,0.020555063162835004,-0.0015304269668404528,-109654929801.53099,285591630090.01984,71649893903733.45
H_nonSOE,房地产Ⅱ,21,0.011742398571428572,0.03429249228655942,0.022550093715130854,0.023049826274390832,0.8095238095238095,0.014790918035360746,0.03184985241418215,0.017058934378821406,260020580830.25238,267760399042.65903,15242486726079.84
