winsor,benchmark,n_train_valid_target,n_soe_predicted,actual_mean,predicted_mean,mean_gap,median_gap,positive_gap_share,actual_asset_weighted,predicted_asset_weighted,asset_weighted_gap,net_implied_gap_amount,positive_only_gap_amount,target_lower,target_upper
5-95,H_nonSOE,1139,822,0.05731290800121654,0.06479232833721338,0.007479420335996829,0.009086404670135939,0.5961070559610706,0.041112244017653565,0.06370161950073183,0.022589375483078267,5769799810728.458,7889337797881.348,-0.3823643139999999,0.2004442600999999
5-95,CSI_nonSOE,685,822,0.05731290800121654,0.05324985560954318,-0.004063052391673363,-0.006910763544506426,0.42700729927007297,0.041112244017653565,0.035702159738938824,-0.005410084278714741,-1381848881600.8481,2938669524833.1826,-0.041619393446405355,0.22631141079999997
5-95,Pooled_H_plus_CSI_nonSOE,1824,822,0.05731290800121654,0.08040350858926966,0.023090600588053133,0.024309068018450907,0.7019464720194647,0.041112244017653565,0.07989182237945346,0.03877957836179989,9905116857243.54,11057552836588.25,-0.2691511,0.21588719999999995
