sample,type,n,mean,median,std,min,p01,p05,p25,p75,p95,p99,max
CSI SOE,target,118,0.051514381355932205,0.038420499999999996,0.04574687006245831,-0.037883,0.0030989399999999997,0.007553900000000001,0.020609000000000002,0.06608750000000001,0.1380544499999999,0.21792540999999999,0.268254
CSI non-SOE,benchmark,98,0.06619857146726098,0.058775379201775425,0.09500389924806193,-0.4546508918784387,-0.15372851026138432,-0.0483583592165901,0.030053422954933705,0.1133789336235557,0.1899270815975541,0.31587778705687697,0.3560033267640313
H non-SOE,benchmark,186,-0.006168569892473117,0.040978,0.27039010820210074,-2.911111,-0.8750755,-0.265021,-0.017371,0.078285,0.17717275,0.23692610000000003,0.348324
Pooled H + CSI non-SOE,benchmark,284,0.01880319015419569,0.045516,0.22819869153466524,-2.911111,-0.84895926,-0.19179775000000002,0.005495569855700867,0.09249,0.1850275999999998,0.25643985446718925,0.3560033267640313
