n_train,cv_rmse_raw_y,cv_mae_raw_y,cv_r2_raw_y,cv_rmse_winsor_y,cv_mae_winsor_y,cv_r2_winsor_y,winsor,benchmark,model
1139,0.31942718791947095,0.12226611100463626,0.08969204973247757,0.12376141644558153,0.09242549645817524,0.2543306258418757,5-95,H_nonSOE,Ridge
685,0.08064704250736929,0.052064692861212014,0.13427208555301784,0.058805654612992884,0.04497848660783759,0.20366737305770155,5-95,CSI_nonSOE,Ridge
1824,0.2619025059132159,0.09884882007590699,0.08753907190785337,0.10022924650858775,0.07451599274764793,0.2344034741925004,5-95,Pooled_H_plus_CSI_nonSOE,Ridge
1139,0.31724676324095713,0.1234719533414337,0.10207724190702028,0.1446858876919775,0.10207755249367251,0.2480464688184194,2-97,H_nonSOE,Ridge
685,0.08117449408011629,0.05292781508793941,0.12291090550696149,0.06537018425028888,0.04856177483153855,0.17157997105314016,2-97,CSI_nonSOE,Ridge
1824,0.2574528167412257,0.0979605009053478,0.11828086753305567,0.11791448520559589,0.08177643543295335,0.27320431138172185,2-97,Pooled_H_plus_CSI_nonSOE,Ridge
1139,0.3165069332265911,0.12592244459608462,0.10626033019754,0.16985123443141514,0.11156499074730497,0.21736823945993144,1-99,H_nonSOE,Ridge
685,0.08177555049099683,0.0534574103931872,0.10987400811766401,0.07276519208567934,0.05151782745528217,0.13898159081267558,1-99,CSI_nonSOE,Ridge
1824,0.25615063530522236,0.09970647034081721,0.12717767931789192,0.13825735664005878,0.08944650399062859,0.25456571485932544,1-99,Pooled_H_plus_CSI_nonSOE,Ridge
