winsor,benchmark,n_train_valid_target,n_soe_predicted,actual_mean,predicted_mean,mean_gap,median_gap,positive_gap_share,actual_asset_weighted,predicted_asset_weighted,asset_weighted_gap,net_implied_gap_amount,positive_only_gap_amount,target_lower,target_upper
5-95,H_nonSOE,1139,822,0.05731290800121654,0.06479232833721338,0.007479420335996829,0.009086404670135939,0.5961070559610706,0.041112244017653565,0.06370161950073183,0.022589375483078267,5769799810728.458,7889337797881.348,-0.3823643139999999,0.2004442600999999
5-95,CSI_nonSOE,685,822,0.05731290800121654,0.05324985560954318,-0.004063052391673363,-0.006910763544506426,0.42700729927007297,0.041112244017653565,0.035702159738938824,-0.005410084278714741,-1381848881600.8481,2938669524833.1826,-0.041619393446405355,0.22631141079999997
5-95,Pooled_H_plus_CSI_nonSOE,1824,822,0.05731290800121654,0.08040350858926966,0.023090600588053133,0.024309068018450907,0.7019464720194647,0.041112244017653565,0.07989182237945346,0.03877957836179989,9905116857243.54,11057552836588.25,-0.2691511,0.21588719999999995
2-97,H_nonSOE,1139,822,0.05731290800121654,0.06412975737659245,0.0068168493753758995,0.011892688665903421,0.597323600973236,0.041112244017653565,0.06732872318996996,0.026216479172316398,6696238091208.393,8671642570843.605,-0.5748862775999999,0.2338809499999998
2-97,CSI_nonSOE,685,822,0.05731290800121654,0.05222247329455958,-0.005090434706656967,-0.009156521468901495,0.40875912408759124,0.041112244017653565,0.03144580158519966,-0.009666442432453903,-2469011937004.1904,2821628771167.4326,-0.07762509331792271,0.2632677993
2-97,Pooled_H_plus_CSI_nonSOE,1824,822,0.05731290800121654,0.07999010090192869,0.022677192900712136,0.024636223349691108,0.6958637469586375,0.041112244017653565,0.08059793037259402,0.03948568635494046,10085471633683.824,11327310402093.693,-0.46998559035,0.24360862499999994
1-99,H_nonSOE,1139,822,0.05731290800121654,0.06731578481532449,0.01000287681410795,0.015312271813500485,0.6155717761557178,0.041112244017653565,0.07571648585325003,0.03460424183559646,8838648423148.816,10529695177480.057,-0.9000382244799999,0.3014576200399993
1-99,CSI_nonSOE,685,822,0.05731290800121654,0.051453470731908334,-0.005859437269308209,-0.010048801021752592,0.41119221411192214,0.041112244017653565,0.026273618968069505,-0.01483862504958406,-3790095749512.669,2422218522755.5156,-0.14001110119670615,0.34616076303999976
1-99,Pooled_H_plus_CSI_nonSOE,1824,822,0.05731290800121654,0.0810874509767028,0.023774542975486236,0.028149376390922232,0.7019464720194647,0.041112244017653565,0.08129440937199209,0.04018216535433852,10263366963367.18,11491018770785.29,-0.77091819344,0.31972556313999995
