市场,证券代码,证券简称,一级行业,二级行业,行业全路径,企业所有制性质,资产总计_2022,营业收入_2022,归母净利润_2023,利息支出_2023,资产总计_2023,EBI_A_2023,FirmSize_2022,MarketShare_2022_二级行业,HHI_2022_二级行业,AssetTurnover_2022,WorkingCapitalRatio_2022,FixedAssetsRatio_2022,FinancialLeverage_2022,CurrentRatio_2022,CapexRatio_2022,Revenue Growth Rate
CSI,600066.SH,宇通客车,可选消费,汽车与零配件,可选消费--汽车与零配件--汽车--汽车制造,民营企业,"29,997,592,329.73","21,574,322,629.86","1,817,084,152.22","-85,802,958.12","30,856,955,973.42",0.056107,24.124383,0.011998,0.236564,0.694116,0.213950,0.147755,0.513425,1.510167,0.032525,-6.0400
CSI,688012.SH,中微公司,信息技术,半导体,信息技术--半导体--半导体材料与设备--半导体材料与设备Ⅳ,公众企业,"20,034,781,468.88","4,724,738,401.74","1,785,907,974.46","-87,239,891.38","21,525,546,561.69",0.078914,23.720736,0.033939,0.113252,0.257004,0.535882,0.066672,0.227219,3.739575,0.075125,52.9497
CSI,300979.SZ,华利集团,可选消费,纺织服装Ⅱ,可选消费--纺织服装Ⅱ--纺织服装Ⅲ--鞋类,外资企业,"17,110,270,061.75","20,565,826,335.73","3,200,210,711.17","-88,550,649.40","19,446,821,920.39",0.160009,23.562945,1.000000,1.000000,1.235571,0.453599,0.246667,0.228800,3.073584,0.098496,17.7430
CSI,002252.SZ,上海莱士,医疗保健,医药生物,医疗保健--医药生物--生物科技Ⅲ--生物科技Ⅳ,集体企业,"30,457,959,495.12","6,534,390,504.67","1,779,476,930.19","-91,579,771.89","31,928,453,993.18",0.052865,24.139613,0.012068,0.212266,0.226517,0.224859,0.041916,0.053996,5.215486,0.007411,53.2213
CSI,603392.SH,万泰生物,医疗保健,医药生物,医疗保健--医药生物--生物科技Ⅲ--生物科技Ⅳ,民营企业,"16,229,516,571.12","11,133,911,881.69","1,247,679,723.81","-92,976,957.18","15,714,997,884.50",0.073478,23.510097,0.020563,0.212266,0.956708,0.535726,0.135610,0.225800,3.494719,0.057297,94.5258
CSI,688111.SH,金山办公,信息技术,软件服务,信息技术--软件服务--软件--应用软件,民营企业,"12,057,676,594.66","3,850,215,758.98","1,317,737,042.69","-94,839,287.59","13,974,021,307.95",0.087512,23.212967,0.043961,0.146940,0.342495,0.582624,0.016841,0.270308,3.554376,0.014593,18.6551
CSI,600219.SH,南山铝业,材料,有色金属,材料--有色金属--其他金属与采矿--铝,集体企业,"64,725,995,031.57","34,687,211,796.62","3,473,973,963.20","-99,743,697.75","68,815,340,221.39",0.049033,24.893429,0.020248,0.153058,0.542394,0.310793,0.421841,0.227228,2.449537,0.024642,21.8496
CSI,300502.SZ,新易盛,信息技术,硬件设备,信息技术--硬件设备--通信设备Ⅲ--通信设备Ⅳ,民营企业,"5,876,061,496.29","3,303,186,975.01","688,361,095.12","-108,243,948.94","6,439,983,560.34",0.090081,22.494153,0.001747,0.117158,0.615102,0.557114,0.175720,0.178163,4.513492,0.062068,13.8851
CSI,603195.SH,公牛集团,工业,电气设备,工业--电气设备--电气设备Ⅲ--电气部件与设备,民营企业,"16,650,497,198.32","13,965,614,971.04","3,870,135,376.47","-108,510,345.64","19,762,205,724.93",0.190344,23.535706,0.010792,0.108841,0.869471,0.569015,0.147899,0.254355,3.318943,0.061189,13.5219
CSI,600085.SH,同仁堂,医疗保健,医药生物,医疗保健--医药生物--制药--中药,地方国有企业,"27,044,491,889.50","15,205,087,962.90","1,668,834,509.63","-110,139,252.35","30,089,450,163.66",0.051802,24.020749,0.028082,0.212266,0.583495,0.525941,0.145857,0.317640,3.245059,0.012203,5.2384
