市场,证券代码,证券简称,一级行业,二级行业,行业全路径,企业所有制性质,资产总计_2022,营业收入_2022,归母净利润_2023,利息支出_2023,资产总计_2023,EBI_A_2023,FirmSize_2022,MarketShare_2022_二级行业,HHI_2022_二级行业,AssetTurnover_2022,WorkingCapitalRatio_2022,FixedAssetsRatio_2022,FinancialLeverage_2022,CurrentRatio_2022,CapexRatio_2022,Revenue Growth Rate
H,0038.HK,第一拖拉机股份,工业,机械,工业--机械--机械Ⅲ--农用农业机械,中央国有企业,"12,986,142,323.23","12,455,465,114.62","997,022,699.99","27,184,471.86","13,817,261,971.79",0.074125,23.287149,0.015529,0.173188,0.983621,0.135094,0.187763,0.499684,1.286290,0.007253,35.2512
H,0042.HK,东北电气,工业,电气设备,工业--电气设备--电气设备Ⅲ--电气部件与设备,公众企业,"181,481,000.00","161,003,000.00","-5,956,000.00","397,000.00","181,530,000.00",-0.030623,19.016662,0.000213,0.231604,0.850248,-1.108860,0.215609,2.063638,0.342462,0.000909,34.7475
H,0107.HK,四川成渝高速公路,工业,交通运输,工业--交通运输--交通基础设施--公路与铁路,地方国有企业,"40,068,636,000.00","9,763,056,000.00","1,190,814,000.00","937,869,000.00","57,640,787,000.00",0.036930,24.413860,0.008721,0.199436,0.241911,0.027955,0.018871,0.532786,1.300300,0.003926,10.5632
H,0168.HK,青岛啤酒股份,日常消费,食品饮料,日常消费--食品饮料--饮料--啤酒,地方国有企业,"50,311,699,796.00","32,171,565,624.00","4,267,851,406.00","16,430,590.00","49,256,011,349.00",0.086980,24.641503,0.126786,0.292355,0.664189,0.245086,0.227891,0.477809,1.626821,0.035382,6.6456
H,0177.HK,江苏宁沪高速公路,工业,交通运输,工业--交通运输--交通基础设施--公路与铁路,地方国有企业,"78,458,345,074.07","13,255,603,107.72","4,413,271,587.29","1,076,088,753.42","78,661,443,944.36",0.069785,25.085834,0.011841,0.199436,0.181434,-0.054283,0.104956,0.516300,0.687869,0.051481,-7.0469
H,0187.HK,京城机电股份,工业,机械,工业--机械--机械Ⅲ--工业机械,地方国有企业,"2,434,589,099.53","1,372,261,232.14","-51,675,143.59","18,182,783.46","2,812,343,564.88",-0.011909,21.613044,0.001711,0.173188,0.685610,0.182102,0.268646,0.422292,1.715434,0.039053,16.0313
H,0300.HK,美的集团,可选消费,家电Ⅱ,可选消费--家电Ⅱ--家电Ⅲ--家用电器,民营企业,"422,550,912,000.00","345,708,706,000.00","33,721,536,000.00","3,937,526,000.00","486,036,015,000.00",0.077482,26.769576,0.520074,0.417081,0.853086,0.129588,0.069072,0.640468,1.265373,0.017399,1.1579
H,0317.HK,中船防务,工业,机械,工业--机械--机械Ⅲ--建筑机械与重型卡车,中央国有企业,"46,479,786,644.65","12,795,124,917.87","48,067,553.44","114,747,863.08","50,862,502,007.57",0.003201,24.562283,0.015953,0.173188,0.282001,0.031923,0.121164,0.596584,1.060907,0.005179,9.6262
H,0323.HK,马鞍山钢铁股份,材料,钢铁Ⅱ,材料--钢铁Ⅱ--钢铁Ⅲ--钢铁Ⅳ,中央国有企业,"96,887,310,222.00","102,153,602,375.00","-1,327,161,500.00","506,684,523.00","84,552,252,935.00",-0.009704,25.296814,0.378645,0.397773,1.086191,-0.153111,0.518008,0.656033,0.726056,0.086102,-10.2745
H,0338.HK,上海石油化工股份,能源,石油石化,能源--石油石化--石油天然气--石油天然气炼制和销售,中央国有企业,"41,136,717,000.00","82,443,156,000.00","-1,346,147,000.00","145,313,000.00","39,564,231,000.00",-0.030352,24.440167,0.012224,0.464320,1.872489,0.042968,0.387196,0.359323,1.126268,0.068963,-7.5734
