市场,证券代码,证券简称,一级行业,二级行业,行业全路径,企业所有制性质,资产总计_2021,营业收入_2021,归母净利润_2022,利息支出_2022,资产总计_2022,EBI_A_2022,FirmSize_2021,MarketShare_2021_二级行业,HHI_2021_二级行业,AssetTurnover_2021,WorkingCapitalRatio_2021,FixedAssetsRatio_2021,FinancialLeverage_2021,CurrentRatio_2021,CapexRatio_2021,Revenue Growth Rate
CSI,601398.SH,工商银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,3.51714E+13,,3.60483E+11,5.86689E+11,3.96097E+13,0.023912653,31.19125388,,0.133366947,,,0.008253756,0.90687719,,0.000784274,
CSI,601939.SH,建设银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,3.0254E+13,,3.23861E+11,5.26836E+11,3.46019E+13,0.024585256,31.04064883,,0.133366947,,,0.005563764,0.913594109,,0.000701891,
CSI,601288.SH,农业银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,2.90692E+13,,2.5914E+11,5.18581E+11,3.39275E+13,0.022923005,31.00069876,,0.133366947,,,0.005273597,0.916703496,,0.000895554,
CSI,601988.SH,中国银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,2.67224E+13,,2.27439E+11,4.21595E+11,2.89139E+13,0.022447161,30.91652358,,0.133366947,,,0.009209163,0.912038129,,0.001129127,
CSI,601658.SH,邮储银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,1.25879E+13,,85224000000,2.00647E+11,1.40673E+13,0.020321694,30.16375501,,0.133366947,,,0.004342989,0.936800363,,0.001100504,
CSI,601328.SH,交通银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,1.16658E+13,,92149000000,2.48185E+11,1.29924E+13,0.026194814,30.08767891,,0.133366947,,,0.014674916,0.916230383,,0.001967039,
CSI,601318.SH,中国平安,金融,非银金融,金融--非银金融--保险--多元化保险,公众企业,1.0142E+13,,83774000000,1.47715E+11,1.11372E+13,0.020785266,29.9477089,,0.618522436,,,0.00490612,0.893736912,,0.001201535,
CSI,600036.SH,招商银行,金融,银行,金融--银行--商业银行--多元化银行,公众企业,9.24902E+12,,1.38012E+11,1.35145E+11,1.01389E+13,0.026941451,29.85553882,,0.133366947,,,0.008694434,0.906402959,,0.002612168,
CSI,601166.SH,兴业银行,金融,银行,金融--银行--商业银行--多元化银行,地方国有企业,8.60302E+12,2.19029E+11,91377000000,,9.26667E+12,,29.78313489,0.215098823,0.133366947,0.026553759,,0.003351728,0.919296052,,0.000653724,8.942
CSI,600000.SH,浦发银行,金融,银行,金融--银行--商业银行--多元化银行,地方国有企业,8.13676E+12,1.88978E+11,51171000000,,8.70465E+12,,29.72741281,0.185587047,0.133366947,0.023494535,,0.004757178,0.916647628,,0.001386916,-2.7225
