市场,证券代码,证券简称,一级行业,二级行业,行业全路径,企业所有制性质,资产总计_2021,营业收入_2021,归母净利润_2022,利息支出_2022,资产总计_2022,EBI_A_2022,FirmSize_2021,MarketShare_2021_二级行业,HHI_2021_二级行业,AssetTurnover_2021,WorkingCapitalRatio_2021,FixedAssetsRatio_2021,FinancialLeverage_2021,CurrentRatio_2021,CapexRatio_2021,Revenue Growth Rate
H,0038.HK,第一拖拉机股份,工业,机械,工业--机械--机械Ⅲ--农用农业机械,中央国有企业,12339594557,9209135834,681050957.2,33319647.39,12986142323,0.055010225,23.236079,0.010270756,0.17114703,0.74621667,0.146257123,0.206265096,0.515200996,1.3063501,0.005498207,23.1048
H,0042.HK,东北电气,工业,电气设备,工业--电气设备--电气设备Ⅲ--电气部件与设备,公众企业,197239000,119485000,-25142000,848000,181481000,-0.133865253,19.09992675,0.000241627,0.169895245,0.672899038,-0.866476711,0.21384209,1.849411121,0.419459485,0.002428526,49.7362
H,0107.HK,四川成渝高速公路,工业,交通运输,工业--交通运输--交通基础设施--公路与铁路,地方国有企业,40647497000,8830296000,764821000,425603000,40068636000,0.029709621,24.4282031,0.008299333,0.168489905,0.217892447,0.094888869,0.017471605,0.546135375,2.123624818,0.001582951,7.7048
H,0168.HK,青岛啤酒股份,日常消费,食品饮料,日常消费--食品饮料--饮料--啤酒,地方国有企业,46563004491,30166805377,3710628593,16681483,50311699796,0.07408436,24.56407217,0.157577544,0.241400594,0.685008349,0.22979565,0.234330308,0.489000085,1.586022499,0.035113023,8.6712
H,0177.HK,江苏宁沪高速公路,工业,交通运输,工业--交通运输--交通基础设施--公路与铁路,地方国有企业,67662020722,13792587243,3724115166,1098642030,78458345074,0.061469015,24.93779087,0.012963244,0.168489905,0.214241167,-0.066822044,0.043427104,0.477404124,0.651384465,0.049049776,71.7105
H,0187.HK,京城机电股份,工业,机械,工业--机械--机械Ⅲ--工业机械,地方国有企业,1568448758,1182664494,18302413.93,12931363.31,2434589100,0.012829178,21.17335292,0.001319001,0.17114703,0.722485022,0.108642476,0.418827812,0.387029992,1.317478552,0.026668304,8.6712
H,0300.HK,美的集团,可选消费,家电Ⅱ,可选消费--家电Ⅱ--家电Ⅲ--家用电器,民营企业,3.87939E+11,3.43361E+11,29553342000,1973929000,4.22551E+11,0.074611769,26.68411421,0.536178928,0.42486522,0.914687803,0.067054414,0.063595134,0.652471565,1.116728098,0.017593888,20.8268
H,0317.HK,中船防务,工业,机械,工业--机械--机械Ⅲ--建筑机械与重型卡车,中央国有企业,44265408873,11671593523,688391028,153074603.4,46479786645,0.018103905,24.51346937,0.013017084,0.17114703,0.280557285,0.069282195,0.112273168,0.578207477,1.145934633,0.0066342,0.5439
H,0323.HK,马鞍山钢铁股份,材料,钢铁Ⅱ,材料--钢铁Ⅱ--钢铁Ⅲ--钢铁Ⅳ,中央国有企业,91207743018,1.13851E+11,-858225310,472856092,96887310222,-0.003977499,25.23640563,0.392083834,0.394104263,1.324475662,-0.038990984,0.434112713,0.589824479,0.924035656,0.083176351,39.4993
H,0338.HK,上海石油化工股份,能源,石油石化,能源--石油石化--石油天然气--石油天然气炼制和销售,中央国有企业,46920589000,89198492000,-2846156000,98502000,41136717000,-0.066793225,24.57172241,0.016091391,0.456643498,1.948847844,0.109472901,0.311232431,0.352578502,1.32518464,0.06871184,19.5313
H,0347.HK,鞍钢股份,材料,钢铁Ⅱ,材料--钢铁Ⅱ--钢铁Ⅲ--钢铁Ⅳ,中央国有企业,97526000000,1.36674E+11,156000000,391000000,96935000000,0.005642957,25.30338485,0.470681652,0.394104263,1.473002393,0.019205135,0.53871788,0.382810738,1.061309329,0.046326108,35.4509
H,0357.HK,美兰空港,工业,交通运输,工业--交通运输--交通基础设施--机场服务,地方国有企业,11135347327,1605712250,-155298891,88901726,10639551304,-0.006240598,23.13339033,0.001509161,0.168489905,0.144575175,-0.508559821,0.675673649,0.589948231,0.099048681,0.028471348,17.2453
H,0358.HK,江西铜业股份,材料,有色金属,材料--有色金属--其他金属与采矿--铜,地方国有企业,1.61035E+11,4.41614E+11,6001476000,1967157000,1.67331E+11,0.047622108,25.80488535,0.368308181,0.243645828,2.925410719,0.16153585,0.157166138,0.516812504,1.386929611,0.017832629,38.9789
H,0386.HK,中国石油化工股份,能源,石油石化,能源--石油石化--石油天然气--综合性石油天然气,中央国有企业,1.88926E+12,2.6795E+12,66153000000,16769000000,1.94864E+12,0.042553781,28.26720369,0.483381292,0.456643498,1.479136421,-0.044068164,0.399556439,0.515642939,0.870172156,0.076708015,30.7932
H,0390.HK,中国中铁,工业,建筑,工业--建筑--建筑与工程Ⅲ--建筑与工程Ⅳ,中央国有企业,1.36158E+12,1.07327E+12,31276000000,12235000000,1.61302E+12,0.026974884,27.93966691,0.288655062,0.218192106,0.837984085,0.009693151,0.056822221,0.736927687,1.016751707,0.040920842,10.1094
H,0438.HK,彩虹新能源,信息技术,硬件设备,信息技术--硬件设备--电子设备、仪器和元件--电子元件,中央国有企业,5129131959,2067062702,89232396.74,84870967.76,6378244133,0.027296441,22.35820227,0.002583686,0.410768763,0.408793701,-0.095000189,0.46854505,0.625726573,0.81682589,0.019087223,-17.9251
H,0470.HK,先导智能,工业,机械,工业--机械--机械Ⅲ--工业机械,民营企业,24000151927,9997933894,2318133000,19533000,32906180000,0.071040333,23.901326,0.011150486,0.17114703,0.545406259,0.270661264,0.044368981,0.605466412,1.458939032,0.021106334,71.9579
H,0501.HK,豪威集团,信息技术,半导体,信息技术--半导体--半导体产品--集成电路,民营企业,32079927550,24080233763,982730000,493888000,35191024000,0.041960075,24.19149636,0.573595805,0.3795219,0.879998137,0.361470054,0.063733893,0.491757744,2.332907187,0.034984357,21.5851
H,0525.HK,广深铁路股份,工业,交通运输,工业--交通运输--铁路公路运输--铁路运输,中央国有企业,37403422000,18975842000,-1994665000,81388000,37041376000,-0.051652428,24.34502803,0.017834831,0.168489905,0.511589399,-0.034880632,0.684405186,0.272675211,0.837732868,0.028346658,23.5729
H,0548.HK,深圳高速公路股份,工业,交通运输,工业--交通运输--交通基础设施--公路与铁路,地方国有企业,60613494756,10871924009,2014112457,1185072647,69201468264,0.046230018,24.82778339,0.010218199,0.168489905,0.187838095,-0.058590531,0.123536137,0.541821892,0.715096946,0.062665959,35.4464
H,0552.HK,中国通信服务,通讯服务,电信服务,通讯服务--电信服务--多元电信服务--综合电信业务,中央国有企业,1.00028E+11,1.33991E+11,3358149000,90986000,1.10264E+11,0.031280669,25.32871567,0.202977684,0.501771346,1.377684102,0.209563597,0.067872927,0.604009555,1.35947444,0.017687183,9.2478
H,0553.HK,南京熊猫电子股份,信息技术,硬件设备,信息技术--硬件设备--通信设备Ⅲ--通信设备Ⅳ,中央国有企业,6057982752,4531842431,40485761.62,416197.62,5863034745,0.006976244,22.5246427,0.005664492,0.410768763,0.751553659,0.299842386,0.152353986,0.37233871,1.827579562,0.008274303,14.6644
H,0564.HK,中创智领,工业,机械,工业--机械--机械Ⅲ--工业机械,公众企业,37330314000,29293527000,2538235000,265410000,44469589000,0.063046344,24.34307154,0.032670457,0.17114703,0.816124494,0.344068282,0.129753476,0.580743494,1.85182778,0.030124017,10.4608
H,0568.HK,山东墨龙,能源,石油石化,能源--石油石化--能源设备与服务--石油天然气设备与服务,地方国有企业,4457611299,3734462841,-424969725.6,117884825.3,4038605560,-0.076037359,22.21787888,0.000673696,0.456643498,0.775327944,-0.260974598,0.49160649,0.694960446,0.613525696,0.011658495,24.0801
H,0576.HK,浙江沪杭甬,工业,交通运输,工业--交通运输--交通基础设施--公路与铁路,地方国有企业,1.76297E+11,16262601000,5378866000,1770008000,1.86406E+11,0.038351192,25.89543411,0.015284736,0.168489905,0.106166585,0.187996187,0.028472566,0.748021208,1.339232665,0.005422836,30.6072
H,0579.HK,京能清洁能源,公用事业,公用事业Ⅱ,公用事业--公用事业Ⅱ--电力--独立电力生产商与能源贸易商,地方国有企业,82035846000,18358832000,2846890000,1500967000,87994566000,0.049410517,25.13042214,0.029694919,0.187487726,0.240654548,-0.119807017,0.621264112,0.638409653,0.653044722,0.109056582,7.9721
H,0588.HK,北京北辰实业股份,房地产,房地产Ⅱ,房地产--房地产Ⅱ--房地产管理和开发--房地产开发,地方国有企业,88367267000,22094296000,-1471352000,903850000,76112736000,-0.007456071,25.20476746,0.036334082,0.573906114,0.241076743,0.305710756,0.030257674,0.707967748,1.706771855,0.011200437,22.7744
H,0598.HK,中国外运,工业,交通运输,工业--交通运输--航空运输--航空货运与物流,中央国有企业,74302892215,1.24346E+11,4068260121,478993295,77825770522,0.058428633,25.03141571,0.116868675,0.168489905,1.774823281,0.162643193,0.20374894,0.528308224,1.497879845,0.019472961,47.0903
H,0600.HK,爱芯元智,信息技术,半导体,信息技术--半导体--半导体材料与设备--半导体材料与设备Ⅳ,公众企业,,,-611574000,133092000,1074552000,-0.445285105,,,0.3795219,,,,,,,
H,0638.HK,广和通,信息技术,硬件设备,信息技术--硬件设备--通信设备Ⅲ--通信设备Ⅳ,民营企业,4208511955,4098069202,364833000,24183000,6397731000,0.060805307,22.16037497,0.005122305,0.410768763,1.149692424,0.255691646,0.030663685,0.5359196,1.486548141,0.046747685,49.7893
