benchmark,企业所有制性质,n_firms,actual_mean,predicted_mean,mean_gap,median_gap,positive_gap_share,actual_asset_weighted,predicted_asset_weighted,asset_weighted_gap,net_implied_gap_amount,positive_only_gap_amount,total_assets
CSI_nonSOE,中央国有企业,494,0.09457702024291498,0.10816725901525234,0.01359023877233736,0.0124245243307421,0.5850202429149798,0.08696359959709797,0.10442088492326529,0.01745728532616732,3709374244941.9595,8127482754161.764,212482878960674.0
CSI_nonSOE,地方国有企业,322,0.14487627950310558,0.1320177938944229,-0.01285848560868269,-0.0038761203599747274,0.48757763975155277,0.133086874110652,0.11348750295934286,-0.01959937115130915,-834786341977.9302,1337937573091.0635,42592506439787.89
H_nonSOE,中央国有企业,494,0.09457702024291498,0.06436859966623779,-0.030208420576677195,-0.026015538819471877,0.39473684210526316,0.08696359959709797,0.09080041743153903,0.003836817834441064,815258099509.696,8630374820894.681,212482878960674.0
H_nonSOE,地方国有企业,322,0.14487627950310558,0.12166108104701856,-0.023215198456087025,-0.02147011675056222,0.4472049689440994,0.133086874110652,0.12850521630895706,-0.004581657801694949,-195144289423.5965,2116143361951.99,42592506439787.89
Pooled_H_plus_CSI_nonSOE,中央国有企业,494,0.09457702024291498,0.12876874138014985,0.03419172113723487,0.03357232801539219,0.6781376518218624,0.08696359959709797,0.151937936793186,0.06497433719608804,13805934225986.387,16106913411430.836,212482878960674.0
Pooled_H_plus_CSI_nonSOE,地方国有企业,322,0.14487627950310558,0.1620999704145481,0.01722369091144252,0.019892966761350536,0.546583850931677,0.133086874110652,0.16393548067744268,0.03084860656679067,1313919473854.5144,2804069377273.6973,42592506439787.89
