市场,证券代码,证券简称,一级行业,二级行业,行业全路径,企业所有制性质,资产总计_2019,营业收入_2019,归母净利润_2020,利息支出_2020,资产总计_2020,EBI_A_2020,FirmSize_2019,MarketShare_2019_二级行业,HHI_2019_二级行业,AssetTurnover_2019,WorkingCapitalRatio_2019,FixedAssetsRatio_2019,FinancialLeverage_2019,CurrentRatio_2019,CapexRatio_2019,Revenue Growth Rate
H,0038.HK,第一拖拉机股份,工业,机械,工业--机械--机械Ⅲ--农用农业机械,中央国有企业,11629022386,5736943978,280150740.3,101669136.5,12342608883,0.030935103,23.17676974,0.008116695,0.198821218,0.463221526,0.009255476,0.252822636,0.588627003,1.017063911,0.021421957,3.5363
H,0042.HK,东北电气,工业,电气设备,工业--电气设备--电气设备Ⅲ--电气部件与设备,公众企业,477387000,102252000,63977000,1677000,157896000,0.41580534,19.98383804,0.000291996,0.191046831,0.208146463,-0.484058007,0.104407954,1.107055701,0.443554291,0.000423137,216.4619
H,0107.HK,四川成渝高速公路,工业,交通运输,工业--交通运输--交通基础设施--公路与铁路,地方国有企业,37860574000,7806743000,674809000,632911000,40404381000,0.032365797,24.35717614,0.008910354,0.12720452,0.211291054,0.040012204,0.020075739,0.573330082,1.204844044,0.008970096,14.4516
H,0168.HK,青岛啤酒股份,日常消费,食品饮料,日常消费--食品饮料--饮料--啤酒,地方国有企业,37312383547,27983760363,2201323556,19130553,41514185835,0.053486635,24.34259111,0.258128036,0.189570967,0.783994456,0.204973157,0.278755397,0.466306653,1.572724464,0.030961465,5.3001
H,0177.HK,江苏宁沪高速公路,工业,交通运输,工业--交通运输--交通基础设施--公路与铁路,地方国有企业,55625048625,10078181219,2464213676,436079760.4,61095560365,0.047471427,24.74189945,0.011502898,0.12720452,0.194207477,-0.127543892,0.294994748,0.412443891,0.459302808,0.087188599,1.0951
H,0187.HK,京城机电股份,工业,机械,工业--机械--机械Ⅲ--工业机械,地方国有企业,1670839501,1195847102,156431757.6,17022353.3,1705430862,0.101706914,21.23659203,0.001691898,0.198821218,0.693983887,-0.000335063,0.399384109,0.580674714,0.999285122,0.011165526,6.6231
H,0300.HK,美的集团,可选消费,家电Ⅱ,可选消费--家电Ⅱ--家电Ⅲ--家用电器,民营企业,3.01955E+11,2.76495E+11,27222971000,1362991000,3.62833E+11,0.078785555,26.43354522,0.540078133,0.446623408,0.977608737,0.238989611,0.075704328,0.644000107,1.50003441,0.011431674,7.1491
H,0317.HK,中船防务,工业,机械,工业--机械--机械Ⅲ--建筑机械与重型卡车,中央国有企业,52304069155,21829002964,3662334382,155840699.3,38937517273,0.098059028,24.68034001,0.030883927,0.198821218,0.437545226,0.073128968,0.241317229,0.702743516,1.130053606,0.016639129,13.6123
H,0323.HK,马鞍山钢铁股份,材料,钢铁Ⅱ,材料--钢铁Ⅱ--钢铁Ⅲ--钢铁Ⅳ,中央国有企业,86322043538,78262846004,1982638821,643235325,80711141782,0.032534221,25.18135083,0.377484258,0.414680065,0.959138516,-0.041177076,0.385700648,0.642724494,0.929018881,0.056207694,-4.5014
H,0338.HK,上海石油化工股份,能源,石油石化,能源--石油石化--石油天然气--石油天然气炼制和销售,中央国有企业,45494075000,1.0027E+11,645072000,93440000,44619130000,0.016551466,24.54084793,0.017668154,0.458459164,2.231190437,0.150119197,0.288308884,0.340708697,1.441194941,0.031441699,-6.8895
H,0347.HK,鞍钢股份,材料,钢铁Ⅱ,材料--钢铁Ⅱ--钢铁Ⅲ--钢铁Ⅳ,中央国有企业,87808000000,1.05587E+11,1978000000,899000000,88046000000,0.032676101,25.19841845,0.509276526,0.414680065,1.187491565,-0.066611243,0.598066235,0.401557945,0.800654374,0.038891673,0.4089
H,0357.HK,美兰空港,工业,交通运输,工业--交通运输--交通基础设施--机场服务,地方国有企业,11456162938,1576371078,-1340376146,6427645,11077487669,-0.120419769,23.16179367,0.001799217,0.12720452,0.155137044,-0.271759054,0.478832471,0.550234161,0.395142951,0.115193914,-7.4804
H,0358.HK,江西铜业股份,材料,有色金属,材料--有色金属--其他金属与采矿--铜,地方国有企业,1.34914E+11,2.39585E+11,2227704000,1950099000,1.40882E+11,0.02965472,25.62790275,0.324397977,0.22172445,2.015188426,0.116088129,0.199146181,0.562442458,1.229031729,0.024626941,11.7494
H,0386.HK,中国石油化工股份,能源,石油石化,能源--石油石化--石油天然气--综合性石油天然气,中央国有企业,1.75507E+12,2.90049E+12,33096000000,15194000000,1.73381E+12,0.027852036,28.19353043,0.511084473,0.458459164,1.732990498,-0.074366222,0.453480799,0.500968907,0.773553283,0.080419539,2.6499
H,0390.HK,中国中铁,工业,建筑,工业--建筑--建筑与工程Ⅲ--建筑与工程Ⅳ,中央国有企业,1.05604E+12,8.50843E+11,25188000000,9067000000,1.19998E+12,0.02854638,27.68554813,0.290022479,0.2205387,0.851458605,0.031945729,0.062643401,0.767690838,1.049902816,0.018613861,14.9193
