市场,证券代码,证券简称,一级行业,二级行业,行业全路径,企业所有制性质,资产总计_2019,营业收入_2019,归母净利润_2020,利息支出_2020,资产总计_2020,EBI_A_2020,FirmSize_2019,MarketShare_2019_二级行业,HHI_2019_二级行业,AssetTurnover_2019,WorkingCapitalRatio_2019,FixedAssetsRatio_2019,FinancialLeverage_2019,CurrentRatio_2019,CapexRatio_2019,Revenue Growth Rate
CSI,601398.SH,工商银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,3.01094E+13,,3.15906E+11,4.45756E+11,3.33451E+13,0.022841826,31.03585973,,0.139670857,,,0.009517315,0.910592713,,0.001134495,
CSI,601939.SH,建设银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,2.54363E+13,,2.7105E+11,4.136E+11,2.81323E+13,0.024336834,30.86719687,,0.139670857,,,0.006712465,0.912128319,,0.00091342,
CSI,601288.SH,农业银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,2.48783E+13,,2.15925E+11,3.85853E+11,2.7205E+13,0.022120087,30.84501657,,0.139670857,,,0.0061292,0.92122601,,0.000567161,
CSI,601988.SH,中国银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,2.27697E+13,,1.9287E+11,3.44152E+11,2.44027E+13,0.0220067,30.75645375,,0.139670857,,,0.01073969,0.913187605,,0.001713634,
CSI,601658.SH,邮储银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,1.02167E+13,,64199000000,1.62874E+11,1.13533E+13,0.020000682,29.95504534,,0.139670857,,,0.00455039,0.94666784,,0.000659117,
CSI,601328.SH,交通银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,9.9056E+12,,78274000000,2.15765E+11,1.06976E+13,0.027486404,29.92412137,,0.139670857,,,0.017281033,0.919145534,,0.003268454,
CSI,601318.SH,中国平安,金融,非银金融,金融--非银金融--保险--多元化保险,公众企业,8.22293E+12,,1.43099E+11,1.43457E+11,9.52787E+12,0.030075557,29.73794759,,0.40133173,,,0.005712198,0.896342289,,0.001484872,
CSI,600036.SH,招商银行,金融,银行,金融--银行--商业银行--多元化银行,公众企业,7.41724E+12,,97342000000,1.22394E+11,8.36145E+12,0.026279659,29.63482814,,0.139670857,,,0.008953196,0.916720101,,0.003230851,
CSI,600000.SH,浦发银行,金融,银行,金融--银行--商业银行--多元化银行,地方国有企业,7.00593E+12,1.88742E+11,58325000000,,7.95022E+12,,29.57777791,0.219910621,0.139670857,0.028391787,,0.004336755,0.919917687,,0.001260218,11.6731
CSI,601166.SH,兴业银行,金融,银行,金融--银行--商业银行--多元化银行,地方国有企业,7.14568E+12,1.79552E+11,66626000000,,7.894E+12,,29.59752923,0.209202996,0.139670857,0.025914357,,0.003933005,0.92307913,,0.000772075,14.4525
CSI,601998.SH,中信银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,6.75043E+12,,48980000000,1.47491E+11,7.51116E+12,0.026157208,29.54062777,,0.139670857,,,0.003314158,0.921112616,,0.00060085,
CSI,600016.SH,民生银行,金融,银行,金融--银行--商业银行--多元化银行,公众企业,6.68184E+12,,34309000000,1.51369E+11,6.95023E+12,0.026715363,29.53041466,,0.139670857,,,0.007687253,0.920556475,,0.001229901,
CSI,601818.SH,光大银行,金融,银行,金融--银行--商业银行--多元化银行,中央国有企业,4.73343E+12,,37824000000,1.10778E+11,5.36811E+12,0.027682369,29.18567143,,0.139670857,,,0.004086254,0.918440979,,0.000939699,
CSI,000001.SZ,平安银行,金融,银行,金融--银行--商业银行--多元化银行,公众企业,3.93907E+12,1.27949E+11,28928000000,,4.46851E+12,,29.00196577,0.14907834,0.139670857,0.034779798,,0.004724212,0.920543935,,0.00090199,19.4189
CSI,601628.SH,中国人寿,金融,非银金融,金融--非银金融--保险--人寿与健康保险,中央国有企业,3.72673E+12,,50268000000,13593000000,4.25241E+12,0.015017602,28.94655336,,0.40133173,,,0.0138883,0.890160661,,0.003063004,
CSI,600015.SH,华夏银行,金融,银行,金融--银行--商业银行--多元化银行,地方国有企业,3.02079E+12,83844000000,21275000000,,3.39982E+12,,28.73653917,0.097689895,0.139670857,0.029411883,,0.004457776,0.910838857,,0.000335674,17.4944
CSI,601169.SH,北京银行,金融,银行,金融--银行--商业银行--区域性银行,地方国有企业,2.73704E+12,62583000000,21484000000,,2.90001E+12,,28.63789816,0.072917879,0.139670857,0.023572173,,0.00650228,0.923653655,,0.001871365,13.8722
CSI,601229.SH,上海银行,金融,银行,金融--银行--商业银行--区域性银行,地方国有企业,2.23708E+12,49329336000,20885062000,,2.46214E+12,,28.43619343,0.057475522,0.139670857,0.023132952,,0.002488063,0.920777765,,0.000331569,13.5545
CSI,600919.SH,江苏银行,金融,银行,金融--银行--商业银行--区域性银行,地方国有企业,2.06506E+12,44447234000,15065745000,,2.33789E+12,,28.35617962,0.051787195,0.139670857,0.022274394,,0.002579607,0.933931204,,0.000339873,27.7847
CSI,601916.SH,浙商银行,金融,银行,金融--银行--商业银行--多元化银行,公众企业,1.80079E+12,,12309000000,49129000000,2.04823E+12,0.029995728,28.21924428,,0.139670857,,,0.007037644,0.928904557,,0.002600331,
