市场,证券代码,证券简称,一级行业,二级行业,行业全路径,企业所有制性质,资产总计_2024,营业收入_2024,归母净利润_2025,利息支出_2025,资产总计_2025,EBI_A_2025,FirmSize_2024,MarketShare_2024_二级行业,HHI_2024_二级行业,AssetTurnover_2024,WorkingCapitalRatio_2024,FixedAssetsRatio_2024,FinancialLeverage_2024,CurrentRatio_2024,CapexRatio_2024
H,9609.HK,海伟股份,信息技术,硬件设备,信息技术--硬件设备--电子设备、仪器和元件--电子设备和仪器,民营企业,"762,578,000.00","421,695,000.00","48,008,000.00","1,998,000.00","1,196,459,000.00",0.041795,20.452215,0.000457,0.348635,0.561249,0.624823,0.189527,0.100395,7.321239,0.023709
H,9611.HK,龙旗科技,信息技术,硬件设备,信息技术--硬件设备--通信设备Ⅲ--通信设备Ⅳ,民营企业,"26,345,614,000.00","46,382,472,000.00","585,117,000.00","60,813,000.00","26,086,335,000.00",0.024761,23.994568,0.050236,0.348635,2.008573,0.092474,0.091317,0.787702,1.123516,0.026852
H,9633.HK,农夫山泉,日常消费,食品饮料,日常消费--食品饮料--饮料--软饮料,民营企业,"53,160,312,000.00","42,895,992,000.00","15,868,274,000.00","66,899,000.00","65,169,128,000.00",0.244520,24.696578,0.145130,0.270252,0.838652,-0.017172,0.396597,0.392645,0.954322,0.121534
H,9676.HK,十月稻田,日常消费,日常消费零售,日常消费--日常消费零售--日常消费品经销与零售--食品零售,民营企业,"4,613,818,000.00","5,745,315,000.00","428,288,000.00","11,048,000.00","5,267,066,000.00",0.083412,22.252322,0.098798,0.199976,1.229125,0.369012,0.227598,0.229538,2.736764,0.047012
H,9678.HK,云知声,信息技术,软件服务,信息技术--软件服务--信息技术服务--信息科技咨询与其它服务,民营企业,"1,079,976,000.00","939,017,000.00","-326,626,000.00","147,832,000.00","1,516,937,000.00",-0.117865,20.800205,0.010559,0.463939,0.859677,0.429948,0.026002,3.549046,1.942571,0.106611
H,9696.HK,天齐锂业,材料,有色金属,材料--有色金属--其他金属与采矿--金属非金属,民营企业,"69,556,579,000.00","13,029,739,000.00","458,430,000.00","589,765,000.00","72,967,793,000.00",0.014365,24.965406,0.008923,0.221330,0.180310,0.111980,0.310555,0.280283,2.545035,0.065047
H,9699.HK,顺丰同城,工业,交通运输,工业--交通运输--航空运输--航空货运与物流,民营企业,"4,669,733,000.00","15,746,083,000.00","277,718,000.00","735,000.00","5,471,063,000.00",0.050896,22.264368,0.012073,0.130917,3.550644,0.550692,0.004742,0.366018,2.512639,0.010221
H,9877.HK,健世科技-B,医疗保健,医疗设备与服务,医疗保健--医疗设备与服务--医疗保健设备与用品--医疗保健设备,民营企业,"1,027,565,000.00",,"-271,229,000.00","867,000.00","896,232,000.00",-0.301665,20.750458,,0.874431,,0.604978,0.161372,0.107645,10.682933,0.069763
H,9878.HK,汇通达网络,信息技术,软件服务,信息技术--软件服务--信息技术服务--信息科技咨询与其它服务,民营企业,"28,491,140,000.00","60,059,328,000.00","300,294,000.00","190,515,000.00","30,506,350,000.00",0.016089,24.072859,0.675341,0.463939,2.085350,0.251376,0.002793,0.662685,1.384412,0.000978
H,9880.HK,优必选,信息技术,软件服务,信息技术--软件服务--信息技术服务--信息科技咨询与其它服务,民营企业,"5,133,525,000.00","1,305,361,000.00","-703,191,000.00","2,614,000.00","10,240,808,000.00",-0.068410,22.359058,0.014678,0.463939,0.263732,0.158497,0.282031,0.562185,1.388830,0.044213
H,9881.HK,容大科技,材料,造纸与包装,材料--造纸与包装--纸与林业产品--纸制品,民营企业,"337,128,000.00","350,062,000.00",,,,,19.635973,0.014636,0.904590,0.971703,0.105871,0.250481,0.525216,1.245843,0.049290
H,9927.HK,赛力斯,可选消费,汽车与零配件,可选消费--汽车与零配件--汽车--汽车制造,民营企业,"94,363,958,000.00","145,113,623,000.00","5,956,787,000.00","198,656,000.00","143,905,863,000.00",0.042774,25.270425,0.078391,0.231543,1.993201,-0.108802,0.106645,0.873834,0.865378,0.075706
H,9980.HK,东鹏饮料,日常消费,食品饮料,日常消费--食品饮料--饮料--软饮料,民营企业,"22,676,297,000.00","15,830,336,000.00","4,415,263,000.00","101,132,000.00","26,720,736,000.00",0.169022,23.844586,0.053559,0.270252,0.846851,-0.094346,0.188701,0.660810,0.855883,0.058409
H,9995.HK,荣昌生物,医疗保健,医药生物,医疗保健--医药生物--生物科技Ⅲ--生物科技Ⅳ,民营企业,"5,498,519,000.00","1,710,152,000.00","709,650,000.00","70,168,000.00","7,248,072,000.00",0.107590,22.427745,0.003123,0.286802,0.310182,0.018496,0.498990,0.638775,1.046480,0.048246
