市场,证券代码,证券简称,一级行业,二级行业,行业全路径,企业所有制性质,资产总计_2024,营业收入_2024,归母净利润_2025,利息支出_2025,资产总计_2025,EBI_A_2025,FirmSize_2024,MarketShare_2024_二级行业,HHI_2024_二级行业,AssetTurnover_2024,WorkingCapitalRatio_2024,FixedAssetsRatio_2024,FinancialLeverage_2024,CurrentRatio_2024,CapexRatio_2024
CSI,600406.SH,国电南瑞,工业,电气设备,工业--电气设备--电气设备Ⅲ--电气部件与设备,中央国有企业,"92,705,313,123.25","56,982,369,568.40","8,278,971,723.32","-169,421,300.09","98,585,657,661.02",0.082259,25.252692,0.042088,0.107313,0.637413,0.388622,0.100528,0.431145,1.917368,0.019759
CSI,600415.SH,小商品城,工业,企业服务,工业--企业服务--商业服务与用品--综合支持服务,地方国有企业,"39,168,461,000.00","15,474,884,000.00","4,203,547,000.00","79,493,000.00","44,405,436,000.00",0.096453,24.391138,1.000000,1.000000,0.410543,-0.200038,0.189302,0.474770,0.554038,0.038303
CSI,600426.SH,华鲁恒升,材料,化工,材料--化工--农用化工--化肥与农用药剂,地方国有企业,"46,657,911,907.48","34,024,585,988.67","3,315,494,470.04","262,996,143.83","49,177,377,189.73",0.072767,24.566108,0.040966,0.213171,0.750189,0.039628,0.747737,0.296416,1.334617,0.108893
CSI,600436.SH,片仔癀,医疗保健,医药生物,医疗保健--医药生物--制药--中药,地方国有企业,"17,539,661,657.50","10,718,491,968.26","2,158,633,048.42","20,226,793.20","17,560,037,344.69",0.124081,23.587731,0.017688,0.230555,0.619207,0.510557,0.074950,0.153990,4.772412,0.060907
CSI,600482.SH,中国动力,工业,机械,工业--机械--机械Ⅲ--建筑机械与重型卡车,中央国有企业,"108,947,127,910.61","51,131,269,137.69","1,300,885,777.44","-385,069,662.69","116,795,591,158.73",0.007841,25.414129,0.060583,0.187309,0.491489,0.334770,0.156553,0.532312,1.790372,0.009973
CSI,600489.SH,中金黄金,材料,有色金属,材料--有色金属--贵金属--黄金,中央国有企业,"55,638,663,702.80","64,467,340,265.61","4,933,582,739.46","300,387,884.18","62,550,961,213.58",0.083675,24.742144,0.036012,0.157470,1.190325,0.137993,0.305226,0.414573,1.509469,0.043272
CSI,600515.SH,海南机场,房地产,房地产Ⅱ,房地产--房地产Ⅱ--房地产管理和开发--房地产开发,地方国有企业,"53,691,111,395.90","4,043,826,144.61","218,564,398.53","479,944,246.33","59,718,688,955.05",0.011697,24.706513,0.004902,0.353891,0.073869,0.191783,0.205811,0.521749,1.962012,0.010830
CSI,600519.SH,贵州茅台,日常消费,食品饮料,日常消费--食品饮料--饮料--白酒与葡萄酒,地方国有企业,"298,944,579,918.70","143,972,990,801.35","82,320,067,101.68","-815,240,284.72","303,834,844,021.44",0.268254,26.423524,0.112720,0.097008,0.503715,0.653000,0.080353,0.190448,4.454079,0.015651
CSI,600547.SH,山东黄金,材料,有色金属,材料--有色金属--贵金属--黄金,地方国有企业,"161,010,475,000.00","82,517,994,000.00","4,739,393,120.72","1,930,825,091.04","170,374,158,329.33",0.039150,25.804735,0.046095,0.157470,0.557499,-0.209441,0.382655,0.636317,0.459784,0.173847
CSI,600584.SH,长电科技,信息技术,半导体,信息技术--半导体--半导体产品--集成电路,中央国有企业,"54,059,828,326.10","35,883,263,309.75","1,565,238,036.45","364,966,704.33","55,516,503,601.44",0.034768,24.713357,0.203175,0.111057,0.742623,0.127708,0.453394,0.453519,1.451593,0.084921
